,City,Municipality ID,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latitude,Longitude
170,Manasquan,809,300,300,200,200,300,300,200,200,400,300,300,400,400,400,40.120261,-74.05765
171,Mantoloking,809,300,300,300,200,300,0,0,0,0,100,200,300,300,100,40.025258,-74.05579
172,Manville,810,300,400,400,400,400,300,400,400,300,300,300,300,300,300,40.538903,-74.59222
173,Maplewood,810,100,200,300,300,300,200,300,300,300,300,400,400,300,400,40.728901,-74.26821
174,Margate City,810,400,400,400,400,300,400,300,300,300,200,200,200,300,300,39.329416,-74.50661
175,Matawan,810,300,400,400,400,400,400,400,400,400,400,500,500,500,500,40.411102,-74.23767
176,Maywood,810,500,500,500,400,500,400,500,400,400,500,500,500,500,500,40.90503,-74.06279
178,Mendham,810,500,500,500,500,500,500,500,500,500,500,500,500,500,500,40.782767,-74.59529
179,Merchantville,810,300,300,300,400,400,400,300,300,200,300,200,400,300,400,39.949979,-75.05024
180,Metuchen,810,400,400,300,400,400,400,400,400,400,400,400,400,400,500,40.543354,-74.3587
181,Middlesex,810,500,400,400,400,400,400,500,500,500,400,400,500,500,500,40.574552,-74.50187
182,Midland Park,810,500,500,500,400,500,400,500,500,500,500,400,500,500,500,40.99312,-74.14286
183,Millburn,810,300,200,300,300,300,300,200,300,300,400,400,400,400,400,40.724168,-74.29913
184,Milltown,810,300,300,400,400,300,400,400,400,500,500,500,400,400,400,40.451105,-74.43938
185,Millville,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.379382,-75.03923
186,Monmouth Beach,810,500,500,400,400,400,400,400,400,400,400,400,300,400,500,40.332877,-73.97986
187,Montclair,811,200,200,200,300,300,300,300,300,300,400,400,400,300,400,40.81315,-74.21576
188,Montvale,811,500,500,500,500,500,500,500,500,500,500,500,500,500,500,41.048997,-74.04052
189,Moonachie,811,300,300,200,300,300,300,400,300,300,300,300,400,300,300,40.841668,-74.059
190,Morris Plains,811,400,400,400,400,400,400,400,500,500,500,400,400,400,400,40.842399,-74.48223
191,Morristown,811,0,0,100,100,200,200,100,200,200,300,300,300,300,400,40.79215,-74.48559
192,Mount Arlington,811,500,400,500,500,500,500,400,500,500,500,500,500,500,500,40.919498,-74.63559
193,Mount Ephraim,811,200,0,100,200,200,100,100,200,200,200,300,200,200,200,39.884263,-75.0923
194,Mountain Lakes,811,400,400,400,400,400,400,300,500,500,500,500,500,400,500,40.892021,-74.44022
195,Mountainside,811,400,400,400,500,500,500,500,500,500,500,500,500,500,500,40.680301,-74.35601
196,National Park,811,300,200,300,100,200,300,200,100,300,400,300,400,400,500,39.867158,-75.1802
198,Netcong,812,300,200,300,0,300,400,400,300,300,400,400,400,300,400,40.897398,-74.70301
199,New Brunswick,812,0,0,0,0,0,0,0,0,0,0,0,0,0,100,40.488304,-74.44775
200,New Milford,812,400,500,500,500,500,500,500,500,500,500,500,500,500,500,40.936211,-74.0188
201,New Providence,812,400,500,500,500,500,500,500,500,500,500,500,500,500,500,40.698268,-74.40225
202,Newark,812,0,0,0,0,0,0,0,0,0,0,500,0,0,0,40.736101,-74.22509
203,Newfield,812,400,300,400,400,400,400,400,400,400,400,500,400,500,500,39.562763,-75.00955
204,Newton,813,300,400,400,400,300,400,400,300,400,400,300,400,400,400,41.0714,-74.80199
205,North Arlington,813,400,400,400,400,400,400,400,400,400,400,400,400,400,500,40.791895,-74.13254
211,Northfield,813,300,400,400,400,300,400,500,500,500,500,400,500,500,400,39.370083,-74.55211
212,Northvale,813,500,500,500,500,500,500,500,500,500,500,500,500,500,500,41.009414,-73.94849
213,Norwood,813,500,500,500,500,500,500,500,500,500,500,500,500,500,500,40.994442,-73.95586
214,Nutley,813,400,400,400,400,400,400,400,400,400,500,400,400,500,500,40.8196,-74.15877
215,Oakland,813,500,500,500,500,500,500,500,500,500,500,500,500,500,500,41.028884,-74.23727
216,Oaklyn,813,200,300,200,100,300,200,300,200,200,300,200,200,300,200,39.908163,-75.08618
217,Ocean City,813,0,0,0,0,0,0,100,200,200,200,200,300,200,400,39.265371,-74.59381
218,Ocean Gate,813,300,300,0,400,400,400,200,300,400,400,400,400,400,400,39.925301,-74.13488
219,Oceanport,813,400,500,500,400,400,400,400,400,300,400,400,400,400,500,40.318115,-74.01239
220,Ogdensburg,813,500,500,500,400,500,400,500,500,400,500,500,500,500,500,41.080066,-74.5972
221,Old Bridge,813,400,400,400,400,400,400,400,400,400,400,400,500,500,500,40.397507,-74.3298
223,Oradell,813,500,500,500,500,500,500,500,500,500,500,500,500,500,500,40.953126,-74.03379
224,Orange,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.7683,-74.23603
225,Oxford,813,500,500,500,400,500,500,500,500,500,500,500,500,500,500,40.815107,-74.96802
226,Palisades Park,813,400,400,400,400,400,400,400,500,500,500,500,500,500,500,40.845742,-73.99479
227,Palmyra,813,300,300,200,100,200,300,200,200,200,300,300,300,300,300,40.00278,-75.02626
228,Paramus,813,0,0,0,0,0,0,0,100,100,200,200,200,200,200,40.947107,-74.07047
229,Park Ridge,813,500,500,500,500,500,500,500,500,500,500,500,500,500,500,41.034672,-74.04065
230,Passaic,813,0,0,0,0,0,0,0,0,100,100,200,200,200,200,40.857384,-74.12899
231,Paterson,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.912198,-74.16863
232,Paulsboro,813,0,0,0,0,0,100,0,100,100,0,0,0,0,0,39.833156,-75.23773
234,Pemberton,814,200,100,200,300,400,200,0,100,200,400,300,100,100,200,39.961183,-74.66266
235,Pennington,814,500,400,500,500,500,500,500,500,500,500,500,500,500,500,40.32315,-74.78364
236,Penns Grove,814,0,0,0,0,0,0,0,0,200,0,100,0,0,0,39.712593,-75.46906
237,Pennsauken,814,0,0,0,0,100,0,100,100,100,200,200,200,200,200,39.966812,-75.05681
238,Pennsville,814,300,300,300,300,200,200,100,200,300,300,400,400,400,400,39.645377,-75.51923
239,Perth Amboy,814,200,100,200,200,200,200,200,100,200,200,200,300,300,300,40.520105,-74.27708
240,Phillipsburg,814,300,200,300,300,100,200,200,200,200,200,300,300,200,200,40.689123,-75.17243
241,Pine Beach,814,400,400,400,400,500,400,200,400,500,500,500,500,500,400,39.934318,-74.16773
243,Pitman,814,400,400,400,400,400,400,400,400,400,400,400,500,500,500,39.730964,-75.13009
244,Plainfield,815,0,0,0,0,0,0,0,0,0,0,0,0,100,200,40.620102,-74.42481
245,Pleasantville,815,0,0,0,0,0,0,0,0,100,0,0,100,100,100,39.394616,-74.52212
246,Point Pleasant Beach,815,200,100,100,100,100,200,100,100,200,300,200,300,400,400,40.081165,-74.06003
248,Pompton Lakes,815,400,500,400,500,400,400,400,400,400,500,400,500,400,400,40.99948,-74.28807
249,Princeton,815,200,300,300,300,300,300,300,500,400,500,500,500,500,500,40.357439,-74.64922
251,Rahway,815,200,200,200,200,200,300,200,300,300,400,300,400,400,400,40.607103,-74.28099
252,Ramsey,815,500,400,400,400,500,500,400,400,400,400,500,500,500,500,41.058819,-74.14238
253,Raritan,815,300,300,400,300,300,300,400,300,400,400,300,400,500,500,40.571302,-74.6374
254,Red Bank,815,300,100,200,100,300,100,200,200,300,300,300,300,300,400,40.352953,-74.07703
255,Ridgefield,815,500,400,400,500,500,500,500,500,500,500,500,500,500,500,40.832421,-74.00399
256,Ridgefield Park,815,400,400,400,400,400,400,400,400,500,400,400,400,400,500,40.856749,-74.02278
257,Ridgewood,815,500,500,500,500,500,500,500,500,500,500,500,500,500,500,40.983997,-74.11438
258,Ringwood,815,500,500,500,500,500,500,500,500,500,500,500,500,500,500,41.096095,-74.26012
259,River Edge,815,400,400,500,400,500,500,500,400,500,500,500,500,500,500,40.927579,-74.03739
261,Riverdale,815,300,300,200,200,300,300,100,300,200,300,300,300,400,400,40.990032,-74.31023
262,Riverton,815,300,500,400,300,200,300,300,400,200,500,400,400,400,400,39.862433,-74.725079
264,Rochelle Park,815,400,400,400,400,500,400,400,400,500,400,400,400,400,400,40.906553,-74.07797
265,Rockaway,815,400,400,500,500,500,400,500,400,400,500,500,400,400,500,40.926798,-74.50624
267,Roseland,815,400,500,500,500,500,400,400,500,500,500,500,500,400,500,40.821799,-74.30477
268,Roselle,815,200,200,200,100,200,200,200,200,200,300,300,300,300,400,40.653502,-74.26058
269,Roselle Park,815,300,400,300,300,400,400,400,400,500,400,400,400,500,500,40.665552,-74.26768
270,Rumson,815,500,400,500,500,500,500,400,400,500,500,500,500,500,500,40.369145,-73.99576
271,Runnemede,815,200,100,100,100,200,100,100,200,300,100,200,100,300,300,39.850013,-75.0767
272,Rutherford,815,400,400,400,400,400,400,400,400,400,400,400,400,400,400,40.828922,-74.11064
273,Saddle Brook,815,300,300,300,300,300,300,300,400,400,300,400,400,400,500,40.904131,-74.09474
274,Saddle River,815,500,500,500,500,500,500,500,500,400,500,400,500,500,500,41.054568,-74.09616
275,Salem,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.549912,-75.43943
276,Sayreville,815,300,300,300,300,400,400,400,400,400,400,400,400,500,500,40.430006,-74.417344
277,Scotch Plains,815,400,400,400,400,400,500,400,400,500,400,500,500,500,500,40.637152,-74.37493
279,Sea Girt,815,400,300,300,300,300,300,200,300,400,400,400,400,500,300,40.133754,-74.04123
280,Sea Isle City,815,0,0,0,0,0,0,0,0,0,0,0,0,0,100,39.145755,-74.69865
281,Seaside Heights,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.948518,-74.0759
282,Seaside Park,815,200,200,300,200,300,200,0,0,300,200,300,400,200,400,39.920268,-74.07967
283,Secaucus,815,200,100,200,200,200,200,300,300,300,300,300,300,300,300,40.7885,-74.06
285,Shrewsbury,815,300,300,400,300,300,300,200,300,400,400,400,400,400,400,40.329128,-74.06315
286,Somerdale,815,200,100,200,100,200,200,0,0,0,0,0,100,100,200,39.842613,-75.02496
287,Somers Point,815,200,200,200,100,200,100,100,200,200,200,300,200,300,300,39.319901,-74.5999
288,Somerville,815,300,300,300,300,400,400,300,300,400,300,400,300,400,400,40.545853,-74.63592
289,South Amboy,815,300,300,300,300,400,400,400,300,400,400,400,400,500,400,40.469606,-74.27669
290,South Bound Brook,815,500,500,500,500,500,500,400,500,500,500,500,400,500,400,40.553803,-74.52976
291,South Orange,816,0,200,200,200,200,200,200,200,300,400,300,300,300,400,40.74765,-74.25881
292,South Plainfield,816,300,300,300,300,400,300,400,400,400,400,400,400,400,400,40.580703,-74.41401
293,South River,816,400,400,400,300,300,400,400,400,400,400,400,500,400,400,40.445006,-74.38179
295,Spotswood,816,400,400,400,400,400,400,400,400,500,500,500,500,500,500,40.39159,-74.39329
296,Spring Lake,816,400,400,300,300,400,300,300,400,400,400,400,400,400,400,40.153024,-74.03372
298,Springfield,816,400,400,400,400,400,400,400,400,400,500,400,400,500,500,40.701801,-74.32216
299,Stanhope,816,400,300,400,300,400,400,500,400,500,400,400,300,400,500,40.917054,-74.71053
300,Stone Harbor,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.051289,-74.76204
301,Stratford,816,300,200,200,200,300,300,200,300,400,300,400,300,400,400,39.829014,-75.01371
302,Summit,816,400,400,400,400,400,400,400,500,500,500,500,500,500,500,40.714501,-74.3633
304,Swedesboro,816,300,200,200,200,500,500,400,400,400,400,400,300,500,500,39.753088,-75.32687
305,Teaneck,817,300,400,400,300,400,300,400,400,400,400,400,400,400,400,40.890964,-74.01115
306,Tenafly,817,500,500,500,400,500,500,500,500,500,500,500,500,500,500,40.92169,-73.96482
308,Toms River,2120,500,300,300,300,300,300,200,300,300,300,300,400,400,400,39.974584,-74.15141
309,Totowa,2120,300,300,300,200,300,300,200,200,200,300,300,300,300,300,41.011428,-74.304793
310,Trenton,2120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.280531,-74.712018
311,Tuckerton,2120,300,400,400,400,400,300,300,500,400,400,500,400,400,400,39.59899,-74.36573
313,Union City,2120,100,100,100,100,200,200,200,200,300,300,300,300,300,300,40.767751,-74.0302
314,Union,2120,200,200,200,200,300,300,300,300,300,300,400,400,400,400,40.695401,-74.26933
316,Ventnor City,2120,300,300,200,200,200,200,200,200,200,200,200,100,300,200,39.342299,-74.48192
317,Verona,2120,400,400,400,400,400,500,400,400,500,500,500,500,500,500,40.832449,-74.24227
318,Vineland,2120,0,0,0,0,0,100,500,100,100,100,0,0,0,100,39.492265,-75.01887
319,Voorhees,2120,300,200,200,300,300,300,300,300,400,500,300,300,300,400,39.851969,-74.96128
320,Waldwick,2120,500,500,500,400,500,500,500,500,500,500,500,500,500,500,41.013109,-74.12231
321,Wallington,2120,400,400,400,400,400,400,400,400,400,400,400,400,400,500,40.852931,-74.10925
322,Wanaque,2120,400,400,400,500,500,500,500,500,500,400,500,500,500,500,41.052958,-74.28236
323,Washington,266,400,300,200,300,500,400,400,500,500,300,400,400,400,500,40.753753,-74.99617
325,Watchung,2122,0,100,200,200,200,200,0,100,100,100,100,100,100,100,40.641207,-74.443695
326,Wayne,2122,300,300,300,300,300,300,400,400,400,400,400,400,400,400,40.943608,-74.25004
327,Wenonah,2122,500,500,500,400,500,400,500,400,400,500,400,500,500,400,39.799347,-75.15202
330,West Long Branch,2122,200,200,300,300,300,300,300,300,300,400,400,400,400,400,40.289985,-74.01671
331,West Milford,2122,400,400,400,400,400,400,400,400,400,400,400,400,400,500,41.102569,-74.37047
332,West New York,2122,200,200,200,200,200,200,300,300,300,300,300,300,400,300,40.7895,-74.01223
333,West Orange,2122,200,300,300,300,300,300,300,400,400,300,300,300,300,300,40.78865,-74.25541
336,Westfield,2122,400,400,400,500,500,500,500,500,500,500,500,500,500,500,40.649202,-74.34567
337,Westville,2122,200,200,100,0,100,0,0,0,100,100,300,300,100,300,39.861413,-75.13284
338,Westwood,2122,400,400,400,500,500,500,500,500,500,500,500,500,500,500,40.99904,-74.03291
339,Wharton,2122,400,400,400,300,400,300,300,400,400,400,400,400,500,500,40.913298,-74.58246
341,Wildwood,2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.987556,-74.822
342,Wood Ridge,2123,500,500,400,500,500,400,400,500,500,500,500,500,500,500,40.847638,-74.08754
343,Woodbine,2123,500,500,500,500,500,500,500,500,500,500,500,500,500,500,39.275059,-74.80041
344,Woodbridge,2123,200,200,200,200,300,300,300,300,300,400,400,400,400,400,40.557104,-74.28316
345,Woodbury,2123,0,0,0,0,0,0,100,0,0,0,0,100,0,0,39.830313,-75.13221
346,Woodbury Heights,2123,200,200,300,100,200,200,200,200,300,300,300,300,300,400,39.816063,-75.15321
347,Woodcliff Lake,2123,500,500,500,500,500,500,500,500,400,500,500,500,500,500,41.025101,-74.059762
350,Woodstown,2123,400,400,200,300,400,400,300,400,300,300,300,400,400,400,39.637838,-75.32396
351,Wyckoff,2123,500,500,500,500,500,500,500,500,500,500,500,500,500,500,40.998583,-74.1671
