Municipality,Price,Fair Value,Price Difference,Price Category
Buena Borough,165812.0,160073.86351658084,0.03460627990386198,Fairly Priced
Egg Harbor City,123200.0,139301.80608967418,-0.1306964780006021,Fairly Priced
Margate City,604470.0,201880.6412596911,0.6660204124941005,Overpriced
Ventnor City,330548.0,176076.7498154954,0.4673186653209356,Fairly Priced
Bergenfield Borough,424637.0,51999.80367813364,0.8775429280111398,Overpriced
Bogota Borough,343721.0,47916.83263736195,0.8605938169696877,Overpriced
Carlstadt Borough,396118.0,67881.15913311357,0.8286339950895603,Overpriced
Cliffside Park Borough,462079.0,65809.22981101659,0.8575801328105874,Overpriced
Closter Borough,788291.0,53101.59442638431,0.9326370662275932,Overpriced
Dumont Borough,383940.0,52098.71010843699,0.8643050734270016,Overpriced
Elmwood Park Borough,356962.0,60416.344426604686,0.8307485266594072,Overpriced
Edgewater Borough,560214.0,69620.55759033235,0.8757250665097046,Overpriced
Emerson Borough,483510.0,63294.30308952404,0.8690941178268825,Overpriced
Englewood Cliffs Borough,1374023.0,67452.46459816501,0.9509087805675998,Overpriced
Fair Lawn Borough,424978.0,53495.40079913428,0.8741219526678221,Overpriced
Fairview Borough,392401.0,50305.52717399574,0.871800716170459,Overpriced
Fort Lee Borough,555114.0,73970.20990549366,0.8667477132526046,Overpriced
Franklin Lakes Borough,1104180.0,75517.20299099875,0.9316078873091355,Overpriced
Glen Rock Borough,641264.0,52862.90521665895,0.9175645206706459,Overpriced
Hasbrouck Heights Borough,479776.0,65885.85424286418,0.8626737180624621,Overpriced
Hillsdale Borough,522591.0,58870.938191056484,0.8873479677394818,Overpriced
Leonia Borough,500465.0,62253.44664705254,0.8756087905307014,Overpriced
Little Ferry Borough,329972.0,89794.91733029671,0.7278711001833589,Overpriced
Lodi Borough,356019.0,84081.08007371624,0.7638297953937395,Overpriced
Maywood Borough,407138.0,87481.65960786934,0.7851302025164211,Overpriced
Midland Park Borough,486209.0,84320.09518785449,0.826576441020519,Overpriced
Montvale Borough,604980.0,82778.99612961407,0.8631706897259181,Overpriced
New Milford Borough,428577.0,85809.99661395827,0.799779277436824,Overpriced
North Arlington Borough,366429.0,96243.33449093276,0.7373479323663444,Overpriced
Norwood Borough,645471.0,94835.59794766584,0.8530753543572588,Overpriced
Oakland Borough,508173.0,424948.5976695247,0.1637717909658232,Fairly Priced
Paramus Borough,648381.0,416755.01546426234,0.35723746460142675,Fairly Priced
Park Ridge Borough,558739.0,431093.63824806013,0.22845257222413304,Fairly Priced
Ramsey Borough,536278.0,432595.5874068877,0.19333706136204046,Fairly Priced
Ridgefield Borough,523306.0,426376.3270320612,0.18522560981135094,Fairly Priced
Ridgefield Park Village,345622.0,419443.7840957489,-0.21359110269528245,Fairly Priced
Ridgewood Village,842562.0,421022.1023159537,0.5003072743418838,Overpriced
River Edge Borough,505002.0,408943.16309535445,0.19021476529725734,Fairly Priced
Tenafly Borough,925211.0,189917.95978082798,0.7947301104495861,Overpriced
Waldwick Borough,429847.0,210185.0340684096,0.5110236105674587,Overpriced
Wallington Borough,395826.0,216996.01684575435,0.4517893800666092,Fairly Priced
Westwood Borough,467650.0,203179.4749941862,0.5655308991891667,Overpriced
Woodcliff Lake Borough,796554.0,213747.0546250136,0.7316603084975863,Overpriced
Wood-Ridge Borough,417525.0,215966.8225452886,0.48274517083937823,Fairly Priced
Palmyra Borough,163891.0,328345.5475763022,-1.0034385510876265,Underpriced
Pemberton Borough,217364.0,331156.13195187016,-0.523509559779311,Underpriced
Bellmawr Borough,157016.0,469246.98921394965,-1.9885297626608094,Underpriced
Berlin Borough,240548.0,466330.8600067706,-0.938618737244835,Underpriced
Collingswood Borough,218557.0,472476.5330529952,-1.1618000478273183,Underpriced
Haddonfield Borough,559636.0,474520.97750790184,0.15208997007358024,Fairly Priced
Haddon Heights Borough,252027.0,478584.0606758202,-0.8989396401013392,Underpriced
Runnemede Borough,159542.0,467210.6065514438,-1.9284489761407266,Underpriced
Somerdale Borough,136977.0,468061.8612588914,-2.417083607166834,Underpriced
Stratford Borough,168260.0,475334.8035473862,-1.8250018040377165,Underpriced
Roseland Borough,561599.0,233693.5384559522,0.5838782860084292,Overpriced
Clayton Borough,170447.0,449804.9702122024,-1.638972643767285,Underpriced
Paulsboro Borough,121308.0,458142.32966127177,-2.7766868603989163,Underpriced
Pitman Borough,197513.0,460887.8761373367,-1.3334559048636632,Underpriced
Jersey City,468393.0,331970.54452390154,0.2912563925509102,Fairly Priced
Union City,370384.0,295878.869371308,0.2011564501401032,Fairly Priced
Hopewell Borough,440391.0,258817.12117992574,0.4123015202855514,Fairly Priced
Carteret Borough,274773.0,377979.7018891546,-0.37560714440339704,Fairly Priced
Dunellen Borough,283758.0,295095.8532427986,-0.03995606553048228,Fairly Priced
Highland Park Borough,351564.0,361404.4838047336,-0.027990590062502443,Fairly Priced
Metuchen Borough,405668.0,369190.5421263641,0.08991948557351313,Fairly Priced
Milltown Borough,333355.0,371623.00765286747,-0.11479656118212557,Fairly Priced
Sayreville Borough,314807.0,380218.90640155296,-0.20778415474100945,Fairly Priced
South River Borough,306662.0,355304.63195266924,-0.1586196918844501,Fairly Priced
Spotswood Borough,299651.0,405927.33003530744,-0.3546670294285934,Fairly Priced
Belmar Borough,659958.0,563225.452034654,0.14657379403741758,Fairly Priced
Eatontown Borough,382553.0,554915.9862496095,-0.450559755771382,Fairly Priced
Fair Haven Borough,826392.0,541370.7894778046,0.34489831765335993,Fairly Priced
Freehold Borough,278328.0,545852.0471887595,-0.9611826592680562,Underpriced
Keansburg Borough,175972.0,531769.0253420352,-2.02189567284588,Underpriced
Keyport Borough,282198.0,559690.9313458599,-0.9833270659106723,Underpriced
Little Silver Borough,712531.0,555303.43141149,0.22066067102836234,Fairly Priced
Matawan Borough,364483.0,555668.5756360609,-0.5245390748980362,Underpriced
Oceanport Borough,498610.0,870205.0668530944,-0.7452619619604388,Underpriced
Red Bank Borough,428448.0,863456.5740227364,-1.015312416028868,Underpriced
Rumson Borough,1470482.0,854893.52388417,0.41863040561926634,Fairly Priced
Chester Borough,543000.0,672416.2605230842,-0.23833565473864493,Fairly Priced
Florham Park Borough,661833.0,706878.4327245151,-0.06806162993461355,Fairly Priced
Lincoln Park Borough,332407.0,683607.2590703372,-1.056536893237318,Underpriced
Madison Borough,827039.0,693479.5544082486,0.16149110935729918,Fairly Priced
Mendham Borough,675194.0,685446.579813958,-0.015184642952926165,Fairly Priced
Morris Plains Borough,474675.0,346159.651037266,0.27074387520457993,Fairly Priced
Mount Arlington Borough,348519.0,342285.7148909548,0.017885065402589863,Fairly Priced
Rockaway Borough,326221.0,352117.8881153995,-0.07938449123569456,Fairly Priced
Wharton Borough,287521.0,355752.5834504273,-0.23730991284263508,Fairly Priced
Point Pleasant Beach Borough,616091.0,741099.8259342907,-0.20290643092382563,Fairly Priced
Bloomingdale Borough,289994.0,349482.2242205221,-0.20513605185114897,Fairly Priced
Haledon Borough,298085.0,345417.3494113253,-0.1587880953799262,Fairly Priced
Hawthorne Borough,371738.0,372389.8909006078,-0.0017536299775858344,Fairly Priced
Ringwood Borough,357962.0,383711.4578427479,-0.07193349529488581,Fairly Priced
Totowa Borough,407973.0,389807.9474822988,0.04452513405960976,Fairly Priced
Wanaque Borough,310493.0,391709.4801998569,-0.2615726608968863,Fairly Priced
Bound Brook Borough,252904.0,451612.4591025555,-0.7857070631645032,Underpriced
Manville Borough,257089.0,453137.24709693086,-0.762569565780453,Underpriced
Raritan Borough,358261.0,477080.21173481795,-0.33165544598719354,Fairly Priced
Somerville Borough,312433.0,642856.2016246684,-1.0575809905633158,Underpriced
Watchung Borough,669491.0,618159.564384656,0.07667233109234324,Fairly Priced
Hopatcong Borough,262403.0,674689.3762029697,-1.5711953605826523,Underpriced
Fanwood Borough,455116.0,495149.4215050709,-0.08796311600794275,Fairly Priced
Kenilworth Borough,352237.0,581742.6510647538,-0.6515659941027029,Underpriced
Mountainside Borough,624589.0,571594.911709665,0.08484633621523119,Fairly Priced
Roselle Borough,223068.0,549433.9056075739,-1.4630780999855377,Underpriced
Roselle Park Borough,268059.0,544687.1304982182,-1.0319673299468335,Underpriced
