City,Zip Code,County,Latitude,Longitude,,"Population estimates, July 1, 2019,  (V2019)","Population estimates, July 1, 2018,  (V2018)","Population estimates base, April 1, 2010,  (V2019)","Population estimates base, April 1, 2010,  (V2018)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2018,  (V2018)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2018","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2017","Total employment, 2017","Total annual payroll, 2017 ($1,000)","Total employment, percent change, 2016-2017","Total nonemployer establishments, 2017","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
River Edge,7661,Bergen,40.927579,-74.03739,,NA,"11,531",NA,"11,340",NA,1.70%,"11,340",6.00%,24.70%,13.30%,51.30%,69.90%,2.10%,0.30%,21.90%,0.00%,2.00%,11.80%,61.10%,509,26.10%,X,74.70%,"$492,100 ","$3,351 ","$1,260 ","$1,588 ",X,"3,942",2.92,92.30%,33.70%,95.30%,91.90%,93.70%,59.90%,2.60%,5.80%,69.10%,65.10%,"12,429","108,930",X,"42,420","65,790","$5,739 ",37.6,"$123,409 ","$50,597 ",4.80%,X,X,X,X,X,"1,532",817,499,538,936,30,"1,440","6,116.50",1.85,"""3463360"""
Rockaway,7866,Morris,40.926798,-74.50624,,NA,"6,363",NA,"6,430",NA,-1.00%,"6,438",3.50%,22.00%,19.00%,49.70%,85.40%,4.10%,0.00%,6.60%,0.00%,1.60%,20.00%,68.10%,339,23.20%,X,69.80%,"$341,800 ","$2,408 ","$1,059 ","$1,348 ",X,"2,443",2.62,91.90%,27.70%,91.80%,86.00%,92.50%,35.30%,3.50%,6.70%,64.60%,65.40%,"16,244","7,702","67,519","99,711","445,938","$68,754 ",27.6,"$87,083 ","$39,811 ",4.70%,X,X,X,X,X,943,487,286,184,679,29,836,"3,107.10",2.07,"""3464050"""
Roseland,7068,Essex,40.821799,-74.30477,,NA,"5,851",NA,"5,836",NA,0.30%,"5,819",5.00%,19.90%,25.70%,52.30%,87.20%,0.00%,0.00%,8.90%,0.00%,2.20%,6.70%,84.10%,330,12.80%,X,80.80%,"$500,800 ","$3,243 ","$1,368 ","$2,319 ",X,"2,341",2.5,92.70%,16.00%,89.00%,84.80%,96.60%,64.80%,3.40%,1.80%,62.60%,59.20%,"15,908",D,"83,336","357,180","24,088","$4,094 ",29.9,"$126,250 ","$68,977 ",3.00%,X,X,X,X,X,803,439,189,51,675,31,697,"1,644.20",3.54,"""3464590"""
Roselle,7203,Union,40.653502,-74.26058,,NA,"21,902",NA,"21,067",NA,4.00%,"21,085",5.20%,21.60%,15.20%,52.50%,22.30%,53.10%,0.00%,1.70%,0.00%,2.60%,29.20%,12.70%,809,29.80%,X,55.60%,"$214,300 ","$2,314 ","$1,121 ","$1,136 ",X,"7,528",2.86,94.30%,42.40%,83.60%,73.60%,87.10%,20.40%,6.60%,11.00%,67.50%,65.00%,"20,409","22,722",D,D,"102,002","$4,789 ",31,"$61,804 ","$27,934 ",10.00%,X,X,X,X,X,"1,404",920,409,973,364,126,"1,223","7,953.60",2.65,"""3464620"""
Roselle Park,7204,Union,40.665552,-74.26768,,NA,"13,650",NA,"13,290",NA,2.70%,"13,297",5.80%,22.30%,11.60%,50.70%,62.50%,7.60%,0.30%,8.50%,0.00%,2.80%,28.10%,48.60%,391,27.20%,X,58.40%,"$281,000 ","$2,569 ","$1,107 ","$1,227 ",X,"5,087",2.67,92.70%,44.20%,89.80%,85.80%,89.70%,37.40%,6.10%,8.50%,71.10%,65.30%,"14,812",D,D,D,"35,886","$2,656 ",30.2,"$71,846 ","$35,475 ",6.40%,X,X,X,X,X,855,607,208,349,496,39,806,"10,793.00",1.23,"""3464650"""
Rumson,7760,Monmouth,40.369145,-73.99576,,NA,"6,776",NA,"7,065",NA,-4.10%,"7,122",4.00%,33.20%,11.40%,50.80%,95.70%,0.80%,0.00%,1.70%,0.00%,1.10%,4.90%,91.60%,130,5.40%,X,91.90%,"$1,123,900 ","$4,000+","$1,500+","$2,107 ",X,"2,182",3.11,89.70%,6.80%,95.90%,95.00%,98.70%,71.00%,3.50%,2.80%,60.10%,46.10%,"23,831","19,958",D,"16,597","22,056","$3,131 ",45.2,"$177,857 ","$108,505 ",2.90%,X,X,X,X,X,814,410,223,60,710,42,710,"1,408.10",5.06,"""3465130"""
Runnemede,8078,Camden,39.850013,-75.0767,,NA,"8,318",NA,"8,465",NA,-1.70%,"8,468",6.80%,21.80%,14.50%,52.80%,81.80%,8.20%,0.20%,3.90%,0.00%,1.50%,11.00%,76.30%,369,7.90%,X,68.20%,"$165,000 ","$1,715 ",$816 ,$919 ,X,"3,190",2.61,87.00%,12.30%,90.40%,85.90%,90.10%,26.70%,8.90%,8.50%,66.50%,62.80%,"10,932","35,729","12,570","51,189","129,838","$15,364 ",25.8,"$61,859 ","$28,099 ",9.10%,X,X,X,X,X,717,471,156,95,589,89,589,"4,116.70",2.06,"""3465160"""
Sayreville,8871,Middlesex,40.430006,-74.417344,,NA,"44,556",NA,"42,753",NA,4.20%,"42,704",5.50%,21.80%,13.90%,51.20%,66.90%,12.10%,0.10%,15.90%,0.10%,2.60%,13.40%,57.20%,"1,758",27.30%,X,63.50%,"$296,900 ","$2,182 ",$907 ,"$1,240 ",X,"16,461",2.68,90.70%,35.00%,92.50%,88.20%,90.00%,31.90%,6.70%,6.90%,68.00%,61.90%,"37,947","47,448","1,031,927","562,680","406,634","$9,292 ",34.2,"$78,155 ","$36,016 ",6.90%,X,X,X,X,X,"3,626","2,089","1,020","1,192","2,340",245,"3,243","2,695.60",15.84,"""3465790"""
Secaucus,7094,Hudson,40.7885,-74.06,,NA,"20,742",NA,"16,260",NA,27.60%,"16,264",6.00%,19.10%,16.50%,51.30%,62.20%,3.60%,0.50%,27.80%,0.00%,2.60%,21.80%,46.20%,710,35.40%,X,55.80%,"$448,100 ","$2,704 ",$994 ,"$1,597 ",X,"7,285",2.56,88.20%,47.90%,90.90%,88.70%,89.30%,46.20%,5.50%,6.90%,64.70%,60.40%,"155,104","160,809","291,427","6,686,239","965,075","$52,590 ",31.5,"$101,184 ","$46,922 ",6.70%,X,X,X,X,X,"2,046",985,675,866,949,80,"1,685","2,793.50",5.82,"""3466570"""
Somerdale,8083,Camden,39.842613,-75.02496,,NA,"5,473",NA,"5,132",NA,6.60%,"5,151",4.10%,14.80%,16.30%,51.80%,61.30%,25.80%,0.00%,3.50%,0.00%,3.60%,11.60%,56.60%,239,7.50%,X,69.40%,"$168,800 ","$1,760 ",$789 ,$939 ,X,"2,146",2.52,87.20%,11.50%,92.90%,86.50%,92.40%,25.00%,10.40%,8.20%,70.00%,62.20%,"10,317",D,"15,623",D,"93,239","$17,800 ",26.7,"$70,951 ","$35,221 ",9.30%,X,X,X,X,X,425,262,106,67,344,33,377,"3,713.80",1.39,"""3468340"""
Somers Point,8244,Atlantic,39.319901,-74.5999,,NA,"10,285",NA,"10,795",NA,-4.70%,"10,795",5.60%,20.40%,18.00%,54.20%,78.30%,14.60%,0.00%,4.70%,0.00%,1.40%,9.70%,70.40%,479,9.40%,X,58.20%,"$218,000 ","$1,852 ",$847 ,"$1,093 ",X,"4,457",2.34,90.20%,13.50%,89.10%,80.50%,89.10%,28.60%,8.60%,10.30%,66.60%,65.30%,"65,953","359,617",D,"9,068","315,946","$29,243 ",22.7,"$60,061 ","$33,891 ",11.10%,X,X,X,X,X,"1,097",585,419,99,926,57,947,"2,678.70",4.03,"""3468430"""
Somerville,8876,Somerset,40.545853,-74.63592,,NA,"12,202",NA,"12,098",NA,0.90%,"12,098",5.90%,21.90%,12.90%,49.30%,66.10%,9.70%,0.10%,16.70%,0.00%,3.10%,21.50%,49.70%,416,28.00%,X,49.00%,"$308,400 ","$2,350 ","$1,079 ","$1,378 ",X,"4,363",2.68,87.80%,30.40%,90.30%,86.50%,90.50%,44.20%,5.40%,8.80%,68.30%,61.50%,"25,411","382,158","89,083","192,308","311,670","$25,631 ",23.7,"$75,718 ","$35,839 ",6.00%,X,X,X,X,X,"1,304",707,356,249,952,156,"1,043","5,190.00",2.33,"""3468460"""
South Amboy,8879,Middlesex,40.469606,-74.27669,,NA,"8,921",NA,"8,596",NA,3.80%,"8,631",9.30%,20.10%,15.70%,46.40%,82.70%,7.80%,0.00%,3.70%,0.00%,1.00%,17.60%,73.10%,335,13.60%,X,60.40%,"$276,400 ","$2,400 ",$877 ,"$1,236 ",X,"3,395",2.56,93.90%,21.50%,85.40%,77.10%,91.00%,26.50%,6.10%,11.30%,66.90%,65.00%,"16,483","32,884","20,603",D,"46,445","$5,326 ",29.2,"$67,519 ","$34,830 ",7.50%,X,X,X,X,X,597,313,216,185,396,64,515,"5,575.60",1.55,"""3468550"""
South Plainfield,7080,Middlesex,40.580703,-74.41401,,NA,"24,131",NA,"23,392",NA,3.20%,"23,385",6.10%,21.30%,16.30%,50.20%,61.80%,12.60%,0.00%,15.50%,0.00%,3.30%,18.20%,51.90%,921,24.00%,X,83.00%,"$332,700 ","$2,338 ",$897 ,"$1,812 ",X,"7,855",3.01,92.00%,33.40%,92.80%,88.30%,90.90%,35.10%,5.40%,7.60%,69.50%,63.10%,"64,566","113,653","1,054,294","1,491,970","494,373","$20,887 ",30.4,"$100,782 ","$37,145 ",3.20%,X,X,X,X,X,"2,204","1,518",428,846,"1,179",172,"1,834","2,808.30",8.33,"""3469390"""
South River,8882,Middlesex,40.445006,-74.38179,,NA,"16,023",NA,"16,054",NA,-0.20%,"16,008",7.40%,23.70%,13.80%,50.40%,79.90%,9.10%,0.10%,4.50%,0.30%,3.10%,24.60%,59.50%,569,30.00%,X,63.00%,"$294,500 ","$2,323 ",$833 ,"$1,245 ",X,"5,590",2.88,95.40%,43.80%,86.20%,81.40%,82.60%,24.40%,4.60%,17.00%,71.00%,66.10%,"7,673",D,"73,711",D,"40,852","$2,532 ",31.8,"$69,068 ","$30,869 ",11.20%,X,X,X,X,X,"1,251",732,443,317,914,52,"1,176","5,781.10",2.77,"""3469420"""
Spotswood,8884,Middlesex,40.39159,-74.39329,,NA,"8,307",NA,"8,256",NA,0.60%,"8,257",4.70%,20.10%,19.60%,51.90%,88.20%,4.00%,0.10%,4.80%,0.00%,2.00%,9.30%,81.70%,362,11.90%,X,78.20%,"$292,400 ","$2,266 ",$967 ,$927 ,X,"3,339",2.48,93.40%,13.80%,88.60%,82.50%,92.80%,25.30%,5.60%,5.60%,62.70%,58.50%,"6,041",D,D,"22,527","101,400","$12,067 ",33.5,"$76,055 ","$35,828 ",6.70%,X,X,X,X,X,533,334,180,80,436,51,465,"3,642.30",2.27,"""3469810"""
Stratford,8084,Camden,39.829014,-75.01371,,NA,"6,967",NA,"7,051",NA,-1.20%,"7,040",4.10%,19.90%,14.40%,52.30%,80.80%,9.80%,0.00%,5.30%,0.00%,1.70%,5.80%,77.40%,312,7.70%,X,76.20%,"$182,900 ","$2,000 ",$915 ,$962 ,X,"2,608",2.63,91.20%,8.90%,90.00%,86.80%,95.80%,34.80%,11.60%,6.40%,70.60%,66.40%,"5,366",D,X,X,"80,547","$11,528 ",29.2,"$80,233 ","$34,769 ",7.70%,X,X,X,X,X,436,315,99,33,381,60,353,"4,547.80",1.55,"""3471220"""
Summit,7901,Union,40.714501,-74.3633,,NA,"22,016",NA,"21,460",NA,2.60%,"21,457",7.10%,28.20%,12.90%,51.40%,80.10%,3.90%,0.00%,8.60%,0.00%,1.60%,14.60%,71.00%,535,25.60%,X,70.70%,"$879,000 ","$4,000+","$1,500+","$1,816 ",X,"7,657",2.83,89.10%,30.50%,93.50%,90.30%,95.20%,71.00%,3.00%,7.90%,67.50%,58.70%,D,"691,222","8,731",D,"280,149","$12,834 ",36.2,"$146,755 ","$84,258 ",4.80%,X,X,X,X,X,"2,559","1,473",780,458,"1,898",143,"2,216","3,579.10",6,"""3471430"""
Tenafly,7670,Bergen,40.92169,-73.96482,,NA,"14,641",NA,"14,510",NA,0.90%,"14,488",4.20%,31.50%,13.30%,51.00%,65.00%,3.20%,0.00%,27.40%,0.00%,2.40%,9.40%,57.90%,272,36.00%,X,77.70%,"$807,000 ","$3,932 ","$1,500+","$1,807 ",X,"4,600",3.16,92.70%,44.00%,97.50%,96.20%,97.00%,81.50%,1.60%,7.60%,62.80%,52.60%,"29,343",D,D,"41,115","473,095","$32,326 ",43.9,"$159,722 ","$72,415 ",3.70%,X,X,X,X,X,"2,270","1,323",670,500,"1,699",123,"2,066","3,148.90",4.6,"""3472420"""
Totowa,7511,Passaic,41.011428,-74.304793,,NA,"10,804",NA,"10,807",NA,Z,"10,804",4.30%,17.80%,19.90%,53.90%,85.20%,3.50%,0.00%,6.10%,0.00%,3.20%,15.80%,72.20%,529,20.90%,X,83.20%,"$377,200 ","$2,749 ","$1,024 ","$1,596 ",X,"3,460",3.02,94.40%,32.40%,91.10%,89.70%,91.50%,33.20%,9.80%,5.90%,65.90%,59.10%,"29,416","104,887","449,964","689,065","575,168","$52,613 ",27,"$101,321 ","$41,998 ",5.00%,X,X,X,X,X,"1,797","1,090",506,159,"1,530",152,"1,486","2,705.10",3.99,"""3473140"""
Trenton,8601,Mercer,40.280531,-74.712018,,NA,"83,974",NA,"84,964",NA,-1.20%,"84,913",7.50%,26.00%,9.80%,49.80%,41.10%,50.70%,0.30%,1.20%,0.00%,1.50%,36.40%,12.90%,"2,188",23.30%,X,36.60%,"$95,100 ","$1,487 ",$638 ,"$1,029 ",X,"27,401",2.92,83.90%,37.00%,79.10%,60.10%,71.80%,11.70%,11.50%,20.10%,58.80%,55.40%,D,"735,324",D,"745,596","341,612","$4,044 ",24.1,"$35,387 ","$18,473 ",28.40%,X,X,X,X,X,"4,006","2,036","1,604","2,392","1,341",373,"3,350","11,102.60",7.65,"""3474000"""
Union City,7087,Hudson,40.767751,-74.0302,,NA,"68,520",NA,"66,439",NA,3.10%,"66,455",6.70%,22.70%,10.80%,50.90%,74.20%,4.70%,0.10%,3.80%,0.10%,3.30%,77.30%,16.10%,570,58.20%,X,19.70%,"$317,600 ","$2,661 ","$1,208 ","$1,202 ",X,"24,147",2.81,94.20%,84.40%,86.60%,77.70%,70.20%,20.50%,5.20%,27.00%,68.20%,59.70%,"53,842","119,670","58,778","107,666","340,818","$5,031 ",33.6,"$45,636 ","$22,741 ",21.30%,X,X,X,X,X,"6,335","3,491","2,338","5,049","1,069",224,"5,949","51,796.60",1.28,"""3474630"""
Ventnor City,8406,Atlantic,39.342299,-74.48192,,NA,"10,039",NA,"10,650",NA,-5.70%,"10,650",5.90%,16.10%,23.40%,52.60%,81.20%,4.40%,0.00%,9.60%,0.00%,3.10%,23.10%,62.00%,562,21.90%,X,62.20%,"$268,600 ","$2,210 ","$1,030 ","$1,166 ",X,"4,196",2.44,88.00%,36.00%,87.60%,75.20%,88.70%,30.10%,9.00%,12.10%,62.20%,55.10%,D,D,X,D,"85,154","$8,022 ",25.4,"$55,484 ","$33,520 ",12.50%,X,X,X,X,X,968,566,281,119,831,37,859,"5,458.70",1.95,"""3475620"""
Vineland,8360,Cumberland,39.492265,-75.01887,,NA,"59,966",NA,"60,737",NA,-1.30%,"60,724",7.50%,23.70%,16.10%,52.90%,70.20%,13.70%,0.30%,1.50%,0.00%,5.40%,40.30%,43.70%,"2,474",12.50%,X,66.20%,"$168,300 ","$1,610 ",$753 ,"$1,017 ",X,"20,811",2.8,89.30%,38.60%,83.90%,77.00%,77.00%,17.70%,10.10%,11.50%,61.40%,56.30%,"98,925","609,494","1,553,644","1,467,908","1,066,389","$17,524 ",22.8,"$55,054 ","$25,800 ",14.40%,X,X,X,X,X,"4,156","2,480","1,021","1,320","2,531",334,"3,487",887.5,68.42,"""3476070"""
Waldwick,7463,Bergen,41.013109,-74.12231,,NA,"10,207",NA,"9,581",NA,6.50%,"9,625",6.40%,24.50%,17.20%,50.30%,88.60%,1.40%,0.00%,7.20%,0.00%,1.90%,10.10%,79.70%,324,13.30%,X,89.80%,"$440,800 ","$2,855 ","$1,199 ","$2,006 ",X,"3,574",2.78,94.50%,15.40%,94.00%,91.70%,94.90%,52.50%,3.50%,2.50%,72.60%,65.60%,"13,164","48,583","46,163","93,813","70,147","$7,116 ",28.2,"$119,434 ","$49,088 ",4.40%,X,X,X,X,X,"1,075",630,314,189,844,159,873,"4,656.50",2.07,"""3476400"""
Wallington,7057,Bergen,40.852931,-74.10925,,NA,"11,591",NA,"11,335",NA,2.30%,"11,335",4.50%,17.60%,15.00%,52.20%,87.30%,4.00%,0.10%,7.20%,0.00%,0.50%,13.50%,75.40%,300,44.60%,X,41.40%,"$356,800 ","$2,756 ","$1,053 ","$1,232 ",X,"4,676",2.47,94.10%,61.80%,90.20%,81.50%,90.90%,30.50%,5.10%,16.00%,65.60%,58.00%,"5,178",D,D,"102,483","60,517","$5,221 ",28.9,"$65,212 ","$36,586 ",10.60%,X,X,X,X,X,"1,191",744,350,124,"1,033",140,"1,033","11,531.00",0.98,"""3476490"""
Wanaque,7465,Passaic,41.052958,-74.28236,,NA,"11,741",NA,"11,073",NA,6.00%,"11,116",5.70%,19.50%,22.40%,49.50%,86.40%,3.80%,0.00%,5.40%,0.00%,2.80%,12.20%,76.60%,665,17.30%,X,85.30%,"$313,000 ","$2,548 ","$1,299 ","$1,542 ",X,"4,085",2.74,92.20%,20.90%,94.40%,91.40%,92.60%,34.20%,6.60%,6.80%,62.60%,53.90%,"6,559","50,805",D,D,"78,178","$7,013 ",33.7,"$90,091 ","$41,987 ",5.60%,X,X,X,X,X,874,613,213,101,755,94,754,"1,391.20",7.99,"""3476730"""
Washington,7882,Warren,40.753753,-74.99617,,NA,"6,452",NA,"6,461",NA,-0.10%,"6,461",5.50%,20.50%,11.10%,51.20%,85.00%,6.40%,0.00%,3.90%,0.00%,1.80%,13.20%,75.50%,172,10.40%,X,51.40%,"$210,600 ","$1,899 ",$962 ,"$1,122 ",X,"2,632",2.45,88.00%,14.40%,91.00%,90.10%,86.90%,21.40%,6.30%,9.30%,76.60%,71.30%,"7,658","14,480",D,D,"81,058","$12,626 ",35.9,"$64,754 ","$33,735 ",7.40%,X,X,X,X,X,647,386,197,106,520,113,472,"3,327.00",1.94,"""3477270"""
Watchung,7069,Somerset,40.641207,-74.443695,,NA,"6,055",NA,"5,983",NA,1.20%,"5,801",4.30%,23.30%,22.10%,54.70%,80.60%,1.00%,0.00%,14.30%,0.00%,0.30%,14.10%,70.40%,334,17.30%,X,77.50%,"$719,400 ","$3,646 ","$1,500+","$1,534 ",X,"1,899",3.08,90.00%,26.90%,90.60%,90.60%,97.80%,55.20%,5.00%,3.80%,59.30%,50.70%,"26,577",D,D,"34,315","642,654","$110,119 ",38.7,"$153,341 ","$62,885 ",3.80%,X,X,X,X,X,822,478,263,101,652,60,683,962.7,6.03,"""3477600"""
West Long Branch,7764,Monmouth,40.289985,-74.01671,,NA,"7,909",NA,"8,084",NA,-2.20%,"8,097",5.30%,20.70%,14.40%,55.70%,91.30%,4.60%,0.00%,0.70%,0.00%,1.90%,6.10%,86.60%,270,7.00%,X,76.70%,"$419,700 ","$2,757 ","$1,124 ","$1,586 ",X,"2,459",2.73,82.70%,11.70%,92.40%,87.40%,92.10%,42.30%,3.50%,9.80%,61.80%,57.10%,D,"79,437",D,"28,541","353,578","$41,519 ",24.3,"$104,566 ","$39,709 ",6.20%,X,X,X,X,X,848,561,225,55,740,28,762,"2,833.10",2.86,"""3479310"""
West New York,7093,Hudson,40.7895,-74.01223,,NA,"52,990",NA,"49,700",NA,6.60%,"49,708",7.00%,20.70%,12.40%,50.10%,60.30%,3.40%,0.20%,6.20%,0.20%,3.00%,76.40%,13.90%,605,61.10%,X,21.30%,"$315,200 ","$2,384 ","$1,254 ","$1,287 ",X,"19,646",2.67,87.10%,83.00%,86.30%,75.40%,74.50%,29.10%,5.70%,25.90%,69.40%,61.20%,"42,845","99,043","23,237",D,"288,925","$5,614 ",37.2,"$54,512 ","$28,221 ",20.20%,X,X,X,X,X,"4,252","2,455","1,509","2,957","1,222",208,"4,008","49,362.50",1.01,"""3479610"""
Westfield,7090,Union,40.649202,-74.34567,,NA,"29,881",NA,"30,296",NA,-1.40%,"30,316",6.20%,29.10%,14.10%,52.30%,84.70%,3.00%,0.10%,7.10%,0.00%,1.70%,7.60%,80.30%,861,11.10%,X,83.20%,"$727,600 ","$3,768 ","$1,500+","$1,663 ",X,"10,376",2.87,90.70%,14.00%,93.90%,91.40%,97.60%,73.40%,3.20%,2.00%,67.20%,58.50%,D,"188,031","11,127",D,"262,436","$8,565 ",40.5,"$168,721 ","$80,638 ",2.90%,X,X,X,X,X,"3,135","2,001",840,289,"2,681",240,"2,728","4,512.00",6.72,"""3479040"""
Westwood,7675,Bergen,40.99904,-74.03291,,NA,"11,155",NA,"10,927",NA,2.10%,"10,908",4.00%,22.10%,19.00%,52.20%,82.00%,3.00%,0.00%,8.70%,0.00%,2.10%,20.70%,66.00%,420,21.20%,X,59.20%,"$447,100 ","$2,900 ","$1,131 ","$1,748 ",X,"4,387",2.52,87.50%,26.70%,92.60%,90.00%,93.00%,51.00%,5.20%,4.70%,70.60%,63.10%,"17,659","97,813",D,"54,820","148,189","$13,458 ",35.6,"$102,938 ","$51,798 ",6.30%,X,X,X,X,X,"1,346",798,382,248,"1,018",75,"1,185","4,813.80",2.27,"""3480270"""
Wharton,7885,Morris,40.913298,-74.58246,,NA,"6,457",NA,"6,534",NA,-1.20%,"6,522",6.20%,25.40%,13.40%,50.90%,55.80%,1.30%,0.20%,8.10%,0.00%,4.20%,52.20%,36.30%,239,33.70%,X,51.00%,"$294,400 ","$2,270 ",$941 ,"$1,431 ",X,"2,339",2.78,95.00%,55.60%,88.80%,78.50%,86.00%,27.00%,6.50%,11.80%,67.70%,60.80%,"6,144",D,D,D,"241,564","$36,729 ",26.4,"$69,271 ","$33,590 ",4.50%,X,X,X,X,X,498,333,130,224,259,47,433,"3,039.10",2.15,"""3480390"""
Wood Ridge,7075,Bergen,40.847638,-74.08754,,NA,"9,159",NA,"7,628",NA,20.10%,"7,626",6.50%,19.40%,14.50%,52.40%,78.40%,3.10%,0.00%,11.90%,0.00%,4.10%,13.40%,68.60%,327,19.50%,X,69.00%,"$386,600 ","$2,696 ","$1,054 ","$1,670 ",X,"3,252",2.62,91.30%,25.90%,93.10%,92.40%,95.50%,41.60%,4.40%,7.20%,66.20%,64.40%,"14,622","3,981","41,974","260,434","151,118","$18,081 ",29.8,"$92,989 ","$43,594 ",5.50%,X,X,X,X,X,653,370,209,159,482,34,607,"6,951.70",1.1,"""3482570"""
Woodbury,8096,Gloucester,39.830313,-75.13221,,NA,"9,852",NA,"10,151",NA,-2.90%,"10,174",9.40%,22.70%,14.40%,53.70%,56.90%,30.90%,0.20%,0.90%,0.00%,6.20%,12.10%,52.90%,444,7.90%,X,55.60%,"$161,700 ","$1,838 ",$971 ,"$1,070 ",X,"3,903",2.52,89.00%,11.20%,83.20%,70.70%,89.60%,28.90%,13.10%,11.30%,65.90%,56.90%,"21,455","324,853",D,D,"316,724","$31,405 ",31,"$53,281 ","$29,495 ",21.20%,X,X,X,X,X,903,592,206,201,645,122,726,"5,064.20",2.01,"""3482120"""
Woodcliff Lake,7677,Bergen,41.025101,-74.059762,,NA,"5,862",NA,"5,715",NA,2.60%,"5,730",4.10%,23.00%,17.20%,53.40%,89.00%,3.20%,0.10%,6.70%,0.00%,1.00%,0.80%,88.20%,242,11.30%,X,89.10%,"$790,400 ","$4,000+","$1,500+","$1,772 ",X,"2,009",2.84,94.20%,16.20%,94.70%,93.20%,99.30%,72.10%,1.50%,1.40%,63.30%,59.00%,"17,459","40,183",X,D,"146,239","$25,097 ",32.5,"$167,344 ","$80,195 ",2.70%,X,X,X,X,X,905,597,255,68,795,127,734,"1,682.80",3.41,"""3482300"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
