,Lat,Lon,City,County
12903,39.01549,-74.878321,Middle Township,Cape May County
12913,39.013648,-74.874301,Middle Township,Cape May County
12914,39.011103,-74.870006,Middle Township,Cape May County
12915,39.012188,-74.87185,Middle Township,Cape May County
12916,39.015909,-74.874652,Middle Township,Cape May County
12917,39.03257,-74.86056,Middle Township,Cape May County
12918,39.039018,-74.856591,Middle Township,Cape May County
12919,39.04637,-74.850652,Middle Township,Cape May County
12975,38.9498,-74.909232,Lower Township,Cape May County
12976,39.014188,-74.875672,Middle Township,Cape May County
12977,39.011818,-74.871692,Middle Township,Cape May County
12978,39.010779,-74.869911,Middle Township,Cape May County
12994,38.998848,-74.935073,Lower Township,Cape May County
12995,38.973668,-74.924941,Lower Township,Cape May County
13001,39.79168,-75.0369,Gloucester Township,Camden County
13002,39.789038,-75.058402,Gloucester Township,Camden County
13003,39.778669,-75.015662,Gloucester Township,Camden County
13004,39.778699,-75.016112,Gloucester Township,Camden County
13013,39.012127,-74.877983,Middle Township,Cape May County
13020,39.80471,-75.068052,Gloucester Township,Camden County
13036,40.355219,-74.61496,Plainsboro Township,Middlesex County
13107,38.979428,-74.938522,Lower Township,Cape May County
13108,38.979707,-74.938871,Lower Township,Cape May County
13113,39.723628,-75.220231,Harrison Township,Gloucester County
13114,39.723499,-75.220351,Harrison Township,Gloucester County
13142,40.23767,-74.043843,Ocean Township,Monmouth County
13143,40.237889,-74.044052,Ocean Township,Monmouth County
13144,40.238048,-74.04573,Ocean Township,Monmouth County
13145,40.235998,-74.047041,Ocean Township,Monmouth County
13146,40.234099,-74.04676,Ocean Township,Monmouth County
13147,40.234398,-74.046731,Ocean Township,Monmouth County
13148,40.235809,-74.046961,Ocean Township,Monmouth County
13149,40.238127,-74.045553,Ocean Township,Monmouth County
13162,39.181438,-74.72233,Dennis,Cape May County
13164,40.90688,-74.552893,Rockaway Township,Morris County
13181,40.739098,-74.362271,Millburn,Essex County
13217,40.883738,-74.539021,Rockaway Township,Morris County
13237,39.7468,-74.996071,Gloucester Township,Camden County
13260,40.35303,-74.594412,Plainsboro Township,Middlesex County
13261,40.347549,-74.593552,Plainsboro Township,Middlesex County
13264,40.336868,-74.590423,Plainsboro Township,Middlesex County
13265,40.349489,-74.593461,Plainsboro Township,Middlesex County
13266,40.352139,-74.593683,Plainsboro Township,Middlesex County
13364,39.791189,-75.174922,Mantua Township,Gloucester County
13367,39.761929,-75.160171,Mantua Township,Gloucester County
13368,39.76183,-75.160171,Mantua Township,Gloucester County
13369,39.791419,-75.171681,Mantua Township,Gloucester County
13471,40.260809,-74.041353,Ocean Township,Monmouth County
13472,40.256347,-74.040451,Ocean Township,Monmouth County
13473,40.245249,-74.038143,Ocean Township,Monmouth County
13474,40.241268,-74.037422,Ocean Township,Monmouth County
13479,40.209549,-74.025863,Neptune Township,Monmouth County
13480,40.207009,-74.044801,Neptune Township,Monmouth County
13485,40.20853,-74.032661,Neptune Township,Monmouth County
13529,38.967719,-74.921841,Lower Township,Cape May County
13530,38.972218,-74.921553,Lower Township,Cape May County
13531,38.968089,-74.92176,Lower Township,Cape May County
13612,40.210078,-74.089662,Neptune Township,Monmouth County
13700,38.976529,-74.909313,Lower Township,Cape May County
13701,38.981398,-74.905883,Lower Township,Cape May County
13706,38.981247,-74.906173,Lower Township,Cape May County
13711,38.970319,-74.914021,Lower Township,Cape May County
13712,38.975109,-74.910441,Lower Township,Cape May County
13717,38.974939,-74.910701,Lower Township,Cape May County
13915,40.722569,-74.287512,Millburn,Essex County
13919,40.722629,-74.287703,Millburn,Essex County
14101,40.426107,-74.238841,Aberdeen Township,Monmouth County
14109,40.403618,-74.231181,Aberdeen Township,Monmouth County
14229,38.963299,-74.907863,Lower Township,Cape May County
14258,38.963468,-74.908493,Lower Township,Cape May County
14284,39.970699,-74.588512,Pemberton Township,Burlington County
14285,39.968098,-74.59541,Pemberton Township,Burlington County
14286,39.966558,-74.634693,Pemberton Township,Burlington County
14293,39.966419,-74.634522,Pemberton Township,Burlington County
14294,39.968087,-74.595121,Pemberton Township,Burlington County
14337,39.778129,-75.258672,East Greenwich Township,Gloucester County
14354,39.77808,-75.258921,East Greenwich Township,Gloucester County
14366,39.770867,-75.422343,Oldmans Township,Salem County
14367,39.775,-75.41771,Oldmans Township,Salem County
14523,39.7549,-75.14974,Mantua Township,Gloucester County
14524,39.758328,-75.154822,Mantua Township,Gloucester County
14596,39.74937,-74.99194,Gloucester Township,Camden County
14659,39.028928,-74.863303,Middle Township,Cape May County
14660,39.087989,-74.817952,Middle Township,Cape May County
14661,39.092239,-74.813382,Middle Township,Cape May County
14662,39.100657,-74.810992,Middle Township,Cape May County
14663,39.091919,-74.813891,Middle Township,Cape May County
14664,39.015969,-74.874783,Middle Township,Cape May County
14665,39.085887,-74.820563,Middle Township,Cape May County
14675,39.672768,-74.82603,Winslow Township,Camden County
14676,39.700527,-74.846672,Winslow Township,Camden County
14680,39.700429,-74.846822,Winslow Township,Camden County
14719,40.340857,-74.603502,Plainsboro Township,Middlesex County
14720,40.354699,-74.59599,Plainsboro Township,Middlesex County
14721,40.357458,-74.599631,Plainsboro Township,Middlesex County
14722,40.35685,-74.600932,Plainsboro Township,Middlesex County
14723,40.354,-74.59545,Plainsboro Township,Middlesex County
14933,40.236768,-74.041313,Ocean Township,Monmouth County
14936,40.23656,-74.041122,Ocean Township,Monmouth County
14942,40.208568,-74.033393,Neptune Township,Monmouth County
14950,40.2639,-74.000382,Ocean Township,Monmouth County
14960,40.677409,-75.146952,Pohatcong Township,Warren County
15001,40.340959,-74.60504,Plainsboro Township,Middlesex County
15048,39.807949,-75.062712,Gloucester Township,Camden County
15049,39.807699,-75.062451,Gloucester Township,Camden County
15071,40.336928,-74.622303,Plainsboro Township,Middlesex County
15072,40.337048,-74.62227,Plainsboro Township,Middlesex County
15090,40.683668,-75.150661,Pohatcong Township,Warren County
15118,39.042799,-74.844882,Middle Township,Cape May County
15119,39.042928,-74.844402,Middle Township,Cape May County
15135,39.78686,-75.071913,Gloucester Township,Camden County
15138,40.353098,-74.615181,Plainsboro Township,Middlesex County
15348,39.824179,-75.067621,Gloucester Township,Camden County
15369,40.22535,-74.034951,Ocean Township,Monmouth County
15370,40.224549,-74.031893,Neptune Township,Monmouth County
15371,40.224089,-74.029713,Neptune Township,Monmouth County
15465,40.339449,-74.621052,Plainsboro Township,Middlesex County
15472,40.335278,-74.58681,Plainsboro Township,Middlesex County
15478,40.336459,-74.573601,Plainsboro Township,Middlesex County
15479,40.674255,-75.144899,Pohatcong Township,Warren County
15542,39.782988,-75.038142,Gloucester Township,Camden County
15560,39.992018,-74.623671,Pemberton Township,Burlington County
15561,39.971828,-74.58634,Pemberton Township,Burlington County
15621,39.103039,-74.801832,Middle Township,Cape May County
15636,39.974617,-74.591051,Pemberton Township,Burlington County
15637,39.974417,-74.590902,Pemberton Township,Burlington County
15638,39.972828,-74.587734,Pemberton Township,Burlington County
15644,40.342809,-74.593452,Plainsboro Township,Middlesex County
15645,40.342639,-74.593862,Plainsboro Township,Middlesex County
15646,39.105209,-74.799212,Middle Township,Cape May County
15741,40.339279,-74.620873,Plainsboro Township,Middlesex County
15806,39.100348,-74.804572,Middle Township,Cape May County
15827,39.78498,-75.050801,Gloucester Township,Camden County
15834,39.085547,-74.820691,Middle Township,Cape May County
15835,39.049639,-74.845773,Middle Township,Cape May County
15836,39.049798,-74.846063,Middle Township,Cape May County
15974,39.96652,-74.641133,Pemberton Township,Burlington County
15975,39.966679,-74.64765,Pemberton Township,Burlington County
16032,39.742358,-74.996881,Winslow Township,Camden County
16057,39.717728,-75.14926,Harrison Township,Gloucester County
