MUNICIPALITY_NAME_COMMON,MUNICIPALITY_NAME_NJ-1040,MUNICIPALITY_CODE_NJ-1040,Num_Rail_Stops,Num_Bus_Stops,Total_Transit,Transit_Score_1,Xscore
Absecon,Absecon City,101,1,36,37,500,261
Atlantic City,Atlantic City,102,1,220,221,500,317
Brigantine,Brigantine City,103,0,58,58,250,63
Buena Borough,Buena Borough,104,0,2,2,250,2
Buena Vista Township,Buena Vista Township,105,0,28,28,250,30
Corbin City,Corbin City,106,0,3,3,250,3
Egg Harbor City,Egg Harbor City,107,1,12,13,500,254
Egg Harbor Township,Egg Harbor Township,108,0,52,52,250,56
Estell Manor,Estell Manor City,109,0,4,4,250,4
Folsom Borough,Folsom Borough,110,0,6,6,250,6
Galloway Township,Galloway Township,111,0,72,72,250,78
Hamilton Township,Hamilton Township,112,0,73,73,250,79
Hammonton,Hammonton Town,113,1,21,22,500,257
Linwood,Linwood City,114,0,62,62,250,67
Longport Borough,Longport Borough,115,0,19,19,250,21
Margate City,Margate City,116,0,25,25,250,27
Mullica Township,Mullica Township,117,0,20,20,250,22
Northfield,Northfield City,118,0,36,36,250,39
Pleasantville,Pleasantville City,119,0,55,55,250,60
Port Republic,Port Republic City,120,0,2,2,250,2
Somers Point,Somers Point City,121,0,31,31,250,34
Ventnor City,Ventnor City,122,0,43,43,250,47
Weymouth Township,Weymouth Township,123,0,2,2,250,2
Allendale Borough,Allendale Borough,201,1,0,1,250,1
Alpine Borough,Alpine Borough,202,0,0,0,0,0
Bergenfield Borough,Bergenfield Borough,203,0,42,42,250,45
Bogota Borough,Bogota Borough,204,0,20,20,250,22
Carlstadt Borough,Carlstadt Borough,205,0,37,37,250,40
Cliffside Park Borough,Cliffside Park Borough,206,0,46,46,250,50
Closter Borough,Closter Borough,207,0,7,7,250,8
Cresskill Borough,Cresskill Borough,208,0,14,14,250,15
Demarest Borough,Demarest Borough,209,0,0,0,0,0
Dumont Borough,Dumont Borough,210,0,44,44,250,48
Elmwood Park Borough,Elmwood Park Borough,211,0,66,66,250,71
East Rutherford Borough,East Rutherford Borough,212,1,37,38,500,262
Edgewater Borough,Edgewater Borough,213,0,42,42,250,45
Emerson Borough,Emerson Borough,214,1,8,9,500,253
Englewood,Englewood City,215,0,81,81,250,88
Englewood Cliffs Borough,Englewood Cliffs Borough,216,0,13,13,250,14
Fair Lawn Borough,Fair Lawn Borough,217,2,111,113,500,284
Fairview Borough,Fairview Borough,218,0,32,32,250,35
Fort Lee Borough,Fort Lee Borough,219,0,99,99,250,107
Franklin Lakes Borough,Franklin Lakes Borough,220,0,14,14,250,15
Garfield,Garfield City,221,2,80,82,500,275
Glen Rock Borough,Glen Rock Borough,222,2,31,33,500,260
Hackensack,Hackensack City,223,2,156,158,500,298
Harrington Park Borough,Harrington Park Borough,224,0,1,1,250,1
Hasbrouck Heights Borough,Hasbrouck Heights Borough,225,1,31,32,500,260
Haworth Borough,Haworth Borough,226,0,7,7,250,8
Hillsdale Borough,Hillsdale Borough,227,1,0,1,250,1
Ho-Ho-Kus Borough,Ho-Ho-Kus Borough,228,1,0,1,250,1
Leonia Borough,Leonia Borough,229,0,36,36,250,39
Little Ferry Borough,Little Ferry Borough,230,0,18,18,250,19
Lodi Borough,Lodi Borough,231,0,39,39,250,42
Lyndhurst Township,Lyndhurst Township,232,2,44,46,500,264
Mahwah Township,Mahwah Township,233,1,0,1,250,1
Maywood Borough,Maywood Borough,234,0,46,46,250,50
Midland Park Borough,Midland Park Borough,235,0,22,22,250,24
Montvale Borough,Montvale Borough,236,1,0,1,250,1
Moonachie Borough,Moonachie Borough,237,0,19,19,250,21
New Milford Borough,New Milford Borough,238,0,45,45,250,49
North Arlington Borough,North Arlington Borough,239,0,18,18,250,19
Northvale Borough,Northvale Borough,240,0,0,0,0,0
Norwood Borough,Norwood Borough,241,0,0,0,0,0
Oakland Borough,Oakland Borough,242,0,7,7,250,8
Old Tappan Borough,Old Tappan Borough,243,0,0,0,0,0
Oradell Borough,Oradell Borough,244,1,29,30,500,259
Palisades Park Borough,Palisades Park Borough,245,0,21,21,250,23
Paramus Borough,Paramus Borough,246,0,154,154,250,167
Park Ridge Borough,Park Ridge Borough,247,0,0,0,0,0
Ramsey Borough,Ramsey Borough,248,2,0,2,250,2
Ridgefield Borough,Ridgefield Borough,249,0,58,58,250,63
Ridgefield Park Village,Ridgefield Park Village,250,0,65,65,250,70
Ridgewood Village,Ridgewood Village,251,1,48,49,500,265
River Edge Borough,River Edge Borough,252,2,25,27,500,258
River Vale Township,River Vale Township,253,0,0,0,0,0
Rochelle Park Township,Rochelle Park Township,254,0,25,25,250,27
Rockleigh Borough,Rockleigh Borough,255,0,0,0,0,0
Rutherford Borough,Rutherford Borough,256,0,45,45,250,49
Saddle Brook Township,Saddle Brook Township,257,0,61,61,250,66
Saddle River Borough,Saddle River Borough,258,0,0,0,0,0
South Hackensack Township,South Hackensack Township,259,0,21,21,250,23
Teaneck Township,Teaneck Township,260,0,185,185,250,200
Tenafly Borough,Tenafly Borough,261,0,32,32,250,35
Teterboro Borough,Teterboro Borough,262,0,19,19,250,21
Upper Saddle River Borough,Upper Saddle River Borough,263,0,0,0,0,0
Waldwick Borough,Waldwick Borough,264,1,0,1,250,1
Wallington Borough,Wallington Borough,265,0,33,33,250,36
Washington Township,Washington Township,266,0,0,0,0,0
Westwood Borough,Westwood Borough,267,1,10,11,500,253
Woodcliff Lake Borough,Woodcliff Lake Borough,268,1,0,1,250,1
Wood-Ridge Borough,Wood-Ridge Borough,269,2,22,24,500,257
Wyckoff Township,Wyckoff Township,270,0,14,14,250,15
Bass River Township,Bass River Township,301,0,11,11,250,12
Beverly,Beverly City,302,1,1,2,500,251
Bordentown,Bordentown City,303,1,13,14,500,254
Bordentown Township,Bordentown Township,304,0,10,10,250,11
Burlington,Burlington City,305,2,28,30,500,259
Burlington Township,Burlington Township,306,0,40,40,250,43
Chesterfield Township,Chesterfield Township,307,0,0,0,0,0
Cinnaminson Township,Cinnaminson Township,308,1,22,23,500,257
Delanco Township,Delanco Township,309,1,0,1,250,1
Delran Township,Delran Township,310,0,19,19,250,21
Eastampton Township,Eastampton Township,311,0,0,0,0,0
Edgewater Park Township,Edgewater Park Township,312,0,5,5,250,5
Evesham Township,Evesham Township,313,0,20,20,250,22
Fieldsboro Borough,Fieldsboro Borough,314,0,5,5,250,5
Florence Township,Florence Township,315,2,37,39,500,262
Hainesport Township,Hainesport Township,316,0,28,28,250,30
Lumberton Township,Lumberton Township,317,0,4,4,250,4
Mansfield Township,Mansfield Township,318,0,9,9,250,10
Maple Shade Township,Maple Shade Township,319,0,25,25,250,27
Medford Township,Medford Township,320,0,0,0,0,0
Medford Lakes Borough,Medford Lakes Borough,321,0,0,0,0,0
Moorestown Township,Moorestown Township,322,0,62,62,250,67
Mount Holly Township,Mount Holly Township,323,0,20,20,250,22
Mount Laurel Township,Mount Laurel Township,324,0,51,51,250,55
New Hanover Township,New Hanover Township,325,0,8,8,250,9
North Hanover Township,North Hanover Township,326,0,6,6,250,6
Palmyra Borough,Palmyra Borough,327,1,12,13,500,254
Pemberton Borough,Pemberton Borough,328,0,2,2,250,2
Pemberton Township,Pemberton Township,329,0,15,15,250,16
Riverside Township,Riverside Township,330,1,6,7,500,252
Riverton Borough,Riverton Borough,331,1,9,10,500,253
Shamong Township,Shamong Township,332,0,0,0,0,0
Southampton Township,Southampton Township,333,0,8,8,250,9
Springfield Township,Springfield Township,334,0,0,0,0,0
Tabernacle Township,Tabernacle Township,335,0,0,0,0,0
Washington Township,Washington Township,336,0,0,0,0,0
Westampton Township,Westampton Township,337,0,9,9,250,10
Willingboro Township,Willingboro Township,338,0,52,52,250,56
Woodland Township,Woodland Township,339,0,0,0,0,0
Wrightstown Borough,Wrightstown Borough,340,0,4,4,250,4
Audubon Borough,Audubon Borough,401,0,37,37,250,40
Audubon Park Borough,Audubon Park Borough,402,0,1,1,250,1
Barrington Borough,Barrington Borough,403,0,19,19,250,21
Bellmawr Borough,Bellmawr Borough,404,0,13,13,250,14
Berlin Borough,Berlin Borough,405,0,27,27,250,29
Berlin Township,Berlin Township,406,0,12,12,250,13
Brooklawn Borough,Brooklawn Borough,407,0,7,7,250,8
Camden,Camden City,408,4,310,314,500,346
Cherry Hill Township,Cherry Hill Township,409,0,231,231,250,250
Chesilhurst Borough,Chesilhurst Borough,410,1,13,14,500,254
Clementon Borough,Clementon Borough,411,0,26,26,250,28
Collingswood Borough,Collingswood Borough,412,0,34,34,250,37
Gibbsboro Borough,Gibbsboro Borough,413,0,0,0,0,0
Gloucester City,Gloucester City,414,0,18,18,250,19
Gloucester Township,Gloucester Township,415,0,109,109,250,118
Haddon Township,Haddon Township,416,0,36,36,250,39
Haddonfield Borough,Haddonfield Borough,417,0,27,27,250,29
Haddon Heights Borough,Haddon Heights Borough,418,0,26,26,250,28
Hi-Nella Borough,Hi-Nella Borough,419,0,0,0,0,0
Laurel Springs Borough,Laurel Springs Borough,420,0,4,4,250,4
Lawnside Borough,Lawnside Borough,421,0,6,6,250,6
Lindenwold Borough,Lindenwold Borough,422,1,43,44,500,263
Magnolia Borough,Magnolia Borough,423,0,8,8,250,9
Merchantville Borough,Merchantville Borough,424,0,25,25,250,27
Mount Ephraim Borough,Mount Ephraim Borough,425,0,22,22,250,24
Oaklyn Borough,Oaklyn Borough,426,0,11,11,250,12
Pennsauken Township,Pennsauken Township,427,4,175,179,500,305
Pine Hill Borough,Pine Hill Borough,428,0,25,25,250,27
Pine Valley Borough,Pine Valley Borough,429,0,0,0,0,0
Runnemede Borough,Runnemede Borough,430,0,38,38,250,41
Somerdale Borough,Somerdale Borough,431,0,13,13,250,14
Stratford Borough,Stratford Borough,432,0,24,24,250,26
Tavistock Borough,Tavistock Borough,433,0,0,0,0,0
Voorhees Township,Voorhees Township,434,0,51,51,250,55
Waterford Township,Waterford Township,435,1,20,21,500,256
Winslow Township,Winslow Township,436,0,84,84,250,91
Woodlynne Borough,Woodlynne Borough,437,0,10,10,250,11
Avalon Borough,Avalon Borough,501,0,16,16,250,17
Cape May,Cape May City,502,0,2,2,250,2
Cape May Point Borough,Cape May Point Borough,503,0,0,0,0,0
Dennis Township,Dennis Township,504,0,11,11,250,12
Lower Township,Lower Township,505,0,54,54,250,58
Middle Township,Middle Township,506,0,65,65,250,70
North Wildwood,North Wildwood City,507,0,23,23,250,25
Ocean City,Ocean City,508,0,2,2,250,2
Sea Isle City,Sea Isle City,509,0,6,6,250,6
Stone Harbor Borough,Stone Harbor Borough,510,0,4,4,250,4
Upper Township,Upper Township,511,0,9,9,250,10
West Cape May Borough,West Cape May Borough,512,0,10,10,250,11
West Wildwood Borough,West Wildwood Borough,513,0,0,0,0,0
Wildwood,Wildwood City,514,0,14,14,250,15
Wildwood Crest Borough,Wildwood Crest Borough,515,0,0,0,0,0
Woodbine Borough,Woodbine Borough,516,0,10,10,250,11
Bridgeton,Bridgeton City,601,0,30,30,250,32
Commercial Township,Commercial Township,602,0,0,0,0,0
Deerfield Township,Deerfield Township,603,0,0,0,0,0
Downe Township,Downe Township,604,0,0,0,0,0
Fairfield Township,Fairfield Township,605,0,16,16,250,17
Greenwich Township,Greenwich Township,606,0,0,0,0,0
Hopewell Township,Hopewell Township,607,0,0,0,0,0
Lawrence Township,Lawrence Township,608,0,0,0,0,0
Maurice River Township,Maurice River Township,609,0,6,6,250,6
Millville,Millville City,610,0,78,78,250,84
Shiloh Borough,Shiloh Borough,611,0,0,0,0,0
Stow Creek Township,Stow Creek Township,612,0,0,0,0,0
Upper Deerfield Township,Upper Deerfield Township,613,0,24,24,250,26
Vineland,Vineland City,614,0,85,85,250,92
Belleville Township,Belleville Township,701,1,45,46,500,264
Bloomfield Township,Bloomfield Township,702,3,129,132,500,290
Caldwell Borough,Caldwell Borough,703,0,19,19,250,21
Cedar Grove Township,Cedar Grove Township,704,0,50,50,250,54
East Orange,East Orange City,705,2,202,204,500,312
Essex Fells Borough,Essex Fells Borough,706,0,9,9,250,10
Fairfield Township,Fairfield Township,707,0,23,23,250,25
Glen Ridge Borough,Glen Ridge Borough,708,1,9,10,500,253
Irvington Township,Irvington Township,709,0,167,167,250,181
Livingston Township,Livingston Township,710,0,91,91,250,98
Maplewood Township,Maplewood Township,711,1,27,28,500,259
Millburn Township,Millburn Township,712,2,21,23,500,257
Montclair Township,Montclair Township,713,6,92,98,500,280
Newark,Newark City,714,19,802,821,500,500
North Caldwell Borough,North Caldwell Borough,715,0,0,0,0,0
Nutley Township,Nutley Township,716,0,78,78,250,84
City of Orange Township,City of Orange Township,717,2,69,71,500,272
Roseland Borough,Roseland Borough,718,0,11,11,250,12
South Orange Village Township,South Orange Village Township,719,2,15,17,500,255
Verona Township,Verona Township,720,0,35,35,250,38
West Caldwell Township,West Caldwell Township,721,0,27,27,250,29
West Orange Township,West Orange Township,722,0,124,124,250,134
Clayton Borough,Clayton Borough,801,0,13,13,250,14
Deptford Township,Deptford Township,802,0,92,92,250,100
East Greenwich Township,East Greenwich Township,803,0,20,20,250,22
Elk Township,Elk Township,804,0,10,10,250,11
Franklin Township,Franklin Township,805,0,18,18,250,19
Glassboro Borough,Glassboro Borough,806,0,29,29,250,31
Greenwich Township,Greenwich Township,807,0,23,23,250,25
Harrison Township,Harrison Township,808,0,13,13,250,14
Logan Township,Logan Township,809,0,22,22,250,24
Mantua Township,Mantua Township,810,0,25,25,250,27
Monroe Township,Monroe Township,811,0,53,53,250,57
National Park Borough,National Park Borough,812,0,12,12,250,13
Newfield Borough,Newfield Borough,813,0,5,5,250,5
Paulsboro Borough,Paulsboro Borough,814,0,8,8,250,9
Pitman Borough,Pitman Borough,815,0,14,14,250,15
South Harrison Township,South Harrison Township,816,0,0,0,0,0
Swedesboro Borough,Swedesboro Borough,817,0,12,12,250,13
Washington Township,Washington Township,818,0,97,97,250,105
Wenonah Borough,Wenonah Borough,819,0,10,10,250,11
West Deptford Township,West Deptford Township,820,0,79,79,250,85
Westville Borough,Westville Borough,821,0,27,27,250,29
Woodbury,Woodbury City,822,0,46,46,250,50
Woodbury Heights Borough,Woodbury Heights Borough,823,0,12,12,250,13
Woolwich Township,Woolwich Township,824,0,6,6,250,6
Bayonne,Bayonne City,901,4,120,124,500,288
East Newark Borough,East Newark Borough,902,0,2,2,250,2
Guttenberg,Guttenberg Town,903,0,17,17,250,18
Harrison,Harrison Town,904,0,24,24,250,26
Hoboken,Hoboken City,905,2,43,45,500,264
Jersey City,Jersey City,906,12,519,531,500,412
Kearny,Kearny Town,907,0,91,91,250,98
North Bergen Township,North Bergen Township,908,1,159,160,500,299
Secaucus,Secaucus Town,909,2,146,148,500,295
Union City,Union City,910,1,134,135,500,291
Weehawken Township,Weehawken Township,911,2,42,44,500,263
West New York,West New York Town,912,0,66,66,250,71
Alexandria Township,Alexandria Township,1001,0,0,0,0,0
Bethlehem Township,Bethlehem Township,1002,0,0,0,0,0
Bloomsbury Borough,Bloomsbury Borough,1003,0,0,0,0,0
Califon Borough,Califon Borough,1004,0,0,0,0,0
Clinton,Clinton Town,1005,1,0,1,250,1
Clinton Township,Clinton Township,1006,0,0,0,0,0
Delaware Township,Delaware Township,1007,0,0,0,0,0
East Amwell Township,East Amwell Township,1008,0,0,0,0,0
Flemington Borough,Flemington Borough,1009,0,0,0,0,0
Franklin Township,Franklin Township,1010,0,0,0,0,0
Frenchtown Borough,Frenchtown Borough,1011,0,0,0,0,0
Glen Gardner Borough,Glen Gardner Borough,1012,0,0,0,0,0
Hampton Borough,Hampton Borough,1013,0,0,0,0,0
High Bridge Borough,High Bridge Borough,1014,1,0,1,250,1
Holland Township,Holland Township,1015,0,0,0,0,0
Kingwood Township,Kingwood Township,1016,0,0,0,0,0
Lambertville,Lambertville City,1017,0,0,0,0,0
Lebanon Borough,Lebanon Borough,1018,1,0,1,250,1
Lebanon Township,Lebanon Township,1019,0,0,0,0,0
Milford Borough,Milford Borough,1020,0,0,0,0,0
Raritan Township,Raritan Township,1021,0,0,0,0,0
Readington Township,Readington Township,1022,0,0,0,0,0
Stockton Borough,Stockton Borough,1023,0,0,0,0,0
Tewksbury Township,Tewksbury Township,1024,0,0,0,0,0
Union Township,Union Township,1025,0,0,0,0,0
West Amwell Township,West Amwell Township,1026,0,0,0,0,0
