,City,Lat,Lon,# of Sales,Total Sales Price,Avg Sale Price
26,WEST AMWELL TWP,40.500254,-74.4257,8,"$3,445,000.00 ","430,625"
1,EAST WINDSOR TWP,40.770933,-74.20589,300,"$85,799,618.00 ","285,999"
2,EWING TWP,40.827499,-74.28091,313,"$61,934,225.00 ","197,873"
3,HAMILTON TWP,40.80495,-74.2047,723,"$166,128,779.00 ","229,777"
4,HIGHTSTOWN BORO,40.745951,-74.15509,47,"$9,821,500.00 ","208,968"
5,HOPEWELL BORO,40.744851,-74.03294,24,"$10,813,900.00 ","450,579"
6,HOPEWELL TWP,40.744851,-74.03294,240,"$120,256,542.00 ","501,069"
7,LAWRENCE TWP,40.744851,-74.03294,314,"$101,436,249.00 ","323,045"
8,PENNINGTON BORO,40.461851,-74.30343,46,"$23,805,100.00 ","517,502"
11,TRENTON CITY,40.500254,-74.4257,167,"$11,128,312.00 ","66,637"
12,ROBBINSVILLE TWP,40.563654,-74.949409,222,"$86,124,096.00 ","387,946"
13,WEST WINDSOR TWP,40.500254,-74.4257,351,"$198,293,547.00 ","564,939"
14,PRINCETON,40.583035,-74.96224,252,"$249,536,453.00 ","990,224"
1,CARTERET BORO,40.582504,-74.22997,51,"$13,483,850.00 ","264,389"
2,CRANBURY TWP,40.879699,-74.14263,49,"$32,017,500.00 ","653,418"
3,DUNELLEN BORO,40.656302,-74.30371,67,"$16,948,999.00 ","252,970"
4,EAST BRUNSWICK TWP,40.656302,-74.30371,514,"$178,675,078.00 ","347,617"
5,EDISON TWP,40.830733,-73.97334,901,"$342,663,880.00 ","380,315"
6,HELMETTA BORO,40.745951,-74.15509,33,"$6,824,318.00 ","206,798"
7,HIGHLAND PARK BORO,40.745951,-74.15509,95,"$32,508,100.00 ","342,191"
8,JAMESBURG BORO,40.744851,-74.03294,61,"$14,363,500.00 ","235,467"
9,METUCHEN BORO,40.502477,-74.650023,140,"$57,686,086.00 ","412,043"
10,MIDDLESEX BORO,40.574552,-74.50187,124,"$34,341,977.00 ","276,951"
11,MILLTOWN BORO,40.451105,-74.43938,95,"$30,744,100.00 ","323,622"
12,MONROE TWP,40.389428,-74.54329,702,"$242,293,403.00 ","345,147"
13,NEW BRUNSWICK CITY,40.51057,-74.72472,62,"$19,201,430.00 ","309,700"
14,NORTH BRUNSWICK TWP,40.51057,-74.72472,298,"$89,513,311.00 ","300,380"
15,OLD BRIDGE TWP,40.51057,-74.72472,635,"$204,844,174.00 ","322,589"
16,PERTH AMBOY CITY,40.535304,-74.31104,163,"$37,959,195.00 ","232,878"
17,PISCATAWAY TWP,40.689123,-75.17243,345,"$107,095,834.00 ","310,423"
18,PLAINSBORO TWP,40.583035,-74.96224,292,"$119,577,407.00 ","409,512"
19,SAYREVILLE BORO,40.430006,-74.417344,354,"$104,607,699.00 ","295,502"
20,SOUTH AMBOY CITY,40.469606,-74.27669,102,"$31,551,600.00 ","309,329"
21,SOUTH BRUNSWICK TWP,40.553803,-74.52976,424,"$174,865,120.00 ","412,418"
22,SOUTH PLAINFIELD BORO,40.553803,-74.52976,197,"$63,039,741.00 ","319,999"
23,SOUTH RIVER BORO,40.445006,-74.38179,117,"$34,605,363.00 ","295,772"
24,SPOTSWOOD BORO,40.39159,-74.39329,59,"$16,057,500.00 ","272,161"
25,WOODBRIDGE TWP,40.500254,-74.4257,734,"$206,529,780.00 ","281,376"
1,ABERDEEN TWP,40.4171,-74.2221,80,"$25,162,899.00 ","314,536"
2,ALLENHURST BORO,40.2362,-74.0007,5,"$9,900,000.00 ","1,980,000"
3,ALLENTOWN BORO,40.1779,-74.5835,22,"$6,242,300.00 ","283,741"
4,ASBURY PARK CITY,40.2204,-74.0121,79,"$25,502,998.00 ","322,823"
5,ATLANTIC HIGHLANDS BORO,40.4129,-74.0329,75,"$33,145,453.00 ","441,939"
6,AVON BY THE SEA BORO,40.578996,-74.27987,33,"$31,861,999.00 ","965,515"
7,BELMAR BORO,40.666552,-74.11768,39,"$19,226,551.00 ","492,988"
8,BRADLEY BEACH BORO,40.912798,-74.41516,20,"$10,256,500.00 ","512,825"
9,BRIELLE BORO,40.912798,-74.41516,37,"$22,090,900.00 ","597,051"
10,COLTS NECK TOWNSHIP,40.879699,-74.14263,53,"$43,384,928.00 ","818,584"
11,DEAL BORO,40.656302,-74.30371,10,"$22,668,000.00 ","2,266,800"
12,EATONTOWN BORO,40.770933,-74.20589,51,"$19,652,199.00 ","385,337"
13,ENGLISHTOWN BORO,40.830733,-73.97334,4,"$1,447,000.00 ","361,750"
14,FAIR HAVEN BORO,40.827499,-74.28091,47,"$36,299,500.00 ","772,330"
15,FARMINGDALE BORO,40.641852,-74.38533,4,"$1,341,000.00 ","335,250"
16,FREEHOLD BORO,40.849879,-73.97501,32,"$7,803,730.00 ","243,867"
17,FREEHOLD TWP,40.849879,-73.97501,127,"$46,861,779.00 ","368,990"
18,HAZLET TWP,40.745951,-74.15509,61,"$20,099,550.00 ","329,501"
19,HIGHLANDS BORO,40.745951,-74.15509,98,"$26,238,110.00 ","267,736"
20,HOLMDEL TWP,40.744851,-74.03294,66,"$43,261,700.00 ","655,480"
21,HOWELL TWP,40.744851,-74.03294,215,"$74,891,987.00 ","348,335"
22,INTERLAKEN BORO,40.744851,-74.03294,8,"$6,270,800.00 ","783,850"
23,KEANSBURG BORO,40.744851,-74.03294,59,"$9,983,625.00 ","169,214"
24,KEYPORT BORO,40.744851,-74.03294,19,"$5,142,500.00 ","270,658"
25,LITTLE SILVER BORO,40.850621,-74.04112,42,"$29,126,800.00 ","693,495"
26,LOCH ARBOUR VILLAGE,40.850621,-74.04112,4,"$3,272,000.00 ","818,000"
27,LONG BRANCH CITY,40.876349,-74.65769,136,"$61,895,139.00 ","455,111"
28,MANALAPAN TWP,40.788599,-74.78295,163,"$64,229,805.00 ","394,048"
29,MANASQUAN BORO,40.788599,-74.78295,98,"$65,723,550.00 ","670,648"
30,MARLBORO TWP,40.502477,-74.650023,467,"$245,093,312.00 ","524,825"
31,MATAWAN BORO,40.502477,-74.650023,36,"$10,856,900.00 ","301,581"
32,MIDDLETOWN TWP,40.574552,-74.50187,272,"$122,320,128.00 ","449,706"
33,MILLSTONE TWP,40.587606,-75.10402,95,"$53,298,414.00 ","561,036"
34,MONMOUTH BEACH BORO,40.451105,-74.43938,40,"$26,723,000.00 ","668,075"
35,NEPTUNE TWP,40.389428,-74.54329,109,"$41,429,450.00 ","380,087"
36,NEPTUNE CITY BORO,40.389428,-74.54329,25,"$6,812,595.00 ","272,504"
37,OCEAN TWP,40.51057,-74.72472,120,"$57,611,800.00 ","480,098"
38,OCEANPORT BORO,40.51057,-74.72472,75,"$39,608,300.00 ","528,111"
39,RED BANK BORO,40.563654,-74.949409,66,"$26,480,359.00 ","401,218"
40,ROOSEVELT BORO,40.563654,-74.949409,3,"$790,000.00 ","263,333"
41,RUMSON BORO,40.563654,-74.949409,39,"$58,390,700.00 ","1,497,197"
42,SEA BRIGHT BORO,40.430006,-74.417344,15,"$7,787,900.00 ","519,193"
43,SEA GIRT BORO,40.430006,-74.417344,19,"$28,659,400.00 ","1,508,389"
44,SHREWSBURY BORO,40.430006,-74.417344,18,"$9,130,500.00 ","507,250"
45,SHREWSBURY TWP,40.430006,-74.417344,7,"$1,079,500.00 ","154,214"
46,LAKE COMO BORO,40.744851,-74.03294,15,"$5,482,900.00 ","365,527"
47,SPRING LAKE BORO,40.39159,-74.39329,35,"$53,095,000.00 ","1,517,000"
48,SPRING LAKE HEIGHTS BOR,40.39159,-74.39329,33,"$14,645,800.00 ","443,812"
49,TINTON FALLS BORO,40.500254,-74.4257,89,"$31,109,450.00 ","349,544"
50,UNION BEACH BORO,40.500254,-74.4257,9,"$2,865,100.00 ","318,344"
51,UPPER FREEHOLD TWP,40.500254,-74.4257,17,"$8,235,250.00 ","484,426"
52,WALL TWP,40.500254,-74.4257,352,"$179,824,844.00 ","510,866"
53,WEST LONG BRANCH BORO,40.500254,-74.4257,36,"$19,524,650.00 ","542,351"
1,BOONTON TOWN,40.912798,-74.41516,74,"$29,148,050.00 ","393,893"
2,BOONTON TWP,40.912798,-74.41516,50,"$32,260,399.00 ","645,208"
3,BUTLER BORO,40.912798,-74.41516,97,"$30,403,499.00 ","313,438"
4,CHATHAM BORO,40.855854,-74.22898,156,"$121,346,125.00 ","777,860"
5,CHATHAM TWP,40.855854,-74.22898,149,"$140,730,153.00 ","944,498"
6,CHESTER BORO,40.855854,-74.22898,5,"$2,474,000.00 ","494,800"
7,CHESTER TWP,40.855854,-74.22898,85,"$58,695,911.00 ","690,540"
8,DENVILLE TWP,40.656302,-74.30371,225,"$98,124,465.00 ","436,109"
9,DOVER TOWN,40.656302,-74.30371,68,"$18,156,250.00 ","267,004"
10,EAST HANOVER TWP,40.656302,-74.30371,82,"$44,644,000.00 ","544,439"
11,FLORHAM PARK BORO,40.641852,-74.38533,101,"$64,242,863.00 ","636,068"
12,HANOVER TWP,40.80495,-74.2047,147,"$70,082,492.00 ","476,752"
13,HARDING TWP,40.80495,-74.2047,45,"$45,903,100.00 ","1,020,069"
14,JEFFERSON TWP,40.744851,-74.03294,86,"$29,939,827.00 ","348,138"
15,KINNELON BORO,40.744851,-74.03294,39,"$22,168,622.00 ","568,426"
16,LINCOLN PARK BORO,41.007389,-74.04247,136,"$41,348,638.00 ","304,034"
17,MADISON BORO,40.788599,-74.78295,173,"$141,388,975.00 ","817,277"
18,MENDHAM BORO,40.502477,-74.650023,65,"$44,389,300.00 ","682,912"
19,MENDHAM TWP,40.502477,-74.650023,66,"$61,022,459.00 ","924,583"
20,MINE HILL TWP,40.451105,-74.43938,43,"$11,913,451.00 ","277,057"
21,MONTVILLE TWP,40.389428,-74.54329,240,"$147,793,586.00 ","615,807"
22,MORRIS TWP,40.389428,-74.54329,271,"$162,741,232.00 ","600,521"
23,MORRIS PLAINS BORO,40.389428,-74.54329,77,"$35,912,191.00 ","466,392"
24,MORRISTOWN TOWN,40.389428,-74.54329,172,"$82,793,756.00 ","481,359"
25,MOUNTAIN LAKES BORO,40.389428,-74.54329,65,"$57,042,888.00 ","877,583"
26,MOUNT ARLINGTON BORO,40.389428,-74.54329,80,"$26,428,800.00 ","330,360"
27,MOUNT OLIVE TWP,40.389428,-74.54329,222,"$79,061,425.00 ","356,133"
28,NETCONG BORO,40.51057,-74.72472,26,"$6,149,300.00 ","236,512"
29,PARSIPPANY TR HLS TWP,40.461851,-74.30343,490,"$189,414,855.00 ","386,561"
30,LONG HILL TWP,40.876349,-74.65769,38,"$23,213,900.00 ","610,892"
31,PEQUANNOCK TWP,40.461851,-74.30343,134,"$58,187,255.00 ","434,233"
32,RANDOLPH TWP,40.565493,-74.938931,95,"$50,725,700.00 ","533,955"
33,RIVERDALE BORO,40.563654,-74.949409,77,"$24,830,500.00 ","322,474"
34,ROCKAWAY BORO,40.563654,-74.949409,51,"$16,842,100.00 ","330,237"
35,ROCKAWAY TWP,40.563654,-74.949409,341,"$118,000,537.00 ","346,043"
36,ROXBURY TWP,40.563654,-74.949409,308,"$104,671,402.00 ","339,842"
37,VICTORY GARDENS BORO,40.500254,-74.4257,12,"$2,036,900.00 ","169,742"
38,WASHINGTON TWP,40.500254,-74.4257,163,"$76,015,799.00 ","466,355"
39,WHARTON BORO,40.500254,-74.4257,22,"$5,300,400.00 ","240,927"
1,BARNEGAT TWP,40.578996,-74.27987,300,"$74,040,180.00 ","246,801"
2,BARNEGAT LIGHT BORO,40.578996,-74.27987,32,"$25,436,000.00 ","794,875"
3,BAY HEAD BORO,40.578996,-74.27987,18,"$20,475,900.00 ","1,137,550"
4,BEACH HAVEN BORO,40.666552,-74.11768,34,"$24,818,150.00 ","729,946"
5,BEACHWOOD BORO,40.666552,-74.11768,123,"$28,465,572.00 ","231,427"
6,BERKELEY TWP,40.666552,-74.11768,933,"$185,913,499.00 ","199,264"
7,BRICK TWP,40.912798,-74.41516,1100,"$344,372,994.00 ","313,066"
8,TOMS RIVER TWP,40.500254,-74.4257,1415,"$487,431,807.00 ","344,475"
9,EAGLESWOOD TWP,40.656302,-74.30371,13,"$3,207,500.00 ","246,731"
10,HARVEY CEDARS BORO,40.745951,-74.15509,25,"$30,833,750.00 ","1,233,350"
11,ISLAND HEIGHTS BORO,40.744851,-74.03294,26,"$9,231,200.00 ","355,046"
12,JACKSON TWP,40.744851,-74.03294,888,"$330,146,866.00 ","371,787"
13,LACEY TWP,40.744851,-74.03294,361,"$101,101,134.00 ","280,059"
14,LAKEHURST BORO,40.744851,-74.03294,3,"$570,000.00 ","190,000"
15,LAKEWOOD TWP,40.744851,-74.03294,323,"$97,938,120.00 ","303,214"
16,LAVALLETTE BORO,40.744851,-74.03294,62,"$43,523,688.00 ","701,995"
17,LITTLE EGG HARBOR TWP,41.007389,-74.04247,387,"$79,565,105.00 ","205,595"
18,LONG BEACH TWP,40.877999,-74.08265,290,"$304,347,744.00 ","1,049,475"
19,MANCHESTER TWP,40.788599,-74.78295,633,"$118,768,625.00 ","187,628"
20,MANTOLOKING BORO,40.502477,-74.650023,18,"$39,231,000.00 ","2,179,500"
21,OCEAN TWP,40.51057,-74.72472,139,"$42,956,690.00 ","309,041"
22,OCEAN GATE BORO,40.51057,-74.72472,27,"$5,211,300.00 ","193,011"
23,PINE BEACH BORO,40.689123,-75.17243,35,"$10,849,362.00 ","309,982"
24,PLUMSTED TWP,40.583035,-74.96224,83,"$26,192,528.00 ","315,573"
25,POINT PLEASANT BORO,40.583035,-74.96224,303,"$130,430,069.00 ","430,462"
26,PT PLEASANT BEACH BORO,40.583035,-74.96224,71,"$38,573,499.00 ","543,289"
27,SEASIDE HEIGHTS BORO,40.430006,-74.417344,54,"$12,229,650.00 ","226,475"
28,SEASIDE PARK BORO,40.430006,-74.417344,60,"$30,786,800.00 ","513,113"
29,SHIP BOTTOM BORO,40.430006,-74.417344,34,"$20,495,488.00 ","602,808"
30,SOUTH TOMS RIVER BORO,40.445006,-74.38179,21,"$3,525,200.00 ","167,867"
31,STAFFORD TWP,40.39159,-74.39329,476,"$138,091,562.00 ","290,108"
32,SURF CITY BORO,40.500254,-74.4257,87,"$64,555,772.00 ","742,020"
33,TUCKERTON BORO,40.500254,-74.4257,38,"$7,594,800.00 ","199,863"
1,BLOOMINGDALE BORO,40.803,-74.18895,84,"$25,085,504.00 ","298,637"
2,CLIFTON CITY,40.879699,-74.14263,578,"$193,334,954.00 ","334,490"
3,HALEDON BORO,40.80495,-74.2047,52,"$14,568,500.00 ","280,163"
4,HAWTHORNE BORO,40.745951,-74.15509,162,"$57,563,800.00 ","355,332"
5,LITTLE FALLS TWP,41.007389,-74.04247,89,"$30,007,400.00 ","337,162"
6,NORTH HALEDON BORO,40.51057,-74.72472,88,"$40,958,100.00 ","465,433"
7,PASSAIC CITY,40.461851,-74.30343,185,"$54,729,238.00 ","295,834"
8,PATERSON CITY,40.461851,-74.30343,192,"$43,236,110.00 ","225,188"
9,POMPTON LAKES BORO,40.583035,-74.96224,147,"$41,541,582.00 ","282,596"
10,PROSPECT PARK BORO,40.583035,-74.96224,35,"$9,007,500.00 ","257,357"
11,RINGWOOD BORO,40.563654,-74.949409,118,"$41,961,680.00 ","355,607"
12,TOTOWA BORO,40.500254,-74.4257,93,"$40,681,100.00 ","437,431"
13,WANAQUE BORO,40.500254,-74.4257,143,"$41,173,238.00 ","287,925"
14,WAYNE TWP,40.500254,-74.4257,567,"$251,316,647.00 ","443,239"
15,WEST MILFORD TWP,40.500254,-74.4257,316,"$91,078,825.00 ","288,224"
16,WOODLAND PARK BORO,40.500254,-74.4257,105,"$41,922,449.00 ","399,261"
1,ALLOWAY TOWNSHIP,39.5557,-75.3179,28,"$6,335,300.00 ","226,261"
2,CARNEYS POINT TOWNSHIP,40.848999,-74.27917,41,"$5,627,815.00 ","137,264"
3,ELMER BORO,40.830733,-73.97334,9,"$1,437,000.00 ","159,667"
4,ELSINBORO TWP,40.830733,-73.97334,10,"$2,009,900.00 ","200,990"
5,LOWER ALLOWAY CREEK TWP,40.788599,-74.78295,17,"$3,228,900.00 ","189,935"
6,MANNINGTON TWP,40.788599,-74.78295,3,"$562,000.00 ","187,333"
7,OLDMANS TWP,40.51057,-74.72472,7,"$2,051,900.00 ","293,129"
8,PENNS GROVE BORO,40.461851,-74.30343,8,"$917,300.00 ","114,663"
9,PENNSVILLE TWP,40.461851,-74.30343,91,"$13,808,399.00 ","151,741"
10,PILESGROVE TWP,40.689123,-75.17243,27,"$7,902,800.00 ","292,696"
11,PITTSGROVE TWP,40.689123,-75.17243,40,"$9,350,100.00 ","233,753"
12,QUINTON TWP,40.565493,-74.938931,11,"$1,525,400.00 ","138,673"
13,SALEM CITY,40.563654,-74.949409,6,"$319,500.00 ","53,250"
14,UPPER PITTSGROVE TWP,40.500254,-74.4257,14,"$3,604,100.00 ","257,436"
15,WOODSTOWN BORO,40.500254,-74.4257,32,"$6,372,250.00 ","199,133"
1,BEDMINSTER TWP,40.666552,-74.11768,65,"$23,756,810.00 ","365,489"
2,BERNARDS TWP,40.666552,-74.11768,150,"$94,119,453.00 ","627,463"
3,BERNARDSVILLE BORO,40.666552,-74.11768,32,"$28,327,680.00 ","885,240"
4,BOUND BROOK BORO,40.912798,-74.41516,29,"$8,132,199.00 ","280,421"
5,BRANCHBURG TWP,40.912798,-74.41516,52,"$24,412,920.00 ","469,479"
6,BRIDGEWATER TWP,40.912798,-74.41516,155,"$67,687,874.00 ","436,696"
7,FAR HILLS BORO,40.641852,-74.38533,1,"$840,000.00 ","840,000"
8,FRANKLIN TWP,40.849879,-73.97501,299,"$99,897,326.00 ","334,105"
9,GREEN BROOK TWP,40.80495,-74.2047,26,"$12,025,388.00 ","462,515"
10,HILLSBOROUGH TWP,40.745951,-74.15509,156,"$59,894,250.00 ","383,938"
11,MANVILLE BORO,40.502477,-74.650023,106,"$25,286,400.00 ","238,551"
12,MILLSTONE BORO,40.587606,-75.10402,1,"$380,000.00 ","380,000"
13,MONTGOMERY TWP,40.389428,-74.54329,325,"$200,517,211.00 ","616,976"
14,NORTH PLAINFIELD BORO,40.51057,-74.72472,163,"$37,959,138.00 ","232,878"
15,PEAPACK GLADSTONE BORO,40.461851,-74.30343,7,"$4,457,500.00 ","636,786"
16,RARITAN BORO,40.571302,-74.6374,44,"$16,073,698.00 ","365,311"
17,ROCKY HILL BORO,40.563654,-74.949409,0,0,0
18,SOMERVILLE BORO,40.545853,-74.63592,79,"$24,731,250.00 ","313,054"
19,SO BOUND BROOK BORO,40.430006,-74.417344,35,"$8,937,050.00 ","255,344"
20,WARREN TWP,40.500254,-74.4257,50,"$33,358,418.00 ","667,168"
21,WATCHUNG BORO,40.500254,-74.4257,27,"$21,218,000.00 ","785,852"
1,ANDOVER BORO,40.9859,-74.7421,2,"$505,500.00 ","252,750"
2,ANDOVER TWP,41.0155,-74.7296,72,"$21,858,600.00 ","303,592"
3,BRANCHVILLE BORO,40.912798,-74.41516,3,"$639,000.00 ","213,000"
4,BYRAM TWP,40.912798,-74.41516,68,"$20,829,352.00 ","306,314"
5,FRANKFORD TWP,40.849879,-73.97501,46,"$15,000,000.00 ","326,087"
6,FRANKLIN BORO,40.849879,-73.97501,27,"$5,392,470.00 ","199,721"
7,FREDON TWP,40.849879,-73.97501,18,"$6,493,500.00 ","360,750"
8,GREEN TWP,40.80495,-74.2047,33,"$11,262,420.00 ","341,285"
9,HAMBURG BORO,40.80495,-74.2047,36,"$6,148,125.00 ","170,781"
10,HAMPTON TWP,40.80495,-74.2047,39,"$9,389,250.00 ","240,750"
11,HARDYSTON TWP,40.80495,-74.2047,151,"$41,310,460.00 ","273,579"
12,HOPATCONG BORO,40.744851,-74.03294,194,"$47,249,440.00 ","243,554"
13,LAFAYETTE TWP,40.744851,-74.03294,13,"$4,838,700.00 ","372,208"
14,MONTAGUE TWP,40.389428,-74.54329,26,"$5,544,787.00 ","213,261"
15,NEWTON TOWN,40.51057,-74.72472,58,"$11,282,600.00 ","194,528"
16,OGDENSBURG BORO,40.51057,-74.72472,11,"$2,508,900.00 ","228,082"
17,SANDYSTON TWP,40.563654,-74.949409,18,"$5,140,500.00 ","285,583"
18,SPARTA TWP,40.445006,-74.38179,291,"$121,393,541.00 ","417,160"
19,STANHOPE BORO,40.39159,-74.39329,40,"$8,193,560.00 ","204,839"
20,STILLWATER TWP,40.500254,-74.4257,25,"$6,246,000.00 ","249,840"
21,SUSSEX BORO,40.500254,-74.4257,18,"$3,322,500.00 ","184,583"
22,VERNON TWP,40.500254,-74.4257,243,"$53,376,742.00 ","219,657"
23,WALPACK TWP,40.500254,-74.4257,0,0,0
24,WANTAGE TWP,40.500254,-74.4257,68,"$16,935,500.00 ","249,051"
1,BERKELEY HEIGHTS TWP,40.666552,-74.11768,128,"$73,488,238.00 ","574,127"
2,CLARK TWP,40.855854,-74.22898,167,"$72,645,923.00 ","435,006"
3,CRANFORD TWP,40.656302,-74.30371,262,"$120,564,863.00 ","460,171"
4,ELIZABETH CITY,40.830733,-73.97334,413,"$110,956,150.00 ","268,659"
5,FANWOOD BORO,40.641852,-74.38533,98,"$43,189,640.00 ","440,711"
6,GARWOOD BORO,40.650802,-74.32351,38,"$14,721,500.00 ","387,408"
7,HILLSIDE TWP,40.745951,-74.15509,128,"$29,007,510.00 ","226,621"
8,KENILWORTH BORO,40.744851,-74.03294,60,"$19,997,392.00 ","333,290"
9,LINDEN CITY,41.007389,-74.04247,275,"$75,415,434.00 ","274,238"
10,MOUNTAINSIDE BORO,40.389428,-74.54329,69,"$44,395,732.00 ","643,416"
11,NEW PROVIDENCE BORO,40.51057,-74.72472,99,"$58,142,151.00 ","587,294"
12,PLAINFIELD CITY,40.583035,-74.96224,215,"$57,192,393.00 ","266,011"
13,RAHWAY CITY,40.565493,-74.938931,173,"$45,132,155.00 ","260,880"
14,ROSELLE BORO,40.563654,-74.949409,135,"$26,786,699.00 ","198,420"
15,ROSELLE PARK BORO,40.563654,-74.949409,116,"$30,287,510.00 ","261,099"
16,SCOTCH PLAINS TWP,40.430006,-74.417344,322,"$171,392,323.00 ","532,274"
17,SPRINGFIELD TWP,40.39159,-74.39329,140,"$55,764,299.00 ","398,316"
18,SUMMIT CITY,40.500254,-74.4257,230,"$238,309,039.00 ","1,036,126"
19,UNION TWP,40.500254,-74.4257,450,"$134,936,632.00 ","299,859"
20,WESTFIELD TOWN,40.500254,-74.4257,421,"$309,896,651.00 ","736,097"
21,WINFIELD TWP,40.500254,-74.4257,0,0,0
1,ALLAMUCHY TWP,40.9218,-74.8102,124,"$31,379,300.00 ","253,059"
2,ALPHA BORO,40.6644,-75.1548,11,"$1,735,900.00 ","157,809"
3,BELVIDERE TOWN,40.666552,-74.11768,18,"$3,286,350.00 ","182,575"
4,BLAIRSTOWN TWP,40.666552,-74.11768,39,"$11,598,100.00 ","297,387"
5,FRANKLIN TWP,40.849879,-73.97501,22,"$7,679,800.00 ","349,082"
6,FRELINGHUYSEN TWP,40.849879,-73.97501,16,"$5,024,400.00 ","314,025"
7,GREENWICH TWP,40.80495,-74.2047,45,"$15,691,100.00 ","348,691"
8,HACKETTSTOWN TOWN,40.80495,-74.2047,71,"$19,163,200.00 ","269,904"
9,HARDWICK TWP,40.80495,-74.2047,16,"$5,097,500.00 ","318,594"
10,HARMONY TWP,40.80495,-74.2047,16,"$4,369,500.00 ","273,094"
11,HOPE TWP,40.744851,-74.03294,17,"$4,657,000.00 ","273,941"
12,INDEPENDENCE TWP,40.744851,-74.03294,67,"$18,170,800.00 ","271,206"
13,KNOWLTON TWP,40.744851,-74.03294,21,"$5,415,500.00 ","257,881"
14,LIBERTY TWP,41.007389,-74.04247,24,"$6,606,800.00 ","275,283"
15,LOPATCONG TWP,40.788599,-74.78295,88,"$19,977,421.00 ","227,016"
16,MANSFIELD TWP,40.788599,-74.78295,42,"$11,738,500.00 ","279,488"
17,OXFORD TWP,40.681694,-74.73624,22,"$4,464,900.00 ","202,950"
19,PHILLIPSBURG TOWN,40.689123,-75.17243,78,"$10,100,000.00 ","129,487"
20,POHATCONG TWP,40.583035,-74.96224,28,"$5,262,600.00 ","187,950"
21,WASHINGTON BORO,40.500254,-74.4257,51,"$10,280,800.00 ","201,584"
22,WASHINGTON TWP,40.500254,-74.4257,61,"$16,989,450.00 ","278,516"
23,WHITE TWP,40.500254,-74.4257,35,"$9,082,000.00 ","259,486"
