Rank (of 400),School,Type,Grades,Address,City,Zip,Latitude,Longitude,Is Charter,Is Magnet,Is Virtual,Is Title I,Phone
1,Academy for Mathematics Science and Engineering,Public,12-Sep,520 West Main Street,Rockaway,7866,40.926798,-74.50624,No,(n/a),No,No,(973) 664-2301
2,Middlesex County Vocational Academy Math Science &Engineering Techn,Public,12-Sep,100 Technology Drive,Edison,8837,40.595552,-74.55174,No,(n/a),No,No,(732) 452-2600
3,Academy For Allied Health Sciences,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,40.637152,-74.37493,No,(n/a),No,No,(908) 889-8288
4,High Technology High School,Public,12-Sep,765 Newman Springs Road,Lincroft,7738,40.337374,-74.12059,No,(n/a),No,No,(732) 842-8444
5,Academy For Information Technology,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,40.637152,-74.37493,No,(n/a),No,No,(908) 889-8288
6,Marine Academy Of Science And Technology,Public,12-Sep,305 Mast Way,Highlands,7732,40.404474,-73.9904,No,(n/a),No,No,(732) 291-0995
7,Union County Magnet High School,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,40.637152,-74.37493,No,(n/a),No,No,(908) 889-8288
8,Infinity Institute,Public,12-Jun,193 Old Bergen Road,Jersey City,7305,40.695552,-74.22856,No,(n/a),No,Yes,(201) 915-1404
9,Biotechnology High School,Public,12-Sep,5000 Kozloski Road,Freehold,7728,40.241036,-74.27629,No,(n/a),No,No,(732) 431-7942
10,Union County Technical,Public,12-Sep,1776 Raritan Rd,Scotch Plains,7076,40.637152,-74.37493,No,(n/a),No,Yes,(908) 889-8288
11,Middlesex County Vocational Academy Allied Health & Biomedical Science,Public,12-Aug,1 Convery Boulevard,Woodbridge,7095,40.557104,-74.28316,No,(n/a),No,No,(732) 634-5858
12,Monmouth County Academy of Allied Health and Science,Public,12-Sep,2325 Heck Avenue,Neptune,7753,40.208945,-74.05261,No,(n/a),No,No,(732) 775-0058
13,Bergen County Academies,Public,12-Sep,200 Hackensack Avenue,Hackensack,7601,40.888678,-74.0488,No,(n/a),No,No,(201) 343-6000
14,Marine Academy of Technology and Environmental Science,Public,12-Sep,195 Cedar Bridge Road,Manahawkin,8050,39.707575,-74.25933,No,(n/a),No,No,(609) 978-8439
15,North Star Academy Charter School,"Public, Charter, Alternative",K-12,10 Washington Place,Newark,7102,40.736101,-74.22509,Yes,(n/a),No,Yes,(973) 642-0101
16,Communications High School,Public,12-Sep,1740 New Bedford Road,Wall,7719,40.415902,-74.08689,No,(n/a),No,No,(732) 681-1010
17,Dr Ronald McNair High School,Public,12-Sep,123 Coles Street,Jersey City,7302,40.695552,-74.22856,No,(n/a),No,Yes,(201) 418-7617
18,Science Park High School,Public,12-Jul,260 Norfolk Street,Newark,7102,40.736101,-74.22509,No,(n/a),No,Yes,(973) 733-8689
19,Academy For Performing Arts,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,40.637152,-74.37493,No,(n/a),No,Yes,(908) 889-8288
20,Bergen County Technical High School - Teterboro,Public,12-Sep,504 Route 46 West,Teterboro,7608,40.853723,-74.05987,No,(n/a),No,No,(201) 343-6000
21,McVs Assunpink Center,Public,12-Sep,1085 Old Trenton Road,Trenton,8690,40.003861,-74.61775,No,(n/a),No,No,(609) 586-5144
22,Summit High School,Public,12-Sep,125 Kent Place Blvd,Summit,7901,40.714501,-74.3633,No,(n/a),No,Yes,(908) 273-1494
23,Glen Ridge High School,Public,12-Jul,200 Ridgewood Ave,Glen Ridge,7028,40.80495,-74.2047,No,(n/a),No,No,(973) 429-8303
24,Mahwah High School,Public,12-Sep,50 Ridge Road,Mahwah,7430,41.077102,-74.16147,No,(n/a),No,No,(201) 762-2300
25,River Dell Regional High School,Public,12-Sep,55 Pyle Street,Oradell,7649,40.953126,-74.03379,No,(n/a),No,Yes,(201) 599-7240
26,Ridge High School,Public,12-Sep,268 South Finley Avenue,Basking Ridge,7920,40.6789,-74.57039,No,(n/a),No,No,(908) 204-2585
27,West Morris Central High School,Public,12-Sep,259 Bartley Road,Chester,7930,40.786549,-74.68799,No,(n/a),No,No,(908) 879-5212
28,Montclair High School,Public,12-Sep,100 Chestnut St,Montclair,7042,40.81315,-74.21576,No,(n/a),No,No,(973) 509-4100
29,Ridgewood High School,Public,12-Sep,627 East Ridgewood Ave,Ridgewood,7451,40.983997,-74.11438,No,(n/a),No,No,(201) 670-2800
30,Morris County School of Technology,Public,12-Sep,400 East Main Street,Denville,7834,40.886149,-74.48704,No,(n/a),No,No,(973) 627-4600
31,Montgomery High School,Public,12-Sep,1016 Route 601,Skillman,8558,40.410155,-74.70726,No,(n/a),No,Yes,(609) 466-7602
32,John P. Stevens High School,Public,12-Sep,855 Grove Avenue,Edison,8820,40.516104,-74.39754,No,(n/a),No,No,(732) 452-2800
33,New Milford High School,Public,12-Sep,330 River Road,New Milford,7646,40.936211,-74.0188,No,(n/a),No,No,(201) 262-0172
34,Bergen Arts and Sciences Charter School,"Public, Charter, Alternative",K-12,200 MacArthur Avenue,Garfield,7026,40.879858,-74.10807,Yes,(n/a),No,Yes,(201) 773-9140
35,Pascack Hills High School,Public,12-Sep,225 West Grand Avenue,Montvale,7645,41.048997,-74.04052,No,(n/a),No,No,(201) 358-7020
36,Millburn High School,Public,12-Sep,462 Millburn Ave,Millburn,7041,40.724168,-74.29913,No,(n/a),No,No,(973) 564-7130
37,Livingston High School,Public,12-Sep,30 Robert Harp Drive,Livingston,7039,40.788733,-74.32134,No,(n/a),No,Yes,(973) 535-8000
38,Moorestown High School,Public,12-Sep,350 Bridgeboro Road,Moorestown,8057,39.968962,-74.9489,No,(n/a),No,Yes,(856) 778-6610
39,Central Jersey College Prep Charter School,"Public, Charter, Alternative",K-12,101 Mettlers Road,Somerset,8873,40.505253,-74.50723,Yes,(n/a),No,Yes,(732) 649-3954
40,West Morris Mendham High School,Public,12-Sep,65 East Main Street,Mendham,7945,40.782767,-74.59529,No,(n/a),No,No,(973) 543-2501
41,Ramapo High School,Public,12-Sep,331 George Street,Franklin Lakes,7417,41.010433,-74.20847,No,(n/a),No,No,(201) 891-1500
42,Westwood Junior/Senior High School,Public,12-Aug,701 Ridgewood Road,Township Of Washington,7676,40.989508,-74.061302,No,(n/a),No,No,(201) 664-0880
43,Cherry Hill High School East,Public,12-Sep,1750 Kresson Rd.,Cherry Hill,8003,39.932279,-75.02266,No,(n/a),No,No,(856) 424-2222
44,Voorhees High School,Public,12-Sep,256 County Route 513,Glen Gardner,8826,40.716332,-74.91405,No,(n/a),No,Yes,(908) 638-6116
45,Middlesex High School,Public,12-Sep,300 John F. Kennedy Drive,Middlesex,8846,40.574552,-74.50187,No,(n/a),No,No,(732) 317-6000
46,Princeton High School,Public,12-Sep,151 Moore Street,Princeton,8540,40.357439,-74.64922,No,(n/a),No,No,(609) 806-4280
47,Mountain Lakes High School,Public,12-Sep,96 Powerville Rd.,Mountain Lakes,7046,40.892021,-74.44022,No,(n/a),No,No,(973) 334-8400
48,Parsippany High School,Public,12-Sep,309 Baldwin Rd,Parsippany,7054,40.860149,-74.4171,No,(n/a),No,Yes,(973) 263-7001
49,Chatham High School,Public,12-Sep,255 Lafayette Avenue,Chatham,7928,40.7332,-74.39736,No,(n/a),No,No,(973) 457-2505
50,Dumont High School,Public,12-Sep,101 New Milford Ave,Dumont,7628,40.945173,-73.99342,No,(n/a),No,No,(201) 387-3000
51,Park Ridge High School,Public,12-Jul,2 Park Ave,Park Ridge,7656,41.034672,-74.04065,No,(n/a),No,No,(201) 573-6000
52,Leonia High School,Public,12-Sep,100 Christie Heights Street,Leonia,7605,40.862685,-73.98551,No,(n/a),No,Yes,(201) 302-5200
53,West Windsor-Plainsboro High School South,Public,12-Sep,346 Clarksville Road,West Windsor,8550,40.292358,-74.60902,No,(n/a),No,Yes,(609) 716-5050
54,County Prep High School,Public,12-Sep,525 Montgomery Street,Jersey City,7306,40.695552,-74.22856,No,(n/a),No,Yes,(201) 631-6302
55,North Hunterdon High School,Public,12-Sep,1445 State Route 31,Annandale,8801,40.624538,-74.89118,No,(n/a),No,No,(908) 735-5191
56,Northern Highlands Regional High School,Public,12-Sep,298 Hillside Ave,Allendale,7401,41.031505,-74.13409,No,(n/a),No,Yes,(201) 327-8700
57,East Orange STEM Academy High School,Public,12-Jun,129 Renshaw Avenue,East Orange,7017,40.770933,-74.20589,No,(n/a),No,Yes,(973) 266-5900
58,Parsippany Hills High School,Public,12-Sep,20 Rita Drive,Morris Plains,7950,40.842399,-74.48223,No,(n/a),No,No,(973) 682-2815
59,Hunterdon Central Regional High School District,Public,12-Sep,84 Route 31,Flemington,8822,40.515645,-74.85319,No,(n/a),No,Yes,(908) 782-5727
60,Randolph High School,Public,12-Sep,511 Millbrook Avenue,Randolph,7869,40.847649,-74.5748,No,(n/a),No,No,(973) 361-2400
61,Point Pleasant Beach High School,Public,12-Sep,700 Trenton Avenue,Point Pleasant Beach,8742,40.081165,-74.06003,No,(n/a),No,Yes,(732) 899-1817
62,Waldwick High School,Public,12-Sep,155 Wyckoff Avenue,Waldwick,7463,41.013109,-74.12231,No,(n/a),No,No,(201) 652-9000
63,Bernards High School,Public,12-Sep,25 Olcott Avenue,Bernardsville,7924,40.72344,-74.57753,No,(n/a),No,No,(908) 630-3000
64,West Windsor-Plainsboro High School North,Public,12-Sep,90 Grovers Mill Road,Plainsboro,8536,40.33371,-74.58512,No,(n/a),No,Yes,(609) 716-5100
65,Pequannock Township High School,Public,12-Sep,85 Sunset Road,Pompton Plains,7444,40.964548,-74.29813,No,(n/a),No,Yes,(973) 616-6000
66,Toms River High School North,Public,12-Sep,1245 Old Freehold Road,Toms River,8753,39.974584,-74.15141,No,(n/a),No,No,(732) 505-5702
67,Hackettstown High School,Public,12-Sep,599 Warren Street,Hackettstown,7840,40.861748,-74.83054,No,(n/a),No,No,(908) 852-8150
68,Bard Early College High School,Public,12-Sep,321 Bergen Street,Newark,7103,40.736101,-74.22509,No,(n/a),No,Yes,(212) 995-8479
69,New Providence High School,Public,12-Sep,35 Pioneer Dr,New Providence,7974,40.698268,-74.40225,No,(n/a),No,Yes,(908) 464-4700
70,Westfield Senior High School,Public,12-Sep,550 Dorian Road,Westfield,7090,40.649202,-74.34567,No,(n/a),No,No,(908) 789-4500
71,Matawan Regional High School,Public,12-Sep,450 Atlantic Avenue,Aberdeen,7747,40.411102,-74.23767,No,(n/a),No,No,(732) 705-5200
72,Ridgefield Park Junior Senior High School,Public,12-Jul,1 Ozzie Nelson Drive,Ridgefield Park,7660,40.856749,-74.02278,No,(n/a),No,Yes,(201) 440-1440
73,Cedar Grove High School,Public,12-Sep,90 Rugby Road,Cedar Grove,7009,40.855854,-74.22898,No,(n/a),No,No,(973) 239-6400
74,Paramus High School,Public,12-Sep,99 East Century Road,Paramus,7652,40.947107,-74.07047,No,(n/a),No,Yes,(201) 261-7800
75,Technology High School,Public,12-Sep,223 Broadway,Newark,7102,40.736101,-74.22509,No,(n/a),No,Yes,(973) 481-5962
76,Fort Lee High School,Public,12-Sep,3000 Lemoine Ave,Fort Lee,7024,40.849879,-73.97501,No,(n/a),No,Yes,(201) 585-4675
77,Ramsey High School,Public,12-Sep,256 E Main Street,Ramsey,7446,41.058819,-74.14238,No,(n/a),No,No,(201) 785-2300
78,High Technical High School,Public,12-Sep,1 High Tech Way,Secaucus,7094,40.7885,-74.06,No,(n/a),No,Yes,(201) 662-6801
79,Tenafly High School,Public,12-Sep,19 Columbus Drive,Tenafly,7670,40.92169,-73.96482,No,(n/a),No,No,(201) 816-6614
80,Pompton Lakes High School,Public,12-Sep,44 Lakeside Avenue,Pompton Lakes,7442,40.99948,-74.28807,No,(n/a),No,No,(973) 835-7100
81,Scotch Plains-Fanwood High School,Public,12-Sep,667 Westfield Road,Scotch Plains,7076,40.637152,-74.37493,No,(n/a),No,Yes,(908) 889-8600
82,Phillipsburg High School,Public,12-Sep,1 Stateliner Blvd.,Phillipsburg,8865,40.689123,-75.17243,No,(n/a),No,No,(908) 454-3400
83,Middletown High School South,Public,12-Sep,900 Nut Swamp Road,Middletown,7748,40.410213,-74.11718,No,(n/a),No,No,(732) 706-6111
84,Indian Hills High School,Public,12-Sep,97 Yawpo Ave,Oakland,7436,41.028884,-74.23727,No,(n/a),No,Yes,(201) 337-0100
85,Holmdel High School,Public,12-Sep,36 Crawfords Corner Road,Holmdel,7733,40.384832,-74.17194,No,(n/a),No,Yes,(732) 946-1832
86,Northern Valley Regional High School At Demarest,Public,12-Sep,150 Knickerbocker Road,Demarest,7627,40.955603,-73.96044,No,(n/a),No,No,(201) 768-3200
87,Madison High School,Public,12-Sep,170 Ridgedale Avenue,Madison,7940,40.75875,-74.41609,No,(n/a),No,No,(973) 593-3117
88,Fair Lawn High School,Public,12-Sep,14 00 Berdan Avenue,Fair Lawn,7410,40.933943,-74.11671,No,(n/a),No,Yes,(201) 794-5455
89,Robbinsville High School,Public,12-Sep,155 Robbinsville Edinburg Rd,Robbinsville,8691,40.003861,-74.61775,No,(n/a),No,No,(609) 632-0950
90,Bayonne High School,Public,12-Sep,669 Avenue A,Bayonne,7002,40.666552,-74.11768,No,(n/a),No,No,(201) 858-5900
91,Bergenfield High School,Public,12-Sep,80 S Prospect Ave,Bergenfield,7621,40.923748,-73.99879,No,(n/a),No,Yes,(201) 385-8600
92,Highland Park High School,Public,12-Sep,102 North Fifth Avenue,Highland Park,8904,40.500254,-74.4257,No,(n/a),No,Yes,(732) 572-2400
93,Secaucus High School,Public,12-Sep,11 Mill Ridge Road,Secaucus,7094,40.7885,-74.06,No,(n/a),No,Yes,(201) 974-2033
94,Governor Livingston High School,Public,12-Sep,175 Watchung Boulevard,Berkeley Heights,7922,40.675112,-74.43459,No,(n/a),No,Yes,(908) 464-3100
95,Pascack Valley High School,Public,12-Sep,200 Piermont Avenue,Hillsdale,7642,41.007389,-74.04247,No,(n/a),No,No,(201) 358-7060
96,Northern Valley Regional High School at Old Tappan,Public,12-Sep,140 Central Avenue,Old Tappan,7675,40.99904,-74.03291,No,(n/a),No,Yes,(201) 784-1600
97,Vernon Township High School,Public,12-Sep,1832 Route 565,Vernon,7462,41.193708,-74.5089,No,(n/a),No,No,(973) 764-2960
98,Somerset County Vocational Technical High School,Public,12-Sep,14 Vogt Drive,Bridgewater,8807,40.588097,-74.62253,No,(n/a),No,Yes,(908) 526-8900
99,Freehold Borough High School,Public,12-Sep,2 Robertsville Road,Freehold,7728,40.241036,-74.27629,No,(n/a),No,Yes,(732) 431-8360
100,Emerson Junior Senior High,Public,12-Jul,131 Main Street,Emerson,7630,40.97514,-74.02725,No,(n/a),No,Yes,(201) 262-4447
101,Morris Hills High School,Public,12-Sep,520 West Main Street,Rockaway,7866,40.926798,-74.50624,(n/a),No,Yes,(973) 664-2301,
102,Haddonfield Memorial High School,Public,12-Sep,401 Kings Highway East,Haddonfield,8033,39.895213,-75.04019,(n/a),No,No,(856) 429-3960,
103,Red Bank Regional High School,Public,12-Sep,101 Ridge Road,Little Silver,7739,40.33517,-74.04059,(n/a),No,Yes,(732) 842-8000,
104,Verona High School,Public,12-Sep,151 Fairview Ave,Verona,7044,40.832449,-74.24227,(n/a),No,No,(973) 571-6750,
105,Manalapan High School,Public,12-Sep,20 Church Lane,Englishtown,7726,40.294244,-74.34213,(n/a),No,No,(732) 792-7200,
106,Morris Knolls High School,Public,12-Sep,50 Knoll Drive,Denville,7834,40.886149,-74.48704,(n/a),No,No,(973) 664-2201,
107,Henry Hudson Regional School,Public,12-Jul,1 Grand Tour,Highlands,7732,40.404474,-73.9904,(n/a),No,Yes,(732) 872-0900,
108,Bridgewater-Raritan High School,Public,12-Sep,600 Garretson Road,Bridgewater,8807,40.588097,-74.62253,(n/a),No,No,(908) 231-8660,
109,Montville Township High School,Public,12-Sep,100 Horseneck Road,Montville,7045,40.906152,-74.36742,(n/a),No,No,(973) 331-7100,
110,Allentown High School,Public,12-Sep,27 High Street,Allentown,8501,40.164556,-74.57785,(n/a),No,Yes,(609) 259-7292,
111,South River High School,Public,12-Sep,11 Montgomery Street,South River,8882,40.445006,-74.38179,(n/a),No,Yes,(732) 613-4014,
112,Lyndhurst High School,Public,12-Sep,400 Weart Avenue,Lyndhurst,7071,40.808416,-74.12111,(n/a),No,No,(201) 896-2100,
113,Union City High School,Public,12-Sep,2500 Kennedy Blvd,Union City,7087,40.767751,-74.0302,(n/a),No,Yes,(201) 330-8678,
114,Metuchen High School,Public,12-Sep,400 Grove Ave,Metuchen,8840,40.543354,-74.3587,(n/a),No,Yes,(732) 321-8744,
115,Cherokee High School,Public,12-Sep,120 Tomlinson Mill Road,Marlton,8053,39.88488,-74.90416,(n/a),No,No,(856) 983-5140,
116,Great Oaks Legacy Charter School,"Public, Charter, Alternative","PK, KG-12",24 Maiden Lane,Newark,7102,40.736101,-74.22509,(n/a),No,Yes,(973) 565-9170,
117,Midland Park Junior/Senior High School,Public,12-Jul,250 Prospect St,Midland Park,7432,40.99312,-74.14286,(n/a),No,Yes,(201) 444-7400,
118,Edison High School,Public,12-Sep,50 Boulevard Of The Eagles,Edison,8817,40.516104,-74.39754,(n/a),No,Yes,(732) 650-5200,
119,East Brunswick High School,Public,12-Oct,380 Cranbury Road,E Brunswick,8816,40.434239,-74.40504,(n/a),No,No,(732) 613-6904,
120,Cinnaminson High School,Public,12-Sep,1197 Riverton Road,Cinnaminson,8077,39.862433,-74.725079,(n/a),No,Yes,(856) 829-7770,
121,High Point Regional High School District,Public,12-Sep,299 Pidgeon Hill Road,Sussex,7461,41.229754,-74.60203,(n/a),No,Yes,(973) 875-3101,
122,Wallkill Valley Regional High School,Public,12-Sep,10 Grumm Road,Hamburg,7419,41.156187,-74.57094,(n/a),No,Yes,(973) 827-4100,
123,Toms River High School East,Public,12-Sep,1225 Raider Way,Toms River,8753,39.974584,-74.15141,(n/a),No,No,(732) 505-5665,
124,Delaware Valley Regional High School,Public,12-Sep,19 Senator Stout Rd,Frenchtown,8825,40.509998,-75.03239,(n/a),No,Yes,(908) 996-2131,
125,Old Bridge High School,Public,12-Sep,4209 Route 516,Matawan,7747,40.411102,-74.23767,(n/a),No,No,(732) 290-3900,
126,Wayne Hills High School,Public,12-Sep,272 Berdan Avenue,Wayne,7470,40.943608,-74.25004,(n/a),No,No,(973) 317-2000,
127,Clearview Regional High School,Public,12-Sep,625 Breakneck Rd,Mullica Hill,8062,39.716939,-75.21987,(n/a),No,Yes,(856) 223-2790,
128,Marlboro High School,Public,12-Sep,95 North Main Street,Marlboro,7746,40.316876,-74.26112,(n/a),No,No,(732) 617-8393,
129,Eastern Regional High School,Public,12-Sep,1401 Laurel Oak Road,Voorhees,8043,39.851969,-74.96128,(n/a),No,Yes,(856) 784-4441,
130,University High School,Public,12-Jul,55 Clinton Pl,Newark,7108,40.736101,-74.22509,(n/a),No,Yes,(973) 374-3190,
131,Hammonton High School,Public,12-Sep,566 Old Forks Road,Hammonton,8037,39.625291,-74.77705,(n/a),No,Yes,(609) 567-7000,
132,Hopewell Valley Central High School,Public,12-Sep,259 Pennington Titusville Rd,Pennington,8534,40.32315,-74.78364,(n/a),No,No,(609) 737-4003,
