,Rank,School,Type,Grades,Address,City,Zip,District,Is Charter,Is Magnet,Is Virtual,Is Title I,Phone,Full_Address,Latitude,Longitude
0,1,Academy For Information Technology,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,Union County Vocational-Technical School District,No,(n/a),No,No,(908) 889-8288,"1776 Raritan Road, Scotch Plains, NJ 07076",40.6180513,-74.3570355
1,2,Union County Magnet High School,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,Union County Vocational-Technical School District,No,(n/a),No,No,(908) 889-8288,"1776 Raritan Road, Scotch Plains, NJ 07076",40.6180513,-74.3570355
2,3,Middlesex County Vocational Academy Math Science &Engineering Techn,Public,12-Sep,100 Technology Drive,Edison,8837,Middlesex County Vocational and Technical School District,No,(n/a),No,No,(732) 452-2600,"100 Technology Drive, Edison, NJ 08837",40.5045558,-74.36955019999999
3,4,Academy For Allied Health Sciences,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,Union County Vocational-Technical School District,No,(n/a),No,Yes,(908) 889-8288,"1776 Raritan Road, Scotch Plains, NJ 07076",40.6180513,-74.3570355
4,5,Communications High School,Public,12-Sep,1740 New Bedford Road,Wall,7719,Monmouth County Vocational School District,No,(n/a),No,No,(732) 681-1010,"1740 New Bedford Road, Wall, NJ 07719",40.16990089999999,-74.0620491
5,6,Monmouth County Academy of Allied Health and Science,Public,12-Sep,2325 Heck Avenue,Neptune,7753,Monmouth County Vocational School District,No,(n/a),No,No,(732) 775-0058,"2325 Heck Avenue, Neptune, NJ 07753",40.21468180000001,-74.0378187
6,7,Bergen County Academies,Public,12-Sep,200 Hackensack Avenue,Hackensack,7601,Bergen County Vocational Technical School District,No,(n/a),No,No,(201) 343-6000,"200 Hackensack Avenue, Hackensack, NJ 07601",40.9017414,-74.0335932
7,8,Biotechnology High School,Public,12-Sep,5000 Kozloski Road,Freehold,7728,Monmouth County Vocational School District,No,(n/a),No,No,(732) 431-7942,"5000 Kozloski Road, Freehold, NJ 07728",40.2611895,-74.2510375
8,9,Hunterdon County Academies,Public,12-Sep,1445 State Route 31,Annandale,8801,Hunterdon County Vocational School District,No,(n/a),No,No,(908) 788-1119,"1445 State Route 31, Annandale, NJ 08801",40.6280379,-74.8834779
9,10,Union County Technical,Public,12-Sep,1776 Raritan Rd,Scotch Plains,7076,Union County Vocational-Technical School District,No,(n/a),No,Yes,(908) 889-8288,"1776 Raritan Rd, Scotch Plains, NJ 07076",40.6180513,-74.3570355
10,11,High Technology High School,Public,12-Sep,765 Newman Springs Road,Lincroft,7738,Monmouth County Vocational School District,No,(n/a),No,No,(732) 842-8444,"765 Newman Springs Road, Lincroft, NJ 07738",40.3263561,-74.1311317
11,12,Academy for Mathematics Science and Engineering,Public,12-Sep,520 West Main Street,Rockaway,7866,Morris County Vocational School District,No,(n/a),No,No,(973) 664-2301,"520 West Main Street, Rockaway, NJ 07866",40.890836,-74.52918
12,13,Academy for Biotechnology,Public,12-Sep,96 Powerville Road,Mountain Lakes,7046,Morris County Vocational School District,No,(n/a),No,No,(973) 334-8480,"96 Powerville Road, Mountain Lakes, NJ 07046",40.8952526,-74.42718980000001
13,14,Bergen County Technical High School - Teterboro,Public,12-Sep,504 Route 46 West,Teterboro,7608,Bergen County Vocational Technical School District,No,(n/a),No,Yes,(201) 343-6000,"504 Route 46 West, Teterboro, NJ 07608",40.8604412,-74.0547977
14,15,Morris County School of Technology,Public,12-Sep,400 East Main Street,Denville,7834,Morris County Vocational School District,No,(n/a),No,No,(973) 627-4600,"400 East Main Street, Denville, NJ 07834",40.8785707,-74.4791225
15,16,Dr Ronald McNair High School,Public,12-Sep,123 Coles Street,Jersey City,7302,Jersey City Public Schools,No,(n/a),No,Yes,(201) 418-7617,"123 Coles Street, Jersey City, NJ 07302",40.72683019999999,-74.0474017
16,17,Middlesex County Vocational Academy Allied Health & Biomedical Science,Public,12-Aug,1 Convery Boulevard,Woodbridge,7095,Middlesex County Vocational and Technical School District,No,(n/a),No,No,(732) 634-5858,"1 Convery Boulevard, Woodbridge, NJ 07095",40.5406408,-74.278351
17,18,Marine Academy Of Science And Technology,Public,12-Sep,305 Mast Way,Highlands,7732,Monmouth County Vocational School District,No,(n/a),No,No,(732) 291-0995,"305 Mast Way, Highlands, NJ 07732",40.4602808,-73.9996845
18,19,Academy for Environmental Science,Public,12-Sep,1010 Weldon Road,Oak Ridge,7438,Morris County Vocational School District,No,(n/a),No,No,(973) 697-3535,"1010 Weldon Road, Oak Ridge, NJ 07438",41.0165134,-74.5535337
19,20,Northern Valley Regional High School At Demarest,Public,12-Sep,150 Knickerbocker Road,Demarest,7627,Northern Valley Regional High School District,No,(n/a),No,Yes,(201) 768-3200,"150 Knickerbocker Road, Demarest, NJ 07627",40.9625641,-73.9740798
20,21,Marine Academy of Technology and Environmental Science,Public,12-Sep,195 Cedar Bridge Road,Manahawkin,8050,Ocean County Vocational Technical School District,No,(n/a),No,No,(609) 978-8439,"195 Cedar Bridge Road, Manahawkin, NJ 08050",39.7162774,-74.25566800000001
21,22,Summit High School,Public,12-Sep,125 Kent Place Blvd,Summit,7901,Summit Public School District,No,(n/a),No,Yes,(908) 273-1494,"125 Kent Place Blvd, Summit, NJ 07901",40.720822,-74.370617
22,23,Pascack Hills High School,Public,12-Sep,225 West Grand Avenue,Montvale,7645,Pascack Valley Regional High School District,No,(n/a),No,No,(201) 358-7020,"225 West Grand Avenue, Montvale, NJ 07645",41.0495456,-74.0495917
23,24,Academy For Performing Arts,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,Union County Vocational-Technical School District,No,(n/a),No,Yes,(908) 889-8288,"1776 Raritan Road, Scotch Plains, NJ 07076",40.6180513,-74.3570355
24,25,Technology High School,Public,12-Sep,223 Broadway,Newark,7102,Newark Public School District,No,(n/a),No,Yes,(973) 481-5962,"223 Broadway, Newark, NJ 07102",40.7573799,-74.16908959999999
25,26,Glen Ridge High School,Public,12-Jul,200 Ridgewood Ave,Glen Ridge,7028,Glen Ridge Public School District,No,(n/a),No,No,(973) 429-8303,"200 Ridgewood Ave, Glen Ridge, NJ 07028",40.7993268,-74.2064682
26,27,Northern Valley Regional High School at Old Tappan,Public,12-Sep,140 Central Avenue,Old Tappan,7675,Northern Valley Regional High School District,No,(n/a),No,Yes,(201) 784-1600,"140 Central Avenue, Old Tappan, NJ 07675",41.009123,-73.97879
27,28,New Providence High School,Public,12-Sep,35 Pioneer Dr,New Providence,7974,New Providence School District,No,(n/a),No,Yes,(908) 464-4700,"35 Pioneer Dr, New Providence, NJ 07974",40.7006081,-74.4087203
28,29,Infinity Institute,Public,12-Jun,193 Old Bergen Road,Jersey City,7305,Jersey City Public Schools,No,(n/a),No,Yes,(201) 915-1404,"193 Old Bergen Road, Jersey City, NJ 07305",40.6963392,-74.09413839999999
29,30,John P. Stevens High School,Public,12-Sep,855 Grove Avenue,Edison,8820,Edison Township School District,No,(n/a),No,No,(732) 452-2800,"855 Grove Avenue, Edison, NJ 08820",40.5802663,-74.3614965
30,31,River Dell Regional High School,Public,12-Sep,55 Pyle Street,Oradell,7649,River Dell Regional School District,No,(n/a),No,No,(201) 599-7240,"55 Pyle Street, Oradell, NJ 07649",40.9443083,-74.0363466
31,32,Northern Highlands Regional High School,Public,12-Sep,298 Hillside Ave,Allendale,7401,Northern Highlands Regional High School District,No,(n/a),No,Yes,(201) 327-8700,"298 Hillside Ave, Allendale, NJ 07401",41.0357203,-74.1437679
32,33,West Morris Central High School,Public,12-Sep,259 Bartley Road,Chester,7930,West Morris Regional High School District,No,(n/a),No,No,(908) 879-5212,"259 Bartley Road, Chester, NJ 07930",40.8122949,-74.7292699
33,34,Ridge High School,Public,12-Sep,268 South Finley Avenue,Basking Ridge,7920,Bernards Township School District,No,(n/a),No,No,(908) 204-2585,"268 South Finley Avenue, Basking Ridge, NJ 07920",40.6943602,-74.5468722
34,35,Haddonfield Memorial High School,Public,12-Sep,401 Kings Highway East,Haddonfield,8033,Haddonfield School District,No,(n/a),No,No,(856) 429-3960,"401 Kings Highway East, Haddonfield, NJ 08033",39.9019489,-75.0264294
35,36,Millburn High School,Public,12-Sep,462 Millburn Ave,Millburn,7041,Millburn Township School District,No,(n/a),No,No,(973) 564-7130,"462 Millburn Ave, Millburn, NJ 07041",40.7204896,-74.31569569999999
36,37,West Morris Mendham High School,Public,12-Sep,65 East Main Street,Mendham,7945,West Morris Regional High School District,No,(n/a),No,No,(973) 543-2501,"65 East Main Street, Mendham, NJ 07945",40.7761621,-74.5920761
37,38,Moorestown High School,Public,12-Sep,350 Bridgeboro Road,Moorestown,8057,Moorestown Township Public School District,No,(n/a),No,No,(856) 778-6610,"350 Bridgeboro Road, Moorestown, NJ 08057",39.9857575,-74.94460819999999
38,39,Livingston High School,Public,12-Sep,30 Robert Harp Drive,Livingston,7039,Livingston Board of Education School District,No,(n/a),No,Yes,(973) 535-8000,"30 Robert Harp Drive, Livingston, NJ 07039",40.7839726,-74.3209948
39,40,Montgomery High School,Public,12-Sep,1016 Route 601,Skillman,8558,Montgomery Township School District,No,(n/a),No,Yes,(609) 466-7602,"1016 Route 601, Skillman, NJ 08558",40.4174592,-74.7064384
40,41,West Essex High School,Public,12-Sep,65 West Greenbrook Rd,North Caldwell,7006,West Essex Regional School District,No,(n/a),No,Yes,(973) 228-1200,"65 West Greenbrook Rd, North Caldwell, NJ 07006",40.8745177,-74.26920369999999
41,42,Tenafly High School,Public,12-Sep,19 Columbus Drive,Tenafly,7670,Tenafly Public School District,No,(n/a),No,Yes,(201) 816-6614,"19 Columbus Drive, Tenafly, NJ 07670",40.9332115,-73.9662898
42,43,Whippany Park High School,Public,12-Sep,165 Whippany Road,Whippany,7981,Hanover Park Regional High School District,No,(n/a),No,No,(973) 887-3004,"165 Whippany Road, Whippany, NJ 07981",40.8142162,-74.42370869999999
43,44,Ridgewood High School,Public,12-Sep,627 East Ridgewood Ave,Ridgewood,7451,Ridgewood Public School District,No,(n/a),No,No,(201) 670-2800,"627 East Ridgewood Ave, Ridgewood, NJ 07451",40.977754,-74.105593
44,45,Ramapo High School,Public,12-Sep,331 George Street,Franklin Lakes,7417,Ramapo Indian Hills Regional High School District,No,(n/a),No,No,(201) 891-1500,"331 George Street, Franklin Lakes, NJ 07417",40.9981332,-74.1926112
45,46,John F. Scarpa Technical Education Center of Cumberland Coun,Public,12-Sep,3400 College Drive,Vineland,8360,Cumberland County Board of Vocational Education,No,(n/a),No,Yes,(856) 451-9000,"3400 College Drive, Vineland, NJ 08360",39.4352094,-75.055202
46,47,Montville Township High School,Public,12-Sep,100 Horseneck Road,Montville,7045,Montville Township School District,No,(n/a),No,No,(973) 331-7100,"100 Horseneck Road, Montville, NJ 07045",40.8933696,-74.3604198
47,48,Fair Lawn High School,Public,12-Sep,14 00 Berdan Avenue,Fair Lawn,7410,Fair Lawn Public School District,No,(n/a),No,No,(201) 794-5455,"14 00 Berdan Avenue, Fair Lawn, NJ 07410",40.93258670000001,-74.1245849
48,49,Westfield Senior High School,Public,12-Sep,550 Dorian Road,Westfield,7090,Westfield Public School District,No,(n/a),No,No,(908) 789-4500,"550 Dorian Road, Westfield, NJ 07090",40.644764,-74.3492799
49,50,Hunterdon Central Regional High School District,Public,12-Sep,84 Route 31,Flemington,8822,Hunterdon Central Regional High School District,No,(n/a),No,Yes,(908) 782-5727,"84 Route 31, Flemington, NJ 08822",40.5171201,-74.851901
50,51,Applied Technology High School,Public,12-Sep,400 Paramus Road,Paramus,7652,Bergen County Vocational Technical School District,No,(n/a),No,No,(201) 343-6000,"400 Paramus Road, Paramus, NJ 07652",40.9516735,-74.0939011
51,52,Indian Hills High School,Public,12-Sep,97 Yawpo Ave,Oakland,7436,Ramapo Indian Hills Regional High School District,No,(n/a),No,Yes,(201) 337-0100,"97 Yawpo Ave, Oakland, NJ 07436",41.022626,-74.23127
52,53,Madison High School,Public,12-Sep,170 Ridgedale Avenue,Madison,7940,Madison Public School District,No,(n/a),No,Yes,(973) 593-3117,"170 Ridgedale Avenue, Madison, NJ 07940",40.76974999999999,-74.4087761
53,54,Chatham High School,Public,12-Sep,255 Lafayette Avenue,Chatham,7928,School District of the Chathams,No,(n/a),No,No,(973) 457-2505,"255 Lafayette Avenue, Chatham, NJ 07928",40.7315069,-74.4006307
54,55,Mahwah High School,Public,12-Sep,50 Ridge Road,Mahwah,7430,Mahwah Township Public School District,No,(n/a),No,No,(201) 762-2300,"50 Ridge Road, Mahwah, NJ 07430",41.0921068,-74.1581842
55,56,Pequannock Township High School,Public,12-Sep,85 Sunset Road,Pompton Plains,7444,Pequannock Township School District,No,(n/a),No,Yes,(973) 616-6000,"85 Sunset Road, Pompton Plains, NJ 07444",40.9605569,-74.30567959999999
56,57,Central Jersey College Prep Charter School,"Public, Charter, Alternative",K-12,101 Mettlers Road,Somerset,8873,Central Jersey College Prep Charter School,Yes,(n/a),No,No,(732) 649-3954,"101 Mettlers Road, Somerset, NJ 08873",40.5136425,-74.5655513
57,58,Park Ridge High School,Public,12-Jul,2 Park Ave,Park Ridge,7656,Park Ridge School District,No,(n/a),No,No,(201) 573-6000,"2 Park Ave, Park Ridge, NJ 07656",41.0346734,-74.0427237
58,59,Pascack Valley High School,Public,12-Sep,200 Piermont Avenue,Hillsdale,7642,Pascack Valley Regional High School District,No,(n/a),No,No,(201) 358-7060,"200 Piermont Avenue, Hillsdale, NJ 07642",41.0090971,-74.0290024
59,60,Science Park High School,Public,12-Jul,260 Norfolk Street,Newark,7102,Newark Public School District,No,(n/a),No,Yes,(973) 733-8689,"260 Norfolk Street, Newark, NJ 07102",40.739939,-74.1854638
60,61,Wayne Hills High School,Public,12-Sep,272 Berdan Avenue,Wayne,7470,Wayne Township Public School District,No,(n/a),No,No,(973) 317-2000,"272 Berdan Avenue, Wayne, NJ 07470",40.9683449,-74.2390272
61,62,Kinnelon High School,Public,12-Sep,121 Kinnelon Road,Kinnelon,7405,Kinnelon School District,No,(n/a),No,Yes,(973) 838-5500,"121 Kinnelon Road, Kinnelon, NJ 07405",40.9963753,-74.377956
62,63,Holmdel High School,Public,12-Sep,36 Crawfords Corner Road,Holmdel,7733,Holmdel Township School District,No,(n/a),No,Yes,(732) 946-1832,"36 Crawfords Corner Road, Holmdel, NJ 07733",40.3813183,-74.17875769999999
63,64,Cresskill High School,Public,12-Sep,1 Lincoln Dr,Cresskill,7626,Cresskill Public School District,No,(n/a),No,Yes,(201) 227-7791,"1 Lincoln Dr, Cresskill, NJ 07626",40.9482849,-73.96408579999999
64,65,Hillsborough High School,Public,12-Sep,466 Raider Boulevard,Hillsborough,8844,Hillsborough Township Public School District,No,(n/a),No,No,(908) 431-6600,"466 Raider Boulevard, Hillsborough, NJ 08844",40.4961069,-74.65596239999999
65,66,Rumson-Fair Haven Regional High School,Public,12-Sep,74 Ridge Road,Rumson,7760,Rumson-Fair Haven Regional High School District,No,(n/a),No,Yes,(732) 842-1597,"74 Ridge Road, Rumson, NJ 07760",40.3692353,-74.00191219999999
66,67,Marlboro High School,Public,12-Sep,95 North Main Street,Marlboro,7746,Freehold Regional High School District,No,(n/a),No,No,(732) 617-8393,"95 North Main Street, Marlboro, NJ 07746",40.329545,-74.2470946
67,68,Wayne Valley High School,Public,12-Sep,551 Valley Road,Wayne,7470,Wayne Township Public School District,No,(n/a),No,Yes,(973) 317-2200,"551 Valley Road, Wayne, NJ 07470",40.9306949,-74.23067999999999
68,69,Ramsey High School,Public,12-Sep,256 E Main Street,Ramsey,7446,Ramsey School District,No,(n/a),No,No,(201) 785-2300,"256 E Main Street, Ramsey, NJ 07446",41.0568526,-74.13442309999999
69,70,West Windsor-Plainsboro High School North,Public,12-Sep,90 Grovers Mill Road,Plainsboro,8536,West Windsor-Plainsboro Regional School District,No,(n/a),No,Yes,(609) 716-5100,"90 Grovers Mill Road, Plainsboro, NJ 08536",40.3224272,-74.60069639999999
70,71,Clearview Regional High School,Public,12-Sep,625 Breakneck Rd,Mullica Hill,8062,Clearview Regional High School District,No,(n/a),No,Yes,(856) 223-2790,"625 Breakneck Rd, Mullica Hill, NJ 08062",39.75084469999999,-75.2064892
71,72,Robbinsville High School,Public,12-Sep,155 Robbinsville Edinburg Rd,Robbinsville,8691,Robbinsville Public Schools,No,(n/a),No,Yes,(609) 632-0950,"155 Robbinsville Edinburg Rd, Robbinsville, NJ 08691",40.2381163,-74.61826630000002
72,73,Somerset County Vocational Technical High School,Public,12-Sep,14 Vogt Drive,Bridgewater,8807,Somerset County Vocational and Technical School District,No,(n/a),No,Yes,(908) 526-8900,"14 Vogt Drive, Bridgewater, NJ 08807",40.5881365,-74.6045157
73,74,Bridgewater-Raritan High School,Public,12-Sep,600 Garretson Road,Bridgewater,8807,Bridgewater-Raritan Regional School District,No,(n/a),No,No,(908) 231-8660,"600 Garretson Road, Bridgewater, NJ 08807",40.59281780000001,-74.63338399999999
74,75,Parsippany Hills High School,Public,12-Sep,20 Rita Drive,Morris Plains,7950,Parsippany-Troy Hills Township School District,No,(n/a),No,No,(973) 682-2815,"20 Rita Drive, Morris Plains, NJ 07950",40.86156,-74.45640949999999
75,76,Mountain Lakes High School,Public,12-Sep,96 Powerville Rd.,Mountain Lakes,7046,Mountain Lakes Public School District,No,(n/a),No,No,(973) 334-8400,"96 Powerville Rd., Mountain Lakes, NJ 07046",40.8952526,-74.42718980000001
76,77,Dumont High School,Public,12-Sep,101 New Milford Ave,Dumont,7628,Dumont Public School District,No,(n/a),No,No,(201) 387-3000,"101 New Milford Ave, Dumont, NJ 07628",40.9436379,-73.99797
77,78,North Hunterdon High School,Public,12-Sep,1445 State Route 31,Annandale,8801,North Hunterdon-Voorhees Regional High School District,No,(n/a),No,No,(908) 735-5191,"1445 State Route 31, Annandale, NJ 08801",40.6280379,-74.8834779
78,79,Scotch Plains-Fanwood High School,Public,12-Sep,667 Westfield Road,Scotch Plains,7076,Scotch Plains-Fanwood School District,No,(n/a),No,Yes,(908) 889-8600,"667 Westfield Road, Scotch Plains, NJ 07076",40.6530424,-74.38506269999999
79,80,Cherry Hill High School East,Public,12-Sep,1750 Kresson Rd.,Cherry Hill,8003,Cherry Hill School District,No,(n/a),No,No,(856) 424-2222,"1750 Kresson Rd., Cherry Hill, NJ 08003",39.8766671,-74.9641666
80,81,Hanover Park High School,Public,12-Sep,63 Mt Pleasant Avenue,East Hanover,7936,Hanover Park Regional High School District,No,(n/a),No,Yes,(973) 887-0300,"63 Mt Pleasant Avenue, East Hanover, NJ 07936",40.8041642,-74.37307249999999
81,82,Cinnaminson High School,Public,12-Sep,1197 Riverton Road,Cinnaminson,8077,Cinnaminson Township Public Schools,No,(n/a),No,Yes,(856) 829-7770,"1197 Riverton Road, Cinnaminson, NJ 08077",40.00753,-74.9963978
82,83,Voorhees High School,Public,12-Sep,256 County Route 513,Glen Gardner,8826,North Hunterdon-Voorhees Regional High School District,No,(n/a),No,Yes,(908) 638-6116,"256 County Route 513, Glen Gardner, NJ 08826",40.6957702,-74.8868766
83,84,Glen Rock High School,Public,12-Sep,400 Hamilton Avenue,Glen Rock,7452,Glen Rock Public School District,No,(n/a),No,No,(201) 445-7700,"400 Hamilton Avenue, Glen Rock, NJ 07452",40.955201,-74.12261889999999
84,85,Mercer County Technical School STEM Academy,Public,12-Sep,229 Bull Run Road,Pennington,8534,Area Vocational Technical Schools of Mercer County,No,(n/a),No,No,(609) 570-3400,"229 Bull Run Road, Pennington, NJ 08534",40.2888417,-74.78284479999999
85,86,Midland Park Junior/Senior High School,Public,12-Jul,250 Prospect St,Midland Park,7432,Midland Park School District,No,(n/a),No,Yes,(201) 444-7400,"250 Prospect St, Midland Park, NJ 07432",41.0001462,-74.13656639999999
86,87,Princeton High School,Public,12-Sep,151 Moore Street,Princeton,8540,Princeton Public Schools,No,(n/a),No,No,(609) 806-4280,"151 Moore Street, Princeton, NJ 08540",40.3572615,-74.65550089999999
87,88,Metuchen High School,Public,12-Sep,400 Grove Ave,Metuchen,8840,Metuchen Public School District,No,(n/a),No,Yes,(732) 321-8744,"400 Grove Ave, Metuchen, NJ 08840",40.5536644,-74.3544671
88,89,Sparta High School,Public,12-Sep,70 West Mountain Road,Sparta,7871,Sparta Township Public School District,No,(n/a),No,Yes,(973) 729-6191,"70 West Mountain Road, Sparta, NJ 07871",41.0542749,-74.624737
89,90,Parsippany High School,Public,12-Sep,309 Baldwin Rd,Parsippany,7054,Parsippany-Troy Hills Township School District,No,(n/a),No,Yes,(973) 263-7001,"309 Baldwin Rd, Parsippany, NJ 07054",40.8697257,-74.3919421
90,91,Matawan Regional High School,Public,12-Sep,450 Atlantic Avenue,Aberdeen,7747,Matawan-Aberdeen Regional School District,No,(n/a),No,No,(732) 705-5200,"450 Atlantic Avenue, Aberdeen, NJ 07747",40.4112981,-74.2224919
91,92,Kingsway Regional High School,Public,12-Sep,201 Kings Highway,Woolwich Twp,8085,Kingsway Regional School District,No,(n/a),No,Yes,(856) 467-3300,"201 Kings Highway, Woolwich Twp, NJ 08085",39.761012,-75.2907417
92,93,Red Bank Regional High School,Public,12-Sep,101 Ridge Road,Little Silver,7739,Red Bank Regional School District,No,(n/a),No,Yes,(732) 842-8000,"101 Ridge Road, Little Silver, NJ 07739",40.3496858,-74.0388763
93,94,West Windsor-Plainsboro High School South,Public,12-Sep,346 Clarksville Road,West Windsor,8550,West Windsor-Plainsboro Regional School District,No,(n/a),No,Yes,(609) 716-5050,"346 Clarksville Road, West Windsor, NJ 08550",40.305586,-74.618714
94,95,Middletown High School South,Public,12-Sep,900 Nut Swamp Road,Middletown,7748,Middletown Township Public School District,No,(n/a),No,No,(732) 706-6111,"900 Nut Swamp Road, Middletown, NJ 07748",40.3632816,-74.11518950000001
95,96,Leonia High School,Public,12-Sep,100 Christie Heights Street,Leonia,7605,Leonia Public School District,No,(n/a),No,Yes,(201) 302-5200,"100 Christie Heights Street, Leonia, NJ 07605",40.870303,-73.9889034
96,97,Lakeland Regional High School,Public,12-Sep,205 Conklintown Road,Wanaque,7465,Lakeland Regional High School District,No,(n/a),No,Yes,(973) 835-1900,"205 Conklintown Road, Wanaque, NJ 07465",41.059251,-74.282753
97,98,Manasquan High School,Public,12-Sep,167 Broad Street,Manasquan,8736,Manasquan School District,No,(n/a),No,Yes,(732) 528-8820,"167 Broad Street, Manasquan, NJ 08736",40.1276872,-74.0491983
98,99,Randolph High School,Public,12-Sep,511 Millbrook Avenue,Randolph,7869,Randolph Township School District,No,(n/a),No,No,(973) 361-2400,"511 Millbrook Avenue, Randolph, NJ 07869",40.8464632,-74.5666272
99,100,Allentown High School,Public,12-Sep,27 High Street,Allentown,8501,Upper Freehold Regional School District,No,(n/a),No,Yes,(609) 259-7292,"27 High Street, Allentown, NJ 08501",40.1732018,-74.5868772
100,101,Bergen Arts and Sciences Charter School,"Public, Charter, Alternative",K-12,200 MacArthur Avenue,Garfield,7026,Bergen Arts and Science Charter School,Yes,(n/a),No,No,(201) 773-9140,"200 MacArthur Avenue, Garfield, NJ 07026",40.8741284,-74.09853140000001
101,102,Point Pleasant Beach High School,Public,12-Sep,700 Trenton Avenue,Point Pleasant Beach,8742,Point Pleasant Beach School District,No,(n/a),No,Yes,(732) 899-1817,"700 Trenton Avenue, Point Pleasant Beach, NJ 08742",40.0888635,-74.0521586
