,Rank,School,Type,Grades,Address,City,Zip,District,Is Charter,Is Magnet,Is Virtual,Is Title I,Phone,Full_Address,Latitude,Longitude
102,103,East Brunswick High School,Public,12-Oct,380 Cranbury Road,E Brunswick,8816,East Brunswick Township School District,No,(n/a),No,No,(732) 613-6904,"380 Cranbury Road, E Brunswick, NJ 08816",40.4328315,-74.3982401
103,104,Paramus High School,Public,12-Sep,99 East Century Road,Paramus,7652,Paramus Public School District,No,(n/a),No,Yes,(201) 261-7800,"99 East Century Road, Paramus, NJ 07652",40.9283274,-74.06127479999999
104,105,Monroe Township High School,Public,12-Sep,200 Schoolhouse Road,Monroe Township,8831,Monroe Township School District,No,(n/a),No,Yes,(732) 521-2882,"200 Schoolhouse Road, Monroe Township, NJ 08831",40.3279448,-74.43589209999999
105,106,Delaware Valley Regional High School,Public,12-Sep,19 Senator Stout Rd,Frenchtown,8825,Delaware Valley Regional High School District,No,(n/a),No,Yes,(908) 996-2131,"19 Senator Stout Rd, Frenchtown, NJ 08825",40.5626984,-75.0057424
106,107,Morris Knolls High School,Public,12-Sep,50 Knoll Drive,Denville,7834,Morris Hills Regional School District,No,(n/a),No,No,(973) 664-2201,"50 Knoll Drive, Denville, NJ 07834",40.8856444,-74.50858219999999
107,108,Governor Livingston High School,Public,12-Sep,175 Watchung Boulevard,Berkeley Heights,7922,Berkeley Heights School District,No,(n/a),No,Yes,(908) 464-3100,"175 Watchung Boulevard, Berkeley Heights, NJ 07922",40.6871612,-74.38687879999999
108,109,County Prep High School,Public,12-Sep,525 Montgomery Street,Jersey City,7306,Hudson County Schools of Technology School District,No,(n/a),No,Yes,(201) 631-6302,"525 Montgomery Street, Jersey City, NJ 07306",40.7216797,-74.059479
109,110,Pompton Lakes High School,Public,12-Sep,44 Lakeside Avenue,Pompton Lakes,7442,Pompton Lakes School District,No,(n/a),No,No,(973) 835-7100,"44 Lakeside Avenue, Pompton Lakes, NJ 07442",41.0045131,-74.2886286
110,111,Middlesex High School,Public,12-Sep,300 John F. Kennedy Drive,Middlesex,8846,Middlesex Borough School District,No,(n/a),No,No,(732) 317-6000,"300 John F. Kennedy Drive, Middlesex, NJ 08846",40.58246889999999,-74.4946344
111,112,Westwood Junior/Senior High School,Public,12-Aug,701 Ridgewood Road,Township Of Washington,7676,Westwood Regional School District,No,(n/a),No,No,(201) 664-0880,"701 Ridgewood Road, Township Of Washington, NJ 07676",40.9796629,-74.06113119999999
112,113,Liberty High School,Public,12-Sep,299 Sip Avenue,Jersey City,7306,Jersey City Public Schools,No,(n/a),No,Yes,(201) 714-4373,"299 Sip Avenue, Jersey City, NJ 07306",40.7324362,-74.0741188
113,114,Mount Olive High School,Public,12-Sep,18 Corey Road,Flanders,7836,Mount Olive Township School District,No,(n/a),No,No,(973) 927-2208,"18 Corey Road, Flanders, NJ 07836",40.858616,-74.713984
114,115,Shawnee High School,Public,12-Sep,600 Tabernacle Road,Medford,8055,Lenape Regional High School District,No,(n/a),No,No,(609) 654-7544,"600 Tabernacle Road, Medford, NJ 08055",39.85558899999999,-74.77536359999999
115,116,Kittatinny Regional High School,Public,12-Jul,77 Halsey Road,Newton,7860,Kittatinny Regional School District,No,(n/a),No,Yes,(973) 383-1800,"77 Halsey Road, Newton, NJ 07860",41.08791859999999,-74.7435225
116,117,Verona High School,Public,12-Sep,151 Fairview Ave,Verona,7044,Verona Public School District,No,(n/a),No,No,(973) 571-6750,"151 Fairview Ave, Verona, NJ 07044",40.8412784,-74.24803760000002
117,118,Lenape Valley Regional High School,Public,12-Sep,28 Sparta Road,Stanhope,7874,Lenape Valley Regional High School District,No,(n/a),No,Yes,(973) 347-7600,"28 Sparta Road, Stanhope, NJ 07874",40.91974,-74.700322
118,119,Montclair High School,Public,12-Sep,100 Chestnut St,Montclair,7042,Montclair Public School District,No,(n/a),No,No,(973) 509-4100,"100 Chestnut St, Montclair, NJ 07042",40.8232208,-74.2128884
119,120,Hopewell Valley Central High School,Public,12-Sep,259 Pennington Titusville Rd,Pennington,8534,Hopewell Valley Regional School District,No,(n/a),No,No,(609) 737-4003,"259 Pennington Titusville Rd, Pennington, NJ 08534",40.327897,-74.8040552
120,121,New Egypt High School,Public,12-Sep,117 Evergreen Road,New Egypt,8533,Plumsted Township School District,No,(n/a),No,Yes,(609) 758-6800,"117 Evergreen Road, New Egypt, NJ 08533",40.0802066,-74.529223
121,122,James Caldwell High School,Public,12-Sep,265 Westville Ave,West Caldwell,7006,Caldwell-West Caldwell School District,No,(n/a),No,No,(973) 228-6981,"265 Westville Ave, West Caldwell, NJ 07006",40.8421379,-74.2963789
122,123,East Orange STEM Academy High School,Public,12-Jun,129 Renshaw Avenue,East Orange,7017,East Orange School District,No,(n/a),No,Yes,(973) 266-5900,"129 Renshaw Avenue, East Orange, NJ 07017",40.7768634,-74.2037167
123,124,Butler High School,Public,12-Sep,38 Bartholdi Avenue,Butler,7405,Butler Public School District,No,(n/a),No,Yes,(973) 492-2000,"38 Bartholdi Avenue, Butler, NJ 07405",40.9977954,-74.3396392
124,125,Mercer County Technical School Health Sciences Academy,Public,12-Sep,1085 Old Trenton Road,Trenton,8690,Area Vocational Technical Schools of Mercer County,No,(n/a),No,No,(609) 586-5144,"1085 Old Trenton Road, Trenton, NJ 08690",40.2492664,-74.6536295
125,126,Hasbrouck Heights High School,Public,12-Sep,365 Boulevard,Hasbrouck Heights,7604,Hasbrouck Heights School District,No,(n/a),No,Yes,(201) 288-6150,"365 Boulevard, Hasbrouck Heights, NJ 07604",40.8667137,-74.0738908
126,127,South Brunswick High School,Public,12-Sep,750 Ridge Road,Monmouth Junction,8852,South Brunswick School District,No,(n/a),No,No,(732) 329-4044,"750 Ridge Road, Monmouth Junction, NJ 08852",40.3738104,-74.5640925
127,128,New Milford High School,Public,12-Sep,330 River Road,New Milford,7646,New Milford Public School District,No,(n/a),No,No,(201) 262-0172,"330 River Road, New Milford, NJ 07646",40.941883,-74.02169599999999
128,129,Colts Neck High School,Public,12-Sep,59 Five Points Road,Colts Neck,7722,Freehold Regional High School District,No,(n/a),No,No,(732) 761-0190,"59 Five Points Road, Colts Neck, NJ 07722",40.2762786,-74.2089446
129,130,Mainland Regional High School,Public,12-Sep,1301 Oak Avenue,Linwood,8221,Mainland Regional High School,No,(n/a),No,Yes,(609) 927-4151,"1301 Oak Avenue, Linwood, NJ 08221",39.3467747,-74.57743479999999
130,131,Waldwick High School,Public,12-Sep,155 Wyckoff Avenue,Waldwick,7463,Waldwick School District,No,(n/a),No,No,(201) 652-9000,"155 Wyckoff Avenue, Waldwick, NJ 07463",41.0117019,-74.1334468
131,132,Passaic County Technical Institute,Public,12-Sep,45 Reinhardt Road,Wayne,7470,Passaic County Vocational School District,No,(n/a),No,Yes,(973) 790-6000,"45 Reinhardt Road, Wayne, NJ 07470",40.9309012,-74.2023751
132,133,Columbia High School,Public,12-Sep,17 Parker Ave,Maplewood,7040,South Orange-Maplewood School District,No,(n/a),No,No,(973) 762-5600,"17 Parker Ave, Maplewood, NJ 07040",40.7354856,-74.2663475
133,134,Hackettstown High School,Public,12-Sep,599 Warren Street,Hackettstown,7840,Hackettstown Public School District,No,(n/a),No,No,(908) 852-8150,"599 Warren Street, Hackettstown, NJ 07840",40.843186,-74.830174
134,135,Bernards High School,Public,12-Sep,25 Olcott Avenue,Bernardsville,7924,Somerset Hills Regional School District,No,(n/a),No,Yes,(908) 630-3000,"25 Olcott Avenue, Bernardsville, NJ 07924",40.7213623,-74.5671292
135,136,Rancocas Valley Regional High School,Public,12-Sep,520 Jacksonville Road,Mount Holly,8060,Rancocas Valley Regional High School District,No,(n/a),No,Yes,(609) 267-0830,"520 Jacksonville Road, Mount Holly, NJ 08060",40.0025146,-74.78298749999999
136,137,Watchung Hills Regional High School,Public,12-Sep,108 Stirling Rd.,Warren,7059,Watchung Hills Regional High School District,No,(n/a),No,Yes,(908) 647-4800,"108 Stirling Rd., Warren, NJ 07059",40.6525753,-74.4754909
137,138,Boonton High School,Public,12-Sep,306 Lathrop Avenue,Boonton,7005,Boonton Town School District,No,(n/a),No,Yes,(973) 335-9700,"306 Lathrop Avenue, Boonton, NJ 07005",40.90322099999999,-74.403031
138,139,Woodstown High School,Public,12-Sep,140 East Avenue,Woodstown,8098,Woodstown-Pilesgrove Regional School District,No,(n/a),No,Yes,(856) 769-0144,"140 East Avenue, Woodstown, NJ 08098",39.65064580000001,-75.321535
139,140,Gloucester County Institute of Technology,Public,12-Sep,1360 Tanyard Road,Sewell,8080,Gloucester County Vocational-Technical School District,No,(n/a),No,Yes,(856) 468-1445,"1360 Tanyard Road, Sewell, NJ 08080",39.7882239,-75.12346749999999
140,141,Roxbury High School,Public,12-Sep,One Bryant Drive,Succasunna,7876,Roxbury Township School District,No,(n/a),No,No,(973) 584-1200,"One Bryant Drive, Succasunna, NJ 07876",40.8619227,-74.6407752
141,142,Nutley High School,Public,12-Sep,300 Franklin Ave,Nutley,7110,Nutley Public School District,No,(n/a),No,Yes,(973) 661-8824,"300 Franklin Ave, Nutley, NJ 07110",40.8172969,-74.1601452
142,143,North Star Academy Charter School,"Public, Charter, Alternative",K-12,10 Washington Place,Newark,7102,North Star Academy Charter School,Yes,(n/a),No,Yes,(973) 642-0101,"10 Washington Place, Newark, NJ 07102",40.7423008,-74.1699335
143,144,Fort Lee High School,Public,12-Sep,3000 Lemoine Ave,Fort Lee,7024,Fort Lee School District,No,(n/a),No,Yes,(201) 585-4675,"3000 Lemoine Ave, Fort Lee, NJ 07024",40.858348,-73.964789
144,145,Morris Hills High School,Public,12-Sep,520 West Main Street,Rockaway,7866,Morris Hills Regional School District,No,(n/a),No,Yes,(973) 664-2301,"520 West Main Street, Rockaway, NJ 07866",40.890836,-74.52918
145,146,Edison High School,Public,12-Sep,50 Boulevard Of The Eagles,Edison,8817,Edison Township School District,No,(n/a),No,Yes,(732) 650-5200,"50 Boulevard Of The Eagles, Edison, NJ 08817",40.5143871,-74.3863107
146,147,Point Pleasant Borough High School,Public,12-Sep,Laura Herbert Dr,Point Pleasant Beach,8742,Point Pleasant Borough School District,No,(n/a),No,No,(732) 701-1900,"Laura Herbert Dr, Point Pleasant Beach, NJ 08742",40.079162,-74.0718299
147,148,Bard Early College High School,Public,12-Sep,321 Bergen Street,Newark,7103,Newark Public School District,No,(n/a),No,Yes,(212) 995-8479,"321 Bergen Street, Newark, NJ 07103",40.7349262,-74.19546179999999
148,149,Wall High School,Public,12-Sep,1630 18th Ave,Wall,7719,Wall Township Public School District,No,(n/a),No,No,(732) 556-2040,"1630 18th Ave, Wall, NJ 07719",40.1685461,-74.06102659999999
149,150,High Point Regional High School District,Public,12-Sep,299 Pidgeon Hill Road,Sussex,7461,High Point Regional High School District,No,(n/a),No,Yes,(973) 875-3101,"299 Pidgeon Hill Road, Sussex, NJ 07461",41.19984789999999,-74.6461236
150,151,Eastern Regional High School,Public,12-Sep,1401 Laurel Oak Road,Voorhees,8043,Eastern Camden County Regional School District,No,(n/a),No,Yes,(856) 784-4441,"1401 Laurel Oak Road, Voorhees, NJ 08043",39.84915600000001,-74.966819
151,152,Rutherford High School,Public,12-Sep,56 Elliott Pl,Rutherford,7070,Rutherford School District,No,(n/a),No,No,(201) 438-7675,"56 Elliott Pl, Rutherford, NJ 07070",40.8288417,-74.1083965
152,153,South Hunterdon Regional High School,Public,12-Jul,301 Mt Airy Harbourton Rd,Lambertville,8530,South Hunterdon Regional School District,No,(n/a),No,Yes,(609) 397-2060,"301 Mt Airy Harbourton Rd, Lambertville, NJ 08530",40.386799,-74.89294799999999
153,154,Elizabeth High School - Frank J Cicarell Academy,Public,12-Sep,40 Morrell Street,Elizabeth,7202,Elizabeth Public Schools,No,(n/a),No,Yes,(908) 436-5870,"40 Morrell Street, Elizabeth, NJ 07202",40.6634263,-74.2105038
154,155,Secaucus High School,Public,12-Sep,11 Mill Ridge Road,Secaucus,7094,Secaucus School District,No,(n/a),No,Yes,(201) 974-2033,"11 Mill Ridge Road, Secaucus, NJ 07094",40.8033613,-74.05088549999999
155,156,Emerson Junior Senior High,Public,12-Jul,131 Main Street,Emerson,7630,Emerson Public School District,No,(n/a),No,Yes,(201) 262-4447,"131 Main Street, Emerson, NJ 07630",40.9726428,-74.0175265
156,157,High Technical High School,Public,12-Sep,1 High Tech Way,Secaucus,7094,Hudson County Schools of Technology School District,No,(n/a),No,Yes,(201) 662-6801,"1 High Tech Way, Secaucus, NJ 07094",40.7611192,-74.0828525
157,158,Spotswood High School,Public,12-Sep,105 Summerhill Road,Spotswood,8884,Spotswood Public School District,No,(n/a),No,Yes,(732) 723-2200,"105 Summerhill Road, Spotswood, NJ 08884",40.3985818,-74.3884155
158,159,Bergenfield High School,Public,12-Sep,80 S Prospect Ave,Bergenfield,7621,Bergenfield Borough School District,No,(n/a),No,Yes,(201) 385-8600,"80 S Prospect Ave, Bergenfield, NJ 07621",40.9252031,-74.0074272
159,160,Henry Hudson Regional School,Public,12-Jul,1 Grand Tour,Highlands,7732,Henry Hudson Regional School District,No,(n/a),No,Yes,(732) 872-0900,"1 Grand Tour, Highlands, NJ 07732",40.3923689,-73.9852986
160,161,Foundation Academy Charter School,"Public, Charter, Alternative",K-12,363 West State Street,Trenton,8608,Foundation Academy Charter School,Yes,(n/a),No,No,(609) 920-9200,"363 West State Street, Trenton, NJ 08608",40.22375,-74.7773196
161,162,Lodi High School,Public,12-Sep,99 Putnam Street,Lodi,7644,Lodi School District,No,(n/a),No,Yes,(973) 478-6100,"99 Putnam Street, Lodi, NJ 07644",40.8866422,-74.0870138
162,163,Vernon Township High School,Public,12-Sep,1832 Route 565,Vernon,7462,Vernon Township School District,No,(n/a),No,Yes,(973) 764-2960,"1832 Route 565, Vernon, NJ 07462",41.1946438,-74.6252779
163,164,Cherokee High School,Public,12-Sep,120 Tomlinson Mill Road,Marlton,8053,Lenape Regional High School District,No,(n/a),No,Yes,(856) 983-5140,"120 Tomlinson Mill Road, Marlton, NJ 08053",39.8738383,-74.8994508
164,165,Saddle Brook Middle/High School,Public,12-Jul,355 Mayhill Street,Saddle Brook,7663,Saddle Brook School District,No,(n/a),No,No,(201) 843-2880,"355 Mayhill Street, Saddle Brook, NJ 07663",40.9049018,-74.0908684
165,166,Brick Township High School,Public,12-Sep,346 Chambers Bridge Rd,Brick,8723,Brick Township Public School District,No,(n/a),No,Yes,(732) 785-3000,"346 Chambers Bridge Rd, Brick, NJ 08723",40.073183,-74.1531728
166,167,Freehold Township High School,Public,12-Sep,281 Elton Adelphia Road,Freehold,7728,Freehold Regional High School District,No,(n/a),No,Yes,(732) 431-8460,"281 Elton Adelphia Road, Freehold, NJ 07728",40.2201507,-74.28263570000001
167,168,Cranford High School,Public,12-Sep,201 West End Place,Cranford,7016,Cranford Public School District,No,(n/a),No,No,(908) 709-6272,"201 West End Place, Cranford, NJ 07016",40.6620994,-74.31323069999999
168,169,Ridgefield Memorial High School,Public,12-Sep,555 Walnut St,Ridgefield,7657,Ridgefield School District,No,(n/a),No,No,(201) 945-4455,"555 Walnut St, Ridgefield, NJ 07657",40.8309951,-73.9998064
169,170,Phillipsburg High School,Public,12-Sep,1 Stateliner Blvd.,Phillipsburg,8865,Phillipsburg School District,No,(n/a),No,Yes,(908) 454-3400,"1 Stateliner Blvd., Phillipsburg, NJ 08865",40.7145973,-75.18320949999999
170,171,Essex County Newark Technical,Public,12-Sep,91 West Market Street,Newark,7103,Essex County Vocational Technical Schools,No,(n/a),No,Yes,(973) 412-2204,"91 West Market Street, Newark, NJ 07103",40.740262,-74.18170289999999
171,172,Lenape High School,Public,12-Sep,235 Hartford Road,Medford,8055,Lenape Regional High School District,No,(n/a),No,Yes,(609) 654-5111,"235 Hartford Road, Medford, NJ 08055",39.9208626,-74.854551
172,173,Egg Harbor Township High School,Public,12-Sep,24 High School Drive,Egg Harbor Township,8234,Egg Harbor Township School District,No,(n/a),No,No,(609) 653-0100,"24 High School Drive, Egg Harbor Township, NJ 08234",39.3947754,-74.6285146
173,174,John F. Kennedy Memorial High School,Public,12-Sep,200 Washington Avenue,Iselin,8830,Woodbridge Township School District,No,(n/a),No,No,(732) 602-8650,"200 Washington Avenue, Iselin, NJ 08830",40.5724891,-74.3036398
174,175,Northern Burlington County Regional High School,Public,12-Sep,160 Mansfield Road East,Columbus,8022,Northern Burlington County Regional School District,No,(n/a),No,Yes,(609) 298-3900,"160 Mansfield Road East, Columbus, NJ 08022",40.0882,-74.6855999
175,176,Pinelands Regional High School,Public,12-Oct,565 Nugentown Road,Little Egg Harbor,8087,Pinelands Regional School District,No,(n/a),No,No,(609) 296-3106,"565 Nugentown Road, Little Egg Harbor, NJ 08087",39.6098794,-74.3596761
176,177,Piscataway Township High School,Public,12-Sep,100 Behmer Road,Piscataway,8854,Piscataway Township School District,No,(n/a),No,Yes,(732) 981-0700,"100 Behmer Road, Piscataway, NJ 08854",40.5457326,-74.47106339999999
177,178,Warren Hills Regional High School,Public,12-Sep,41 Jackson Valley Road,Washington,7882,Warren Hills Regional School District,No,(n/a),No,Yes,(908) 689-3050,"41 Jackson Valley Road, Washington, NJ 07882",40.77439409999999,-74.98388779999999
178,179,Ocean City High School,Public,12-Sep,501 Atlantic Avenue,Ocean City,8226,Ocean City School District,No,(n/a),No,Yes,(609) 399-1290,"501 Atlantic Avenue, Ocean City, NJ 08226",39.2798001,-74.5673819
179,180,Hammonton High School,Public,12-Sep,566 Old Forks Road,Hammonton,8037,Hammonton School District,No,(n/a),No,Yes,(609) 567-7000,"566 Old Forks Road, Hammonton, NJ 08037",39.6565046,-74.8073024
180,181,Morristown High School,Public,12-Sep,50 Early Street,Morristown,7960,Morris School District,No,(n/a),No,No,(973) 292-2000,"50 Early Street, Morristown, NJ 07960",40.8011472,-74.4864486
181,182,Union City High School,Public,12-Sep,2500 Kennedy Blvd,Union City,7087,Union City School District,No,(n/a),No,Yes,(201) 330-8678,"2500 Kennedy Blvd, Union City, NJ 07087",40.7703761,-74.03676229999999
182,183,Freehold Borough High School,Public,12-Sep,2 Robertsville Road,Freehold,7728,Freehold Regional High School District,No,(n/a),No,Yes,(732) 431-8360,"2 Robertsville Road, Freehold, NJ 07728",40.26772709999999,-74.268367
183,184,Willliamstown High School,Public,12-Sep,700 N Tuckahoe Rd,Williamstown,8094,Monroe Township Public School District,No,(n/a),No,No,(856) 262-8200,"700 N Tuckahoe Rd, Williamstown, NJ 08094",39.6822522,-75.0105483
184,185,Essex County Donald M. Payne Senior School of Technology,Public,12-Sep,498-544 West Market St,Newark,7107,Essex County Vocational Technical Schools,No,(n/a),No,Yes,(973) 412-2203,"498-544 West Market St, Newark, NJ 07107",40.7506839,-74.1938246
185,186,Shore Regional High School,Public,12-Sep,132 Monmouth Park Highway 36,West Long Branch,7764,Shore Regional High School District,No,(n/a),No,Yes,(732) 222-9300,"132 Monmouth Park Highway 36, West Long Branch, NJ 07764",40.2992882,-74.02625909999999
186,187,Teaneck High School,Public,12-Sep,100 Elizabeth Ave,Teaneck,7666,Teaneck School District,No,(n/a),No,No,(201) 833-5400,"100 Elizabeth Ave, Teaneck, NJ 07666",40.89115779999999,-74.00837680000001
187,188,Seneca High School,Public,12-Sep,110 Carranza Road,Tabernacle,8088,Lenape Regional High School District,No,(n/a),No,Yes,(609) 268-4600,"110 Carranza Road, Tabernacle, NJ 08088",39.8573385,-74.717795
188,189,Bogota Junior/Senior High School,Public,12-Jul,2 Henry C Luthin Place,Bogota,7603,Bogota Public School District,No,(n/a),No,Yes,(201) 441-4808,"2 Henry C Luthin Place, Bogota, NJ 07603",40.8776442,-74.0233171
189,190,Jackson Memorial High School,Public,12-Sep,101 Don Connor Boulevard,Jackson,8527,Jackson Township School District,No,(n/a),No,No,(732) 833-4670,"101 Don Connor Boulevard, Jackson, NJ 08527",40.1071828,-74.3457318
190,191,South Plainfield High School,Public,12-Sep,200 Lake Street,South Plainfield,7080,South Plainfield School District,No,(n/a),No,No,(908) 754-4620,"200 Lake Street, South Plainfield, NJ 07080",40.5891604,-74.41244069999999
191,192,Great Oaks Legacy Charter School,"Public, Charter, Alternative","PK, KG-12",24 Maiden Lane,Newark,7102,Great Oaks Legacy Charter School,Yes,(n/a),No,Yes,(973) 565-9170,"24 Maiden Lane, Newark, NJ 07102",40.7344063,-74.1749387
192,193,Lawrence High School,Public,12-Sep,2525 Princeton Pike,Lawrenceville,8648,Lawrence Township Public School District,No,(n/a),No,No,(609) 671-5510,"2525 Princeton Pike, Lawrenceville, NJ 08648",40.2648678,-74.7297736
193,194,Haddon Township High School,Public,12-Sep,406 Memorial Avenue,Westmont,8108,Haddon Township School District,No,(n/a),No,No,(856) 869-7750,"406 Memorial Avenue, Westmont, NJ 08108",39.9042379,-75.05655159999999
194,195,Raritan High School,Public,12-Sep,419 Middle Road,Hazlet,7730,Hazlet Township Public School District,No,(n/a),No,No,(732) 264-8411,"419 Middle Road, Hazlet, NJ 07730",40.4275234,-74.15131459999999
195,196,Toms River High School North,Public,12-Sep,1245 Old Freehold Road,Toms River,8753,Toms River Regional School District,No,(n/a),No,No,(732) 505-5702,"1245 Old Freehold Road, Toms River, NJ 08753",39.9823146,-74.1918678
196,197,Jefferson Township High School,Public,12-Sep,1010 Weldon Rd Rd2,Oak Ridge,7438,Jefferson Township Public School District,No,(n/a),No,No,(973) 697-3535,"1010 Weldon Rd Rd2, Oak Ridge, NJ 07438",41.016582,-74.55273609999999
197,198,Cedar Grove High School,Public,12-Sep,90 Rugby Road,Cedar Grove,7009,Cedar Grove Township School District,No,(n/a),No,No,(973) 239-6400,"90 Rugby Road, Cedar Grove, NJ 07009",40.8513707,-74.2233547
198,199,Monmouth Regional High School,Public,12-Sep,One Norman J Field Way,Tinton Falls,7724,Monmouth Regional High School,No,(n/a),No,Yes,(732) 542-1170,"One Norman J Field Way, Tinton Falls, NJ 07724",40.303775,-74.091048
199,200,Newton High School,Public,12-Sep,44 Ryerson Avenue,Newton,7860,Newton Public School District,No,(n/a),No,Yes,(973) 383-7573,"44 Ryerson Avenue, Newton, NJ 07860",41.05084069999999,-74.7604988
200,201,Manalapan High School,Public,12-Sep,20 Church Lane,Englishtown,7726,Freehold Regional High School District,No,(n/a),No,No,(732) 792-7200,"20 Church Lane, Englishtown, NJ 07726",40.290075,-74.3351859
201,202,West Deptford High School,Public,12-Sep,1600 Old Crown Point Rd,West Deptford,8093,West Deptford Township School District,No,(n/a),No,No,(856) 848-6110,"1600 Old Crown Point Rd, West Deptford, NJ 08093",39.8548757,-75.16195119999999
202,203,North Warren Regional School,Public,12-Jul,10 Noe Rd,Blairstown,7825,North Warren Regional School District,No,(n/a),No,Yes,(908) 362-8211,"10 Noe Rd, Blairstown, NJ 07825",40.981884,-74.9907997
203,204,Franklin High School,Public,12-Sep,500 Elizabeth Avenue,Somerset,8873,Franklin Township Public Schools,No,(n/a),No,No,(732) 302-4200,"500 Elizabeth Avenue, Somerset, NJ 08873",40.5202296,-74.55237
204,205,Audubon Junior/Senior High School,Public,12-Jul,350 Edgewood Avenue,Audubon,8106,Audubon Public School Disrict,No,(n/a),No,Yes,(856) 547-7695,"350 Edgewood Avenue, Audubon, NJ 08106",39.8844852,-75.0757598
205,206,Lyndhurst High School,Public,12-Sep,400 Weart Avenue,Lyndhurst,7071,Lyndhurst School District,No,(n/a),No,No,(201) 896-2100,"400 Weart Avenue, Lyndhurst, NJ 07071",40.809043,-74.1272075
