Municipality,MUNID,Price,Fair Value,Price Difference,Price Category
Buena Borough,0104,165812.0,160073.86351665732,0.034606279903400705,Overpriced
Egg Harbor City,0107,123200.0,139301.80608975457,-0.13069647800125458,Overpriced
Margate City,0116,604470.0,201880.64126019448,0.6660204124932677,Overpriced
Ventnor City,0122,330548.0,176076.74981581065,0.46731866531998184,Overpriced
Bergenfield Borough,0203,424637.0,51999.803678101394,0.8775429280112157,Overpriced
Bogota Borough,0204,343721.0,47916.832637442276,0.860593816969454,Overpriced
Carlstadt Borough,0205,396118.0,67881.15913329949,0.8286339950890909,Overpriced
Cliffside Park Borough,0206,462079.0,65809.2298113316,0.8575801328099056,Overpriced
Closter Borough,0207,788291.0,53101.59442636254,0.9326370662276209,Overpriced
Dumont Borough,0210,383940.0,52098.71010856959,0.8643050734266563,Overpriced
Elmwood Park Borough,0211,356962.0,60416.344426697935,0.830748526659146,Overpriced
Edgewater Borough,0213,560214.0,69620.55759075156,0.8757250665089563,Overpriced
Emerson Borough,0214,483510.0,63294.30308957759,0.8690941178267717,Overpriced
Englewood Cliffs Borough,0216,1374023.0,67452.4645981805,0.9509087805675884,Overpriced
Fair Lawn Borough,0217,424978.0,53495.40079922858,0.8741219526676003,Overpriced
Fairview Borough,0218,392401.0,50305.52717420482,0.8718007161699262,Overpriced
Fort Lee Borough,0219,555114.0,73970.20990589401,0.8667477132518834,Overpriced
Franklin Lakes Borough,0220,1104180.0,75517.20299106615,0.9316078873090745,Overpriced
Glen Rock Borough,0222,641264.0,52862.90521661716,0.917564520670711,Overpriced
Hasbrouck Heights Borough,0225,479776.0,65885.85424296185,0.8626737180622586,Overpriced
Hillsdale Borough,0227,522591.0,58870.938191133086,0.8873479677393352,Overpriced
Leonia Borough,0229,500465.0,62253.446647205856,0.875608790530395,Overpriced
Little Ferry Borough,0230,329972.0,89794.91733058891,0.7278711001824734,Overpriced
Lodi Borough,0231,356019.0,84081.08007391484,0.7638297953931817,Overpriced
Maywood Borough,0234,407138.0,87481.65960804943,0.7851302025159788,Overpriced
Midland Park Borough,0235,486209.0,84320.09518801398,0.8265764410201909,Overpriced
Montvale Borough,0236,604980.0,82778.99612967274,0.8631706897258211,Overpriced
New Milford Borough,0238,428577.0,85809.99661409878,0.7997792774364961,Overpriced
North Arlington Borough,0239,366429.0,96243.33449121797,0.7373479323655661,Overpriced
Norwood Borough,0241,645471.0,94835.59794788004,0.8530753543569269,Overpriced
Oakland Borough,0242,508173.0,424948.59766904556,0.16377179096676614,Overpriced
Paramus Borough,0246,648381.0,416755.0154637855,0.35723746460216216,Overpriced
Park Ridge Borough,0247,558739.0,431093.6382477556,0.2284525722246781,Overpriced
Ramsey Borough,0248,536278.0,432595.5874065282,0.19333706136271078,Overpriced
Ridgefield Borough,0249,523306.0,426376.3270316232,0.18522560981218786,Overpriced
Ridgefield Park Village,0250,345622.0,419443.78409539605,-0.21359110269426151,Overpriced
Ridgewood Village,0251,842562.0,421022.1023154481,0.5003072743424839,Overpriced
River Edge Borough,0252,505002.0,408943.1630948904,0.1902147652981762,Overpriced
Tenafly Borough,0261,925211.0,189917.95978042996,0.7947301104500163,Overpriced
Waldwick Borough,0264,429847.0,210185.03406821063,0.5110236105679216,Overpriced
Wallington Borough,0265,395826.0,216996.01684570673,0.4517893800667295,Overpriced
Westwood Borough,0267,467650.0,203179.47499409912,0.565530899189353,Overpriced
Woodcliff Lake Borough,0268,796554.0,213747.0546247759,0.7316603084978848,Overpriced
Wood-Ridge Borough,0269,417525.0,215966.82254516834,0.4827451708396663,Overpriced
Palmyra Borough,0327,163891.0,328345.5475762831,-1.0034385510875101,Overpriced
Pemberton Borough,0328,217364.0,331156.1319516902,-0.523509559778483,Overpriced
Bellmawr Borough,0404,157016.0,469246.98921411566,-1.9885297626618668,Overpriced
Berlin Borough,0405,240548.0,466330.86000690237,-0.9386187372453829,Overpriced
Collingswood Borough,0412,218557.0,472476.5330533023,-1.1618000478287236,Overpriced
Haddonfield Borough,0417,559636.0,474520.9775080095,0.15208997007338784,Overpriced
Haddon Heights Borough,0418,252027.0,478584.06067600904,-0.8989396401020885,Overpriced
Runnemede Borough,0430,159542.0,467210.60655161913,-1.9284489761418255,Overpriced
Somerdale Borough,0431,136977.0,468061.8612591239,-2.4170836071685313,Overpriced
Stratford Borough,0432,168260.0,475334.80354754126,-1.8250018040386382,Overpriced
Roseland Borough,0718,561599.0,233693.5384561445,0.5838782860080867,Overpriced
Clayton Borough,0801,170447.0,449804.9702123045,-1.6389726437678838,Overpriced
Paulsboro Borough,0814,121308.0,458142.3296616208,-2.7766868604017936,Overpriced
Pitman Borough,0815,197513.0,460887.8761375012,-1.333455904864496,Overpriced
Jersey City,0906,468393.0,331970.54452408466,0.2912563925505192,Overpriced
Union City,0910,370384.0,295878.86937140895,0.2011564501398307,Overpriced
Hopewell Borough,1105,440391.0,258817.1211800361,0.41230152028530076,Overpriced
Carteret Borough,1201,274773.0,377979.70188914146,-0.3756071444033492,Overpriced
Dunellen Borough,1203,283758.0,295095.853243005,-0.03995606553120968,Overpriced
Highland Park Borough,1207,351564.0,361404.4838050795,-0.027990590063486247,Overpriced
Metuchen Borough,1209,405668.0,369190.542126599,0.08991948557293403,Overpriced
Milltown Borough,1211,333355.0,371623.0076530264,-0.11479656118260226,Overpriced
Sayreville Borough,1219,314807.0,380218.90640177845,-0.20778415474172574,Overpriced
South River Borough,1223,306662.0,355304.6319528305,-0.15861969188497588,Overpriced
Spotswood Borough,1224,299651.0,405927.3300356086,-0.3546670294295985,Overpriced
Belmar Borough,1307,659958.0,563225.4520346079,0.1465737940374874,Overpriced
Eatontown Borough,1312,382553.0,554915.9862495813,-0.45055975577130836,Overpriced
Fair Haven Borough,1314,826392.0,541370.7894772709,0.3448983176540057,Overpriced
Freehold Borough,1316,278328.0,545852.0471884194,-0.961182659266834,Overpriced
Keansburg Borough,1323,175972.0,531769.0253419257,-2.0218956728452575,Overpriced
Keyport Borough,1324,282198.0,559690.9313457778,-0.9833270659103814,Overpriced
Little Silver Borough,1325,712531.0,555303.4314111515,0.2206606710288373,Overpriced
Matawan Borough,1331,364483.0,555668.5756358369,-0.5245390748974216,Overpriced
Oceanport Borough,1338,498610.0,870205.0668532315,-0.7452619619607138,Overpriced
Red Bank Borough,1339,428448.0,863456.5740230505,-1.015312416029601,Overpriced
Rumson Borough,1341,1470482.0,854893.5238840831,0.4186304056193254,Overpriced
Chester Borough,1406,543000.0,672416.2605231319,-0.23833565473873283,Overpriced
Florham Park Borough,1411,661833.0,706878.4327247328,-0.06806162993494248,Overpriced
Lincoln Park Borough,1416,332407.0,683607.2590704848,-1.0565368932377621,Overpriced
Madison Borough,1417,827039.0,693479.5544083909,0.16149110935712718,Overpriced
Mendham Borough,1418,675194.0,685446.5798139652,-0.015184642952936854,Overpriced
Morris Plains Borough,1423,474675.0,346159.6510372129,0.2707438752046918,Overpriced
Mount Arlington Borough,1426,348519.0,342285.71489104454,0.01788506540233233,Overpriced
Rockaway Borough,1434,326221.0,352117.8881153747,-0.07938449123561855,Overpriced
Wharton Borough,1439,287521.0,355752.58345033356,-0.23730991284230912,Overpriced
Point Pleasant Beach Borough,1526,616091.0,741099.8259343118,-0.20290643092386002,Overpriced
Bloomingdale Borough,1601,289994.0,349482.2242204419,-0.2051360518508724,Overpriced
Haledon Borough,1603,298085.0,345417.34941112576,-0.15878809537925678,Overpriced
Hawthorne Borough,1604,371738.0,372389.8909005247,-0.0017536299773622346,Overpriced
Ringwood Borough,1611,357962.0,383711.45784247865,-0.07193349529413358,Overpriced
Totowa Borough,1612,407973.0,389807.94748205703,0.044525134060202434,Overpriced
Wanaque Borough,1613,310493.0,391709.4801997319,-0.2615726608964836,Overpriced
Bound Brook Borough,1804,252904.0,451612.45910235075,-0.7857070631636935,Overpriced
Manville Borough,1811,257089.0,453137.24709683063,-0.7625695657800631,Overpriced
Raritan Borough,1816,358261.0,477080.21173471934,-0.3316554459869183,Overpriced
Somerville Borough,1818,312433.0,642856.2016245034,-1.0575809905627873,Overpriced
Watchung Borough,1821,669491.0,618159.5643843092,0.07667233109286126,Overpriced
Hopatcong Borough,1912,262403.0,674689.3762028303,-1.5711953605821212,Overpriced
Fanwood Borough,2005,455116.0,495149.4215048412,-0.08796311600743807,Overpriced
Kenilworth Borough,2008,352237.0,581742.6510645093,-0.6515659941020089,Overpriced
Mountainside Borough,2010,624589.0,571594.9117094906,0.0848463362155104,Overpriced
Roselle Borough,2014,223068.0,549433.9056073617,-1.4630780999845863,Overpriced
Roselle Park Borough,2015,268059.0,544687.1304985051,-1.0319673299479035,Overpriced
